"path","type","reason","bytes","last_write_time"
"reports\deprecated_step5_v3_calibrated_bge_20260420","directory","stale reports snapshot/archive directory requested for removal","0","2026-04-20T20:17:34"
"reports\step10_backbone_snapshot_20260326","directory","stale reports snapshot/archive directory requested for removal","0","2026-04-15T20:41:50"
"reports\step10_feature_ablation_snapshot_20260326","directory","stale reports snapshot/archive directory requested for removal","0","2026-04-15T20:41:46"
"reports\step10_raw_vs_relative_snapshot_20260326","directory","stale reports snapshot/archive directory requested for removal","0","2026-04-15T20:41:38"
"reports\step11_archive_before_corrected_calibrated_default_20260420","directory","stale reports snapshot/archive directory requested for removal","0","2026-04-20T22:46:56"
"reports\step11_archive_core_calibrated_bge_m3_before_override_20260420","directory","stale reports snapshot/archive directory requested for removal","0","2026-04-20T22:44:51"
"reports\step11_cluster_level_audit_summary.codex_20260420.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","1156","2026-04-22T11:47:43"
"reports\step11_cluster_level_audit_summary.codex_20260421.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","1193","2026-04-22T11:52:14"
"reports\step11_cluster_level_audit.codex_20260420.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","420842","2026-04-22T11:47:42"
"reports\step11_cluster_level_audit.codex_20260421.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","438677","2026-04-22T11:52:14"
"reports\step11_cluster_level_audit.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","442327","2026-04-22T13:00:34"
"reports\step11_cluster_level_audit.current_20260422.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","4900","2026-04-22T13:00:34"
"reports\step11_cluster_manual_review_edges.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","76228","2026-04-22T12:46:32"
"reports\step11_cluster_manual_review_edges.strict_direct_all.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","503738","2026-04-22T12:50:13"
"reports\step11_cluster_manual_review_edges.strict_direct.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","80145","2026-04-22T12:47:53"
"reports\step11_cluster_manual_review.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","14544","2026-04-22T12:46:32"
"reports\step11_cluster_manual_review.current_20260422.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","1462","2026-04-22T12:46:32"
"reports\step11_cluster_manual_review.strict_direct_all.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","114787","2026-04-22T12:50:13"
"reports\step11_cluster_manual_review.strict_direct_all.current_20260422.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","1792","2026-04-22T12:50:13"
"reports\step11_cluster_manual_review.strict_direct.current_20260422.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","14457","2026-04-22T12:47:53"
"reports\step11_cluster_manual_review.strict_direct.current_20260422.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","1506","2026-04-22T12:47:53"
"reports\step11_core_calibrated_bge_m3_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","35011","2026-04-22T11:47:44"
"reports\step11_core_calibrated_bge_m3_zh_target_strict_clusters.threshold_0400000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","49410","2026-04-22T11:47:45"
"reports\step11_core_calibrated_bge_m3_zh_target_strict_clusters.threshold_0403772.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","34115","2026-04-22T11:47:45"
"reports\step11_core_calibrated_bge_m3_zh_target_strict_clusters.threshold_0427160.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:46"
"reports\step11_core_calibrated_bge_m3_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2589945","2026-04-22T11:47:47"
"reports\step11_core_calibrated_default_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","17649","2026-04-22T11:47:48"
"reports\step11_core_calibrated_default_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:48"
"reports\step11_core_calibrated_default_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2578870","2026-04-22T11:47:49"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260320_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","35808","2026-04-22T11:47:50"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260320_zh_target_strict_clusters.threshold_0200000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","263429","2026-04-22T11:47:51"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260320_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:51"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260320_zh_target_strict_clusters.threshold_0900000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:52"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260320_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2746588","2026-04-22T11:47:53"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260321_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","35833","2026-04-22T11:47:54"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260321_zh_target_strict_clusters.threshold_0200000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","273456","2026-04-22T11:47:54"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260321_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:55"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260321_zh_target_strict_clusters.threshold_0900000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:56"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260321_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2746609","2026-04-22T11:47:57"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260322_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","35802","2026-04-22T11:47:57"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260322_zh_target_strict_clusters.threshold_0200000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","262591","2026-04-22T11:47:58"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260322_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:59"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260322_zh_target_strict_clusters.threshold_0900000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:47:59"
"reports\step11_core_few_shot_bge_m3_lr_l2_ratio_10pct_seed_20260322_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2746612","2026-04-22T11:48:00"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260320_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","31357","2026-04-22T11:48:01"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260320_zh_target_strict_clusters.threshold_0394821.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","330718","2026-04-22T11:48:02"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260320_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","14223","2026-04-22T11:48:02"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260320_zh_target_strict_clusters.threshold_0900000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:48:03"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260320_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2681351","2026-04-22T11:48:04"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260321_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","30668","2026-04-22T11:48:05"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260321_zh_target_strict_clusters.threshold_0361661.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","323809","2026-04-22T11:48:05"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260321_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","10143","2026-04-22T11:48:06"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260321_zh_target_strict_clusters.threshold_0900000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:48:07"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260321_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2681352","2026-04-22T11:48:08"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260322_clustering_summary.json","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","29048","2026-04-22T11:48:08"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260322_zh_target_strict_clusters.threshold_0362696.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","303913","2026-04-22T11:48:09"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260322_zh_target_strict_clusters.threshold_0800000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:48:10"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260322_zh_target_strict_clusters.threshold_0900000.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","666","2026-04-22T11:48:10"
"reports\step11_core_few_shot_bge_m3_ratio_10pct_seed_20260322_zh_target_strict_scored_pairs.csv","file","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9","2681354","2026-04-22T11:48:11"
