"path","type","reason","bytes","last_write_time"
"reports\step1_schema_audit.json","file","current/provenance file retained","13738","2026-04-21T11:52:34"
"reports\step2_aux_pgp_evidence_manifest.csv","file","current/provenance file retained","4537642","2026-04-21T11:52:34"
"reports\step2_content_item_manifest.csv","file","current/provenance file retained","127608549","2026-04-21T11:52:33"
"reports\step2_content_seller_manifest.csv","file","current/provenance file retained","2992805","2026-04-21T11:52:00"
"reports\step2_en_gold_alias_exclusion_list.csv","file","current/provenance file retained","2115924","2026-04-21T11:52:00"
"reports\step2_en_gold_benchmark_manifest.csv","file","current/provenance file retained","10470470","2026-04-21T11:51:59"
"reports\step2_en_gold_contact_exclusion_list.csv","file","current/provenance file retained","329","2026-04-21T11:51:55"
"reports\step2_split_summary.json","file","current/provenance file retained","3048","2026-04-21T11:51:55"
"reports\step3_item_identity_signals.en_content_train_pool.csv","file","current/provenance file retained","192123253","2026-04-22T14:00:20"
"reports\step3_item_identity_signals.zh_target_aux.csv","file","current/provenance file retained","168503","2026-04-22T14:00:20"
"reports\step3_item_identity_signals.zh_target_strict.csv","file","current/provenance file retained","3143161","2026-04-22T14:00:20"
"reports\step3_seller_profile_summary.json","file","current/provenance file retained","5316","2026-04-22T14:00:20"
"reports\step3_seller_profiles.en_content_train_pool.jsonl","file","current/provenance file retained","110581047","2026-04-22T14:00:13"
"reports\step3_seller_profiles.zh_target_aux.jsonl","file","current/provenance file retained","7333361","2026-04-22T14:00:14"
"reports\step3_seller_profiles.zh_target_strict.jsonl","file","current/provenance file retained","42214695","2026-04-22T14:00:14"
"reports\step4_candidate_summary.json","file","current/provenance file retained","15954","2026-04-21T11:51:12"
"reports\step4_en_silver_candidate_pairs.csv","file","current/provenance file retained","8085500","2026-04-22T15:47:07"
"reports\step4_zh_target_aux_silver_candidate_pairs.csv","file","current/provenance file retained","737187","2026-04-21T11:51:09"
"reports\step4_zh_target_strict_silver_candidate_pairs.csv","file","current/provenance file retained","4448374","2026-04-21T16:09:27"
"reports\step5_boundary_expansion_apply_summary.zero_shot_bge_20260421.json","file","current/provenance file retained","499598","2026-04-21T15:05:24"
"reports\step5_boundary_expansion_codex_review_summary.zero_shot_bge_20260421.json","file","current/provenance file retained","312558","2026-04-21T15:04:59"
"reports\step5_boundary_expansion_queue_summary.zero_shot_bge_20260421.json","file","current/provenance file retained","4367","2026-04-21T12:29:02"
"reports\step5_en_balanced_review_queue.csv","file","current/provenance file retained","7057269","2026-04-22T15:47:08"
"reports\step5_en_frozen_silver_labels.csv","file","current/provenance file retained","1325065","2026-04-22T18:34:43"
"reports\step5_en_item_identity_expansion_apply_summary.20260422.json","file","current/provenance file retained","9726","2026-04-22T15:47:08"
"reports\step5_en_item_identity_expansion_codex_review_summary.20260422.json","file","current/provenance file retained","20830","2026-04-22T15:46:48"
"reports\step5_en_item_identity_expansion_queue_summary.20260422.json","file","current/provenance file retained","27722","2026-04-22T15:46:41"
"reports\step5_en_item_identity_expansion_queue.20260422.csv","file","current/provenance file retained","110755","2026-04-22T15:46:48"
"reports\step5_en_source_expansion_apply_summary.20260421.json","file","current/provenance file retained","63989","2026-04-21T16:54:40"
"reports\step5_en_source_expansion_codex_review_summary.20260421.json","file","current/provenance file retained","240358","2026-04-21T16:54:32"
"reports\step5_en_source_expansion_queue_summary.20260421.json","file","current/provenance file retained","3466","2026-04-21T16:53:51"
"reports\step5_en_source_expansion_queue.20260421.csv","file","current/provenance file retained","857319","2026-04-21T16:54:32"
"reports\step5_en_source_expansion_topup_apply_summary.20260421.json","file","current/provenance file retained","26132","2026-04-21T20:09:23"
"reports\step5_en_source_expansion_topup_codex_review_summary.20260421.json","file","current/provenance file retained","97425","2026-04-21T20:09:12"
"reports\step5_en_source_expansion_topup_queue_summary.20260421.json","file","current/provenance file retained","3587","2026-04-21T20:09:04"
"reports\step5_en_source_expansion_topup_queue.20260421.csv","file","current/provenance file retained","321334","2026-04-21T20:09:12"
"reports\step5_frozen_silver_summary.json","file","current/provenance file retained","22453","2026-04-22T18:34:43"
"reports\step5_item_identity_expansion_codex_review_summary.20260422.json","file","current/provenance file retained","382","2026-04-22T14:02:35"
"reports\step5_item_identity_expansion_queue_summary.20260422.json","file","current/provenance file retained","12812","2026-04-22T14:02:35"
"reports\step5_paper_targeted_expansion_codex_review_summary.20260422.json","file","current/provenance file retained","11438","2026-04-22T13:36:22"
"reports\step5_paper_targeted_expansion_queue_summary.20260422.json","file","current/provenance file retained","12855","2026-04-22T13:36:16"
"reports\step5_positive_anchor_expansion_apply_summary.20260421.json","file","current/provenance file retained","21635","2026-04-21T16:09:27"
"reports\step5_positive_anchor_expansion_codex_review_summary.20260421.json","file","current/provenance file retained","57744","2026-04-21T16:09:14"
"reports\step5_positive_anchor_expansion_queue_summary.20260421.json","file","current/provenance file retained","10173","2026-04-21T16:08:21"
"reports\step5_review_strata_summary.json","file","current/provenance file retained","16550","2026-04-21T11:51:01"
"reports\step5_semantic_only_test_gain_candidates.json","file","current/provenance file retained","119632","2026-04-21T11:51:01"
"reports\step5_targeted_cleanup_summary.json","file","current/provenance file retained","9342","2026-04-21T11:51:00"
"reports\step5_targeted_review_queue_summary.json","file","current/provenance file retained","5559","2026-04-21T11:50:59"
"reports\step5_v2_milestone_snapshot_summary.json","file","current/provenance file retained","9525","2026-04-21T11:50:59"
"reports\step5_v3_targeted_cleanup_summary.calibrated_bge_20260420.json","file","current/provenance file retained","58571","2026-04-21T11:50:58"
"reports\step5_v3_targeted_cleanup_summary.calibrated_default_20260420.json","file","current/provenance file retained","119679","2026-04-21T11:50:58"
"reports\step5_v3_targeted_cleanup_summary.json","file","current/provenance file retained","50962","2026-04-21T11:50:57"
"reports\step5_v3_targeted_review_queue_summary.calibrated_bge.json","file","current/provenance file retained","16334","2026-04-21T11:50:56"
"reports\step5_v3_targeted_review_queue_summary.calibrated_default.json","file","current/provenance file retained","28844","2026-04-21T11:50:56"
"reports\step5_v3_targeted_review_queue_summary.json","file","current/provenance file retained","15661","2026-04-21T11:50:55"
"reports\step5_zh_target_aux_balanced_review_queue.csv","file","current/provenance file retained","660847","2026-04-21T11:50:55"
"reports\step5_zh_target_aux_frozen_silver_labels.csv","file","current/provenance file retained","802","2026-04-22T18:34:43"
"reports\step5_zh_target_strict_balanced_review_queue.csv","file","current/provenance file retained","3980407","2026-04-21T16:09:27"
"reports\step5_zh_target_strict_boundary_expansion_queue.zero_shot_bge_20260421.csv","file","current/provenance file retained","766971","2026-04-21T15:04:59"
"reports\step5_zh_target_strict_frozen_silver_labels.csv","file","current/provenance file retained","1475333","2026-04-22T18:34:43"
"reports\step5_zh_target_strict_item_identity_expansion_queue.20260422.csv","file","current/provenance file retained","1406","2026-04-22T14:02:35"
"reports\step5_zh_target_strict_paper_targeted_expansion_queue.20260422.csv","file","current/provenance file retained","66478","2026-04-22T13:36:22"
"reports\step5_zh_target_strict_positive_anchor_expansion_queue.20260421.csv","file","current/provenance file retained","279776","2026-04-21T16:09:14"
"reports\step5_zh_target_strict_targeted_rereview_queue.step11_bge_v3.csv","file","current/provenance file retained","88105","2026-04-21T11:50:11"
"reports\step5_zh_target_strict_targeted_rereview_queue.step11_calibrated_bge_v3.csv","file","current/provenance file retained","89575","2026-04-21T11:50:10"
"reports\step5_zh_target_strict_targeted_rereview_queue.step11_calibrated_default_v3.csv","file","current/provenance file retained","157984","2026-04-21T11:50:08"
"reports\step5_zh_target_strict_targeted_rereview_queue.step11_v1.csv","file","current/provenance file retained","22616","2026-04-21T11:50:08"
"reports\step5_zh_target_strict_targeted_review_queue.step11_bge_v3.csv","file","current/provenance file retained","828","2026-04-21T11:50:07"
"reports\step5_zh_target_strict_targeted_review_queue.step11_calibrated_bge_v3.csv","file","current/provenance file retained","828","2026-04-21T11:50:06"
"reports\step5_zh_target_strict_targeted_review_queue.step11_calibrated_default_v3.csv","file","current/provenance file retained","828","2026-04-21T11:50:06"
"reports\step5_zh_target_strict_targeted_review_queue.step11_v1.csv","file","current/provenance file retained","828","2026-04-21T11:50:05"
"reports\step7_core_zero_shot_bge_m3_embedding_only_model.txt","file","current/provenance file retained","102106","2026-04-22T19:44:59"
"reports\step7_core_zero_shot_bge_m3_embedding_only_predictions.en_eval.csv","file","current/provenance file retained","45981","2026-04-22T19:45:00"
"reports\step7_core_zero_shot_bge_m3_embedding_only_predictions.zh_target_strict_test.csv","file","current/provenance file retained","24817","2026-04-22T19:45:00"
"reports\step7_core_zero_shot_bge_m3_model.txt","file","current/provenance file retained","45690","2026-04-22T19:45:02"
"reports\step7_core_zero_shot_bge_m3_predictions.en_eval.csv","file","current/provenance file retained","43047","2026-04-22T19:45:02"
"reports\step7_core_zero_shot_bge_m3_predictions.zh_target_strict_test.csv","file","current/provenance file retained","23222","2026-04-22T19:45:03"
"reports\step7_core_zero_shot_default_model.txt","file","current/provenance file retained","120497","2026-04-22T19:45:04"
"reports\step7_core_zero_shot_default_no_reranker_model.txt","file","current/provenance file retained","111114","2026-04-22T19:45:05"
"reports\step7_core_zero_shot_default_no_reranker_predictions.en_eval.csv","file","current/provenance file retained","45590","2026-04-22T19:45:05"
"reports\step7_core_zero_shot_default_no_reranker_predictions.zh_target_strict_test.csv","file","current/provenance file retained","24599","2026-04-22T19:45:06"
"reports\step7_core_zero_shot_default_no_semantics_model.txt","file","current/provenance file retained","57422","2026-04-22T19:45:06"
"reports\step7_core_zero_shot_default_no_semantics_predictions.en_eval.csv","file","current/provenance file retained","45788","2026-04-22T19:45:07"
"reports\step7_core_zero_shot_default_no_semantics_predictions.zh_target_strict_test.csv","file","current/provenance file retained","24705","2026-04-22T19:45:08"
"reports\step7_core_zero_shot_default_no_structural_model.txt","file","current/provenance file retained","125748","2026-04-22T19:45:09"
"reports\step7_core_zero_shot_default_no_structural_predictions.en_eval.csv","file","current/provenance file retained","45975","2026-04-22T19:45:09"
"reports\step7_core_zero_shot_default_no_structural_predictions.zh_target_strict_test.csv","file","current/provenance file retained","24810","2026-04-22T19:45:10"
"reports\step7_core_zero_shot_default_no_style_gap_model.txt","file","current/provenance file retained","78910","2026-04-22T19:45:10"
"reports\step7_core_zero_shot_default_no_style_gap_predictions.en_eval.csv","file","current/provenance file retained","45785","2026-04-22T19:45:11"
