summary_file,scorer_token,output_type,threshold_token,output_path,authority
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,summary,,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,scored_pairs,,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_zh_target_strict_scored_pairs.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,clusters_by_threshold,0735000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_zh_target_strict_clusters.threshold_0735000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,clusters_by_threshold,0800000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_zh_target_strict_clusters.threshold_0800000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,clusters_by_threshold,0900000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_zh_target_strict_clusters.threshold_0900000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321,summary,,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_clustering_summary.json,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321,scored_pairs,,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_zh_target_strict_scored_pairs.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321,clusters_by_threshold,0735000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_zh_target_strict_clusters.threshold_0735000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321,clusters_by_threshold,0800000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_zh_target_strict_clusters.threshold_0800000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321,clusters_by_threshold,0900000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321_zh_target_strict_clusters.threshold_0900000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322,summary,,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_clustering_summary.json,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322,scored_pairs,,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_zh_target_strict_scored_pairs.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322,clusters_by_threshold,0735000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_zh_target_strict_clusters.threshold_0735000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322,clusters_by_threshold,0800000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_zh_target_strict_clusters.threshold_0800000.csv,summary.output_paths
step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322,clusters_by_threshold,0900000,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322_zh_target_strict_clusters.threshold_0900000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,summary,,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,scored_pairs,,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_zh_target_strict_scored_pairs.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,clusters_by_threshold,0470000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_zh_target_strict_clusters.threshold_0470000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,clusters_by_threshold,0800000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_zh_target_strict_clusters.threshold_0800000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,clusters_by_threshold,0900000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_zh_target_strict_clusters.threshold_0900000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321,summary,,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_clustering_summary.json,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321,scored_pairs,,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_zh_target_strict_scored_pairs.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321,clusters_by_threshold,0470000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_zh_target_strict_clusters.threshold_0470000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321,clusters_by_threshold,0800000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_zh_target_strict_clusters.threshold_0800000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321,clusters_by_threshold,0900000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321_zh_target_strict_clusters.threshold_0900000.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,summary,,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322_clustering_summary.json,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,scored_pairs,,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322_zh_target_strict_scored_pairs.csv,summary.output_paths
step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322_clustering_summary.json,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,clusters_by_threshold,0470000,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322_zh_target_strict_clusters.threshold_0470000.csv,summary.output_paths
