model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
raw_bge_m3_cosine,raw_semantic_control,roc_auc,0.783754,0.787891,0.082759,0.624193,0.936095,5000,106,21,85,39
raw_bge_m3_cosine,raw_semantic_control,average_precision,0.492048,0.503974,0.134944,0.255147,0.789091,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,roc_auc,0.806723,0.800247,0.070412,0.638524,0.916667,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,average_precision,0.520573,0.520425,0.132888,0.220730,0.745153,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,roc_auc,0.806162,0.808893,0.049882,0.708636,0.906667,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,average_precision,0.518581,0.525171,0.105001,0.296728,0.711879,5000,106,21,85,39
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,roc_auc,0.601681,0.615636,0.101605,0.420804,0.819306,5000,106,21,85,39
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,average_precision,0.448761,0.379345,0.125659,0.157892,0.651601,5000,106,21,85,39
step7_core_zero_shot_default,step7_clean_fusion_control,roc_auc,0.588235,0.604967,0.103954,0.410808,0.819153,5000,106,21,85,39
step7_core_zero_shot_default,step7_clean_fusion_control,average_precision,0.448547,0.372593,0.124798,0.153907,0.638187,5000,106,21,85,39
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,roc_auc,0.623529,0.637526,0.101735,0.440821,0.839591,5000,106,21,85,39
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,average_precision,0.287652,0.311128,0.102913,0.140768,0.543765,5000,106,21,85,39
step7_identifier_augmented_default,step7_operational_identifier_control,roc_auc,0.606443,0.608173,0.068637,0.470180,0.736008,5000,106,21,85,39
step7_identifier_augmented_default,step7_operational_identifier_control,average_precision,0.418989,0.321188,0.113646,0.122723,0.571937,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,roc_auc,0.817367,0.820847,0.047722,0.726018,0.914507,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,average_precision,0.515857,0.525715,0.115945,0.286507,0.744768,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,roc_auc,0.817367,0.820847,0.047722,0.726018,0.914507,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,average_precision,0.515857,0.525715,0.115945,0.286507,0.744768,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,roc_auc,0.817367,0.820847,0.047722,0.726018,0.914507,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,average_precision,0.515857,0.525715,0.115945,0.286507,0.744768,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,roc_auc,0.817367,0.820847,0.047722,0.726018,0.914507,5000,106,21,85,39
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,average_precision,0.515857,0.525715,0.115945,0.286507,0.744768,5000,106,21,85,39
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,roc_auc,0.819048,0.820993,0.055266,0.701125,0.916215,5000,106,21,85,39
