comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
primary_clean_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,roc_auc,0.819048,0.806723,0.012325,0.021193,-0.108240,0.147650,0.736800,5000,no
primary_clean_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,average_precision,0.540494,0.520573,0.019920,0.032972,-0.251152,0.326280,0.805600,5000,no
primary_seed_vs_raw_e5,step9_e5_lr_l2_50pct_seed_20260320,raw_e5_cosine,roc_auc,0.819048,0.806723,0.012325,0.020745,-0.113239,0.150468,0.738000,5000,no
primary_seed_vs_raw_e5,step9_e5_lr_l2_50pct_seed_20260320,raw_e5_cosine,average_precision,0.540482,0.520573,0.019909,0.032388,-0.257950,0.325843,0.807200,5000,no
primary_seed_vs_raw_e5,step9_e5_lr_l2_50pct_seed_20260321,raw_e5_cosine,roc_auc,0.824650,0.806723,0.017927,0.026006,-0.094504,0.152225,0.672000,5000,no
primary_seed_vs_raw_e5,step9_e5_lr_l2_50pct_seed_20260321,raw_e5_cosine,average_precision,0.541473,0.520573,0.020899,0.034665,-0.241408,0.329404,0.799600,5000,no
primary_seed_vs_raw_e5,step9_e5_lr_l2_50pct_seed_20260322,raw_e5_cosine,roc_auc,0.811765,0.806723,0.005042,0.013285,-0.120291,0.137339,0.826000,5000,no
primary_seed_vs_raw_e5,step9_e5_lr_l2_50pct_seed_20260322,raw_e5_cosine,average_precision,0.534180,0.520573,0.013606,0.025851,-0.261584,0.321601,0.847600,5000,no
primary_clean_vs_raw_labse,step9_e5_lr_l2_50pct_seed_mean,raw_labse_cosine,roc_auc,0.819048,0.806162,0.012885,0.012548,-0.111482,0.113395,0.778400,5000,no
primary_clean_vs_raw_labse,step9_e5_lr_l2_50pct_seed_mean,raw_labse_cosine,average_precision,0.540494,0.518581,0.021913,0.028225,-0.147828,0.206520,0.740800,5000,no
