model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
raw_bge_m3_cosine,raw_semantic_control,roc_auc,0.783754,0.787891,0.082759,0.624193,0.936095,5000,106,21,85,39
raw_bge_m3_cosine,raw_semantic_control,average_precision,0.492048,0.503974,0.134944,0.255147,0.789091,5000,106,21,85,39
raw_bge_m3_cosine,raw_semantic_control,pr_auc,0.492048,0.503974,0.134944,0.255147,0.789091,5000,106,21,85,39
raw_bge_m3_cosine,raw_semantic_control,map,0.492048,0.503974,0.134944,0.255147,0.789091,5000,106,21,85,39
raw_bge_m3_cosine,raw_semantic_control,mrr,0.333333,0.403488,0.238442,0.142857,1.000000,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,roc_auc,0.806723,0.800247,0.070412,0.638524,0.916667,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,average_precision,0.520573,0.520425,0.132888,0.220730,0.745153,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,pr_auc,0.520573,0.520425,0.132888,0.220730,0.745153,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,map,0.520573,0.520425,0.132888,0.220730,0.745153,5000,106,21,85,39
raw_e5_cosine,raw_semantic_control,mrr,0.500000,0.609828,0.293491,0.200000,1.000000,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,roc_auc,0.806162,0.808893,0.049882,0.708636,0.906667,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,average_precision,0.518581,0.525171,0.105001,0.296728,0.711879,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,pr_auc,0.518581,0.525171,0.105001,0.296728,0.711879,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,map,0.518581,0.525171,0.105001,0.296728,0.711879,5000,106,21,85,39
raw_labse_cosine,raw_semantic_control,mrr,1.000000,0.859737,0.256147,0.250000,1.000000,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260320,step15_clean_evidence_type_curriculum_seed,roc_auc,0.867787,0.865059,0.056983,0.733917,0.955608,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260320,step15_clean_evidence_type_curriculum_seed,average_precision,0.668340,0.665082,0.134025,0.364988,0.882038,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260320,step15_clean_evidence_type_curriculum_seed,pr_auc,0.668340,0.665082,0.134025,0.364988,0.882038,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260320,step15_clean_evidence_type_curriculum_seed,map,0.668340,0.665082,0.134025,0.364988,0.882038,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260320,step15_clean_evidence_type_curriculum_seed,mrr,1.000000,0.990247,0.085417,1.000000,1.000000,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260321,step15_clean_evidence_type_curriculum_seed,roc_auc,0.861064,0.856444,0.059996,0.719244,0.952020,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260321,step15_clean_evidence_type_curriculum_seed,average_precision,0.645324,0.635687,0.144760,0.312179,0.866586,5000,106,21,85,39
step15_clean_multitask_phase2_seed_20260321,step15_clean_evidence_type_curriculum_seed,pr_auc,0.645324,0.635687,0.144760,0.312179,0.866586,5000,106,21,85,39
