model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
raw_bge_m3_cosine,raw_semantic_control,roc_auc,0.748933,0.750412,0.046442,0.655685,0.838077,5000,200,50,150,126
raw_bge_m3_cosine,raw_semantic_control,average_precision,0.526585,0.529702,0.075956,0.383446,0.676788,5000,200,50,150,126
raw_bge_m3_cosine,raw_semantic_control,pr_auc,0.526585,0.529702,0.075956,0.383446,0.676788,5000,200,50,150,126
raw_bge_m3_cosine,raw_semantic_control,map,0.526585,0.529702,0.075956,0.383446,0.676788,5000,200,50,150,126
raw_bge_m3_cosine,raw_semantic_control,mrr,1.000000,0.932214,0.204452,0.250000,1.000000,5000,200,50,150,126
raw_e5_cosine,raw_semantic_control,roc_auc,0.748000,0.747825,0.050808,0.643574,0.841912,5000,200,50,150,126
raw_e5_cosine,raw_semantic_control,average_precision,0.542839,0.542387,0.074799,0.388123,0.679719,5000,200,50,150,126
raw_e5_cosine,raw_semantic_control,pr_auc,0.542839,0.542387,0.074799,0.388123,0.679719,5000,200,50,150,126
raw_e5_cosine,raw_semantic_control,map,0.542839,0.542387,0.074799,0.388123,0.679719,5000,200,50,150,126
raw_e5_cosine,raw_semantic_control,mrr,1.000000,0.995889,0.055391,1.000000,1.000000,5000,200,50,150,126
raw_labse_cosine,raw_semantic_control,roc_auc,0.813333,0.814660,0.038709,0.736326,0.887475,5000,200,50,150,126
raw_labse_cosine,raw_semantic_control,average_precision,0.608477,0.609790,0.068019,0.466972,0.734095,5000,200,50,150,126
raw_labse_cosine,raw_semantic_control,pr_auc,0.608477,0.609790,0.068019,0.466972,0.734095,5000,200,50,150,126
raw_labse_cosine,raw_semantic_control,map,0.608477,0.609790,0.068019,0.466972,0.734095,5000,200,50,150,126
raw_labse_cosine,raw_semantic_control,mrr,1.000000,0.997563,0.040126,1.000000,1.000000,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,roc_auc,0.859733,0.859878,0.032999,0.790906,0.921139,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,average_precision,0.639357,0.642381,0.077542,0.486628,0.790234,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,pr_auc,0.639357,0.642381,0.077542,0.486628,0.790234,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,map,0.639357,0.642381,0.077542,0.486628,0.790234,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,roc_auc,0.827067,0.828259,0.036529,0.754039,0.896726,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,average_precision,0.590746,0.595009,0.079715,0.436983,0.747195,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,pr_auc,0.590746,0.595009,0.079715,0.436983,0.747195,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,map,0.590746,0.595009,0.079715,0.436983,0.747195,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed,mrr,1.000000,0.999677,0.016412,1.000000,1.000000,5000,200,50,150,126
