comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,roc_auc,0.731200,0.748000,-0.016800,-0.018531,-0.107958,0.074570,0.694000,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,average_precision,0.557628,0.542839,0.014788,0.016061,-0.106323,0.146366,0.807200,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,pr_auc,0.557628,0.542839,0.014788,0.016061,-0.106323,0.146366,0.807200,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,map,0.557628,0.542839,0.014788,0.016061,-0.106323,0.146366,0.807200,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,mrr,1.000000,1.000000,0.000000,0.003811,0.000000,0.000000,1.000000,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,roc_auc,0.762267,0.748000,0.014267,0.013767,-0.078637,0.112442,0.789200,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,average_precision,0.556195,0.542839,0.013356,0.015131,-0.123761,0.155055,0.819600,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,pr_auc,0.556195,0.542839,0.013356,0.015131,-0.123761,0.155055,0.819600,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,map,0.556195,0.542839,0.013356,0.015131,-0.123761,0.155055,0.819600,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,mrr,1.000000,1.000000,0.000000,0.003618,0.000000,0.000000,1.000000,5000,no
