comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,roc_auc,0.730667,0.748000,-0.017333,-0.018372,-0.093974,0.061360,0.640400,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,average_precision,0.539869,0.542839,-0.002971,-0.001779,-0.111162,0.112341,0.970400,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,pr_auc,0.539869,0.542839,-0.002971,-0.001779,-0.111162,0.112341,0.970400,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,map,0.539869,0.542839,-0.002971,-0.001779,-0.111162,0.112341,0.970400,5000,no
step9_e5_lr_l2_50pct_vs_raw_e5,step9_e5_lr_l2_50pct_seed_mean,raw_e5_cosine,mrr,1.000000,1.000000,0.000000,0.003861,0.000000,0.000000,1.000000,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,roc_auc,0.756667,0.748000,0.008667,0.008335,-0.080687,0.101569,0.864800,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,average_precision,0.557633,0.542839,0.014794,0.016052,-0.106132,0.134352,0.767600,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,pr_auc,0.557633,0.542839,0.014794,0.016052,-0.106132,0.134352,0.767600,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,map,0.557633,0.542839,0.014794,0.016052,-0.106132,0.134352,0.767600,5000,no
step9_mixup100_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,mrr,1.000000,1.000000,0.000000,0.002945,0.000000,0.000000,1.000000,5000,no
step9_mixup100_vs_non_mixup100_same_ratio,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_e5_lr_l2_100pct_seed_mean,roc_auc,0.756667,0.762667,-0.006000,-0.005801,-0.031289,0.021427,0.646400,5000,no
