metric,candidate_value,baseline_value,difference,ci_low,ci_high,p_value_raw,permutation_p_value_raw,p_value_method,valid_permutations,permutation_extreme_count,valid_bootstrap_resamples,candidate_positive_seed_count,candidate_seed_count,baseline_seed_count,paired_by_seed_id,paired_seed_ids,analysis_mode,bootstrap_mode,comparison_id,candidate_model_id,baseline_model_id,evaluation_scope,evaluation_row_count,evaluation_positive_count,evaluation_negative_count,p_value_holm,p_value_holm_source,holm_family
average_precision,0.587261,0.623361,-0.0361,-0.12386555,0.05193322,0.6004799,0.6004799,paired_split_component_score_swap_randomization_two_sided,5000,3002,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m1_vs_m0,step15_v6_m1,step15_v6_m0,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.781467,0.839067,-0.0576,-0.1213038,-0.00073473,0.34953009,0.34953009,paired_split_component_score_swap_randomization_two_sided,5000,1747,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m1_vs_m0,step15_v6_m1,step15_v6_m0,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.582196,0.619269,-0.037073,-0.12855882,0.05163425,0.61407718,0.61407718,paired_split_component_score_swap_randomization_two_sided,5000,3070,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m1_vs_m0,step15_v6_m1,step15_v6_m0,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.587261,0.623361,-0.0361,-0.1221286,0.0523712,,,not_computed_for_supplemental_bootstrap,0,,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m1_vs_m0,step15_v6_m1,step15_v6_m0,all_test,200,50,150,,,
roc_auc,0.781467,0.839067,-0.0576,-0.12056818,-0.0011011,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m1_vs_m0,step15_v6_m1,step15_v6_m0,all_test,200,50,150,,,
pr_auc,0.582196,0.619269,-0.037073,-0.12622172,0.05248207,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m1_vs_m0,step15_v6_m1,step15_v6_m0,all_test,200,50,150,,,
average_precision,0.598599,0.587261,0.011338,-0.02035218,0.04248708,0.76664667,0.76664667,paired_split_component_score_swap_randomization_two_sided,5000,3833,5000,6,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m2_vs_m1,step15_v6_m2,step15_v6_m1,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.791333,0.781467,0.009866,-0.00978652,0.02892965,0.68846231,0.68846231,paired_split_component_score_swap_randomization_two_sided,5000,3442,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m2_vs_m1,step15_v6_m2,step15_v6_m1,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.593361,0.582196,0.011165,-0.02418583,0.04411705,0.78564287,0.78564287,paired_split_component_score_swap_randomization_two_sided,5000,3928,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m2_vs_m1,step15_v6_m2,step15_v6_m1,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.598599,0.587261,0.011338,-0.03126755,0.04564475,,,not_computed_for_supplemental_bootstrap,0,,5000,6,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m2_vs_m1,step15_v6_m2,step15_v6_m1,all_test,200,50,150,,,
roc_auc,0.791333,0.781467,0.009866,-0.01789753,0.03475917,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m2_vs_m1,step15_v6_m2,step15_v6_m1,all_test,200,50,150,,,
pr_auc,0.593361,0.582196,0.011165,-0.03635297,0.04802942,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m2_vs_m1,step15_v6_m2,step15_v6_m1,all_test,200,50,150,,,
average_precision,0.594897,0.598599,-0.003702,-0.04458085,0.0373231,0.94361128,0.94361128,paired_split_component_score_swap_randomization_two_sided,5000,4718,5000,4,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m3_vs_m2,step15_v6_m3,step15_v6_m2,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.795467,0.791333,0.004134,-0.00915803,0.0175904,0.90681864,0.90681864,paired_split_component_score_swap_randomization_two_sided,5000,4534,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m3_vs_m2,step15_v6_m3,step15_v6_m2,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.59026,0.593361,-0.003101,-0.04758155,0.0440667,0.95720856,0.95720856,paired_split_component_score_swap_randomization_two_sided,5000,4786,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m3_vs_m2,step15_v6_m3,step15_v6_m2,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.594897,0.598599,-0.003702,-0.0551163,0.03754125,,,not_computed_for_supplemental_bootstrap,0,,5000,4,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m3_vs_m2,step15_v6_m3,step15_v6_m2,all_test,200,50,150,,,
roc_auc,0.795467,0.791333,0.004134,-0.02394145,0.0307014,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m3_vs_m2,step15_v6_m3,step15_v6_m2,all_test,200,50,150,,,
pr_auc,0.59026,0.593361,-0.003101,-0.05884633,0.04412755,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m3_vs_m2,step15_v6_m3,step15_v6_m2,all_test,200,50,150,,,
average_precision,0.594897,0.602101,-0.007204,-0.04318805,0.02509813,0.88062388,0.88062388,paired_split_component_score_swap_randomization_two_sided,5000,4403,5000,2,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m3_curriculum_vs_m2b_matched_budget,step15_v6_m3,step15_v6_m2b_matched_budget,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.795467,0.791333,0.004134,-0.01253368,0.0197716,0.84503099,0.84503099,paired_split_component_score_swap_randomization_two_sided,5000,4225,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m3_curriculum_vs_m2b_matched_budget,step15_v6_m3,step15_v6_m2b_matched_budget,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.59026,0.597639,-0.007379,-0.04663135,0.02723932,0.87682464,0.87682464,paired_split_component_score_swap_randomization_two_sided,5000,4384,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,m3_curriculum_vs_m2b_matched_budget,step15_v6_m3,step15_v6_m2b_matched_budget,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.594897,0.602101,-0.007204,-0.0566614,0.028333,,,not_computed_for_supplemental_bootstrap,0,,5000,2,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m3_curriculum_vs_m2b_matched_budget,step15_v6_m3,step15_v6_m2b_matched_budget,all_test,200,50,150,,,
roc_auc,0.795467,0.791333,0.004134,-0.02504198,0.02363322,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,m3_curriculum_vs_m2b_matched_budget,step15_v6_m3,step15_v6_m2b_matched_budget,all_test,200,50,150,,,
