model_id,evaluation_split,row_count,positive_count,negative_count,threshold_from_representative_validation,roc_auc,average_precision,pr_auc,accuracy,balanced_accuracy,f1,precision,recall,specificity
raw_clean_e5_cosine,representative_validation,170,76,94,0.917482,0.6243,0.578397,0.573431,0.605882,0.62472,0.645503,0.539823,0.802632,0.446809
raw_clean_e5_cosine,internal_development_test,200,50,150,0.917482,0.662267,0.411959,0.397445,0.66,0.613333,0.433333,0.371429,0.52,0.706667
step9_v7_source_only_clean_fusion,representative_validation,170,76,94,0.7671485,0.593925,0.636676,0.634444,0.652941,0.620661,0.448598,0.774194,0.315789,0.925532
step9_v7_source_only_clean_fusion,internal_development_test,200,50,150,0.7671485,0.5756,0.406688,0.401792,0.775,0.57,0.262295,0.727273,0.16,0.98
no_augmentation,representative_validation,170,76,94,0.084533,0.697508,0.644464,0.640893,0.658824,0.680151,0.697917,0.577586,0.881579,0.478723
no_augmentation,internal_development_test,200,50,150,0.084533,0.6632,0.463904,0.459745,0.595,0.616667,0.44898,0.340206,0.66,0.573333
equal_effective_weight_duplication,representative_validation,170,76,94,0.10878199999999999,0.699608,0.62936,0.625344,0.670588,0.68827,0.698925,0.590909,0.855263,0.521277
equal_effective_weight_duplication,internal_development_test,200,50,150,0.10878199999999999,0.6608,0.461688,0.457086,0.58,0.6,0.432432,0.326531,0.64,0.56
latent_pair_embedding_mixup,representative_validation,170,76,94,0.08486199999999999,0.68953,0.621602,0.617631,0.658824,0.683931,0.707071,0.57377,0.921053,0.446809
latent_pair_embedding_mixup,internal_development_test,200,50,150,0.08486199999999999,0.666533,0.459864,0.454818,0.545,0.59,0.427673,0.311927,0.68,0.5
step15_v7_clean_selected,representative_validation,170,76,94,0.084533,0.697508,0.644464,0.640893,0.658824,0.680151,0.697917,0.577586,0.881579,0.478723
step15_v7_clean_selected,internal_development_test,200,50,150,0.084533,0.6632,0.463904,0.459745,0.595,0.616667,0.44898,0.340206,0.66,0.573333
step15_v7_two_stage_veto,representative_validation,170,76,94,0.065946,0.55949,0.535399,0.530606,0.552941,0.56551,0.577778,0.5,0.684211,0.446809
step15_v7_two_stage_veto,internal_development_test,200,50,150,0.065946,0.522267,0.339003,0.334528,0.525,0.516667,0.344828,0.263158,0.5,0.533333
