row_type,comparison_scope,feature_group,feature,n_en,n_zh,mean_en,mean_zh,median_en,median_zh,q75_en,q75_zh,smd_zh_minus_en,ks_statistic,domain,threshold_source,threshold,negative_n,high_semantic_negative_n,high_semantic_negative_rate,high_semantic_no_identifier_negative_n,high_semantic_template_no_identifier_negative_n,slice_name,model_id,model_role,score_source,n,n_positive,n_negative,roc_auc,average_precision,unstable_slice,delta_auc_vs_raw_e5,delta_ap_vs_raw_e5,experiment_name,best_iteration,trained_iteration_count,collapse_guard_triggered,collapse_guard_reasons,unique_valid_probabilities,zh_test_auc,zh_test_ap,zh_test_balanced_accuracy,top_feature_importance,current_summary_count,keep_file_count,missing_keep_files,selection_rule,decision,count,input_summary_count,summary_selection_mode,unique_cluster_set_count
feature_drift,all_supervision,template_proxy,boilerplate_ratio_gap_abs,734,522,0.010977,0.0,0.0,0.0,0.0,0.0,-0.214174,0.02861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,template_proxy,boilerplate_ratio_max,734,522,0.024108,0.0,0.0,0.0,0.0,0.0,-0.233367,0.03406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,structural,candidate_rule_count_raw,734,522,1.905995,1.605364,2.0,1.0,2.0,2.0,-0.363866,0.174512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,description_length_median_percentile_gap_abs,734,522,0.149307,0.240048,0.087245,0.178918,0.226101,0.395371,0.466437,0.19891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,description_length_median_raw_gap_abs,734,522,390.101499,80.204023,100.0,28.25,348.875,69.0,-0.470693,0.312224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,digit_ratio_mean_percentile_gap_abs,734,522,0.191704,0.352371,0.111183,0.314848,0.281476,0.582146,0.658126,0.306101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,digit_ratio_mean_raw_gap_abs,734,522,0.024915,0.112342,0.011928,0.074766,0.031711,0.147803,0.854419,0.458131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,semantic,embedding_cosine_bge_m3,734,522,0.888488,0.856805,0.894057,0.857178,0.922797,0.896822,-0.603442,0.292054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,semantic,embedding_cosine_gte_multilingual_base,734,522,0.973486,0.968002,0.977518,0.970095,0.984943,0.984066,-0.285147,0.197506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,semantic,embedding_cosine_labse,734,522,0.892144,0.884593,0.903809,0.88614,0.936494,0.929353,-0.122909,0.122104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,semantic,embedding_cosine_multilingual_e5_large,734,522,0.919354,0.920349,0.921304,0.920229,0.937997,0.937671,0.035351,0.033976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,semantic,embedding_cosine_paraphrase_multilingual_mpnet,734,522,0.809767,0.739974,0.83879,0.739836,0.917495,0.841792,-0.523472,0.269191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,identifier,has_shared_contact_exact,734,522,0.230245,0.055556,0.0,0.0,0.0,0.0,-0.515466,0.17469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,identifier,has_shared_pgp_fingerprint,734,522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,item_count_percentile_gap_abs,734,522,0.127314,0.153711,0.067661,0.173136,0.190016,0.260719,0.179215,0.242235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,item_count_raw_gap_abs,734,522,134.920981,2.377395,4.0,1.0,31.0,2.0,-0.19071,0.356781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,max_category_share_percentile_gap_abs,734,522,0.180058,0.356819,0.041104,0.0,0.289993,0.828131,0.528869,0.361552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,max_category_share_raw_gap_abs,734,522,0.131069,0.200271,0.036242,0.0,0.185965,0.5,0.327077,0.212414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,price_median_percentile_gap_abs,731,522,0.169076,0.274337,0.095617,0.24043,0.240534,0.45731,0.480529,0.261983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,price_median_raw_gap_abs,731,522,4462.285802,8231917.020257,11.89,0.99258,96.99904,49.805842,0.061954,0.253225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,structural,profile_category_jaccard,734,522,0.383858,0.425351,0.2,0.5,1.0,1.0,0.100618,0.131641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,punct_ratio_mean_percentile_gap_abs,734,522,0.203969,0.357554,0.140912,0.302943,0.302631,0.590392,0.625685,0.253965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,punct_ratio_mean_raw_gap_abs,734,522,0.031131,0.073857,0.014578,0.053649,0.034212,0.103719,0.673458,0.398619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,repeated_description_share_percentile_gap_abs,734,522,0.116047,0.02145,0.044151,0.0,0.183243,0.028717,-0.852279,0.385689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_drift,all_supervision,style_gap,repeated_description_share_raw_gap_abs,734,522,0.165559,0.13469,0.045486,0.0,0.233333,0.0,-0.115091,0.369826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
