pair_uid,data_bucket,candidate_language,split_name,split_component_id,review_label,review_stratum,usable_for_supervision,usable_for_core_transfer,candidate_rule_hits,shared_contact_count,shared_pgp_fingerprint_count,shared_title_count,shared_description_count,embedding_cosine_multilingual_e5_large,embedding_cosine_bge_m3,embedding_cosine_labse,structural_support_score_raw,source_seller_raw_left,source_seller_raw_right,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,has_direct_identifier_signal,has_template_clone_signal,has_semantic_topic_signal,has_public_contact_or_url_noise_signal,evidence_type_reasons
market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,zh_target_strict,zh,train,comp_00213,positive,identifier_plus_text,1,1,,,,,,0.944062,0.89714,0.954724,0.546737,/shop/449035,/shop/461222,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:167147||market_item.xlsx|中文暗网交易市场|seller_raw:65684,zh_target_strict,zh,train,silver_train_comp_00001,positive,text_clone_primary,1,1,,,,,,0.992375,0.99482,0.995228,0.999537,167147,65684,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:210589||market_item.xlsx|中文暗网交易市场|seller_raw:58949,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.949397,0.90451,0.938795,0.925504,210589,58949,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|中文暗网交易市场|seller_raw:605194||market_item.xlsx|茶马古道|seller_raw:/shop/441160,zh_target_strict,zh,valid,comp_00046,positive,identifier_primary,1,1,,,,,,0.941245,0.904142,0.947764,0.305919,605194,/shop/441160,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:610694||market_item.xlsx|中文暗网交易市场|seller_raw:611478,zh_target_strict,zh,train,silver_train_comp_00118,positive,semantic_only,1,1,,,,,,0.969478,0.93136,0.986435,0.470736,610694,611478,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/454497||market_item.xlsx|茶马古道|seller_raw:/shop/454507,zh_target_strict,zh,test,comp_00216,positive,identifier_plus_text,1,1,,,,,,0.984977,0.963703,0.967873,0.839189,/shop/454497,/shop/454507,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:597091||market_item.xlsx|茶马古道|seller_raw:/shop/439316,zh_target_strict,zh,train,silver_train_comp_00002,positive,text_clone_primary,1,1,,,,,,0.983095,0.983263,0.996644,0.499756,597091,/shop/439316,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:38978||market_item.xlsx|中文暗网交易市场|seller_raw:99610,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.948537,0.924466,0.934887,0.819444,38978,99610,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|中文暗网交易市场|seller_raw:516000||market_item.xlsx|茶马古道|seller_raw:/shop/5524,zh_target_strict,zh,train,silver_train_comp_00013,positive,identifier_primary,1,1,,,,,,0.899717,0.842669,0.871898,0.233778,516000,/shop/5524,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|茶马古道|seller_raw:/shop/395618||market_item.xlsx|茶马古道|seller_raw:/shop/9931,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.934413,0.876292,0.97174,0.496151,/shop/395618,/shop/9931,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
