model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,score_mean,positive_score_mean,negative_score_mean,negative_score_p90,negative_score_max,positive_score_min,positive_score_p10
raw_e5_cosine,all,106,21,85,0.806723,0.520573,0.918121,0.938503,0.913085,0.938058,0.966964,0.890773,0.915197
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,all,106,21,85,0.842017,0.588995,0.351205,0.583074,0.29392,0.619481,0.7813686666666667,0.26440166666666665,0.354741
step15_identity_only_phase4_seed_mean,all,106,21,85,0.889636,0.699299,0.190996,0.539556,0.104882,0.325418,0.88946,0.03737566666666667,0.091906
step15_v2_identity_from_scratch_phase4_seed_mean,all,106,21,85,0.889636,0.699299,0.190996,0.539556,0.104882,0.325418,0.88946,0.03737566666666667,0.091906
step15_v2_warm_start_phase4_seed_mean,all,106,21,85,0.885714,0.689943,0.202493,0.562819,0.113471,0.401322,0.9480369999999999,0.04607433333333333,0.047271
step15_v2_domain_balanced_phase4_seed_mean,all,106,21,85,0.901401,0.714371,0.267099,0.67307,0.1668,0.580271,0.9583526666666667,0.095412,0.245991
step15_v2_zh_positive_mixup_phase4_seed_mean,all,106,21,85,0.892997,0.693178,0.241102,0.625681,0.146088,0.600559,0.9364473333333333,0.053607999999999996,0.130946
step15_v2_identifier_operational_phase4_seed_mean,all,106,21,85,0.882913,0.745849,0.178118,0.51618,0.094597,0.310762,0.642478,0.020097666666666666,0.049525
raw_e5_cosine,evidence_type::ordinary_negative,61,0,61,,,0.914234,,0.914234,0.938096,0.966964,,
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.28204,,0.28204,0.620935,0.7395843333333333,,
step15_identity_only_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.057131,,0.057131,0.106907,0.88946,,
step15_v2_identity_from_scratch_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.057131,,0.057131,0.106907,0.88946,,
step15_v2_warm_start_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.064703,,0.064703,0.089225,0.9480369999999999,,
step15_v2_domain_balanced_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.113937,,0.113937,0.33388,0.9134666666666668,,
step15_v2_zh_positive_mixup_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.085641,,0.085641,0.236325,0.9087643333333334,,
step15_v2_identifier_operational_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.061847,,0.061847,0.188433,0.5539836666666667,,
raw_e5_cosine,evidence_type::public_contact_or_url_noise,6,0,6,,,0.925665,,0.925665,0.938315,0.940433,,
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,evidence_type::public_contact_or_url_noise,6,0,6,,,0.511352,,0.511352,0.642203,0.7813686666666667,,
step15_identity_only_phase4_seed_mean,evidence_type::public_contact_or_url_noise,6,0,6,,,0.503034,,0.503034,0.865827,0.876515,,
step15_v2_identity_from_scratch_phase4_seed_mean,evidence_type::public_contact_or_url_noise,6,0,6,,,0.503034,,0.503034,0.865827,0.876515,,
step15_v2_warm_start_phase4_seed_mean,evidence_type::public_contact_or_url_noise,6,0,6,,,0.556273,,0.556273,0.904151,0.9470013333333333,,
