pair_uid,review_label,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,step15_pool,split_name,synthetic_train_only,usable_for_supervision,usable_for_core_transfer,core_transfer_eligible,training_sample_weight,mixup_parent_left_pair_uid,mixup_parent_right_pair_uid,mixup_parent_left_pool,mixup_parent_right_pool,mixup_parent_left_evidence_type,mixup_parent_right_evidence_type,mixup_parent_left_training_sample_weight,mixup_parent_right_training_sample_weight,mixup_lambda_right
synthetic_positive_mixup::0,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:USADRUGLORD||market_item.xlsx|agartha market|seller_raw:willson99,market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.40146165
synthetic_positive_mixup::1,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:BossAmerica||market_item.xlsx|agartha market|seller_raw:Bestplug,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:fortunemaker,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.77664567
synthetic_positive_mixup::2,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:462585||market_item.xlsx|中文暗网交易市场|seller_raw:466000,market_item.xlsx|中文暗网交易市场|seller_raw:534628||market_item.xlsx|中文暗网交易市场|seller_raw:562478,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.34464036
synthetic_positive_mixup::3,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:DrogenTeamDE (100%)||market_item.xlsx|apollon market|seller_raw:SuperDrugs (100%),market_item.xlsx|silk road 3.1|seller_raw:Dickscloud||market_item.xlsx|silk road 3.1|seller_raw:DicksonCloud,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.98523524
synthetic_positive_mixup::4,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Rodrigomendez||market_item.xlsx|agartha market|seller_raw:truu00,market_item.xlsx|agartha market|seller_raw:USADruglord||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.02445796
synthetic_positive_mixup::5,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|Lime|seller_raw:ketplug,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:drugload90,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.93065929
synthetic_positive_mixup::6,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:WEEDKING01||market_item.xlsx|agartha market|seller_raw:truu00,market_item.xlsx|agartha market|seller_raw:CannaCare||market_item.xlsx|agartha market|seller_raw:tonyplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.07125853
synthetic_positive_mixup::7,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:methking||market_item.xlsx|agartha market|seller_raw:dreamboss,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:makershop,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.46058502
synthetic_positive_mixup::8,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:legitsupply||market_item.xlsx|agartha market|seller_raw:master,market_item.xlsx|agartha market|seller_raw:dozy1992||market_item.xlsx|agartha market|seller_raw:kaiserplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.99965752
synthetic_positive_mixup::9,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:the-plutus (97%)||market_item.xlsx|darkfox market|seller_raw:plutus,market_item.xlsx|dark0de|seller_raw:gmailz||market_item.xlsx|vice city|seller_raw:Gmail,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.00283115
synthetic_positive_mixup::10,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:149940||market_item.xlsx|中文暗网交易市场|seller_raw:157835,market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:596096,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.86979957
synthetic_positive_mixup::11,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Daha2020||market_item.xlsx|agartha market|seller_raw:wolfhon66,market_item.xlsx|agartha market|seller_raw:Rodrigomendez||market_item.xlsx|agartha market|seller_raw:truu00,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.2654738
synthetic_positive_mixup::12,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|dark0de|seller_raw:cosmiccannabispnw||market_item.xlsx|darkfox market|seller_raw:CosmicCannabis,market_item.xlsx|darkfox market|seller_raw:procarder2||market_item.xlsx|silk road 3.1|seller_raw:procarder7,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.26290265
synthetic_positive_mixup::13,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:ketplug||market_item.xlsx|agartha market|seller_raw:Lordpharma,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:dozy1992,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.62246515
synthetic_positive_mixup::14,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:kaiserplug||market_item.xlsx|agartha market|seller_raw:wolfhon66,market_item.xlsx|agartha market|seller_raw:CannaCare||market_item.xlsx|agartha market|seller_raw:kaiserplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.86318829
synthetic_positive_mixup::15,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:L0RDXANAX||market_item.xlsx|silk road 3.1|seller_raw:RealLordXanax,market_item.xlsx|silk road 3.1|seller_raw:Gunnerman||market_item.xlsx|silk road 3.1|seller_raw:TheGunnerMan,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.86196422
synthetic_positive_mixup::16,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:JiffyBagBoys (100%)||market_item.xlsx|dark0de|seller_raw:jiffybagboystor,market_item.xlsx|darkfox market|seller_raw:ROCKO||market_item.xlsx|vice city|seller_raw:Rugrats,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.98970743
synthetic_positive_mixup::17,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:347899||market_item.xlsx|茶马古道|seller_raw:/shop/6242,market_item.xlsx|中文暗网交易市场|seller_raw:516000||market_item.xlsx|茶马古道|seller_raw:/shop/5524,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.22526275
synthetic_positive_mixup::18,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:68679,market_item.xlsx|中文暗网交易市场|seller_raw:352600||market_item.xlsx|中文暗网交易市场|seller_raw:605666,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.41919106
