pair_uid,review_label,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,step15_pool,split_name,synthetic_train_only,usable_for_supervision,usable_for_core_transfer,core_transfer_eligible,training_sample_weight,mixup_parent_left_pair_uid,mixup_parent_right_pair_uid,mixup_parent_left_pool,mixup_parent_right_pool,mixup_parent_left_evidence_type,mixup_parent_right_evidence_type,mixup_parent_left_training_sample_weight,mixup_parent_right_training_sample_weight,mixup_lambda_right
synthetic_positive_mixup::0,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:maryjohanna||market_item.xlsx|silk road 3.1|seller_raw:welcuredrugs,market_item.xlsx|agartha market|seller_raw:ProGlobalSam||market_item.xlsx|agartha market|seller_raw:legitsupply,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.99996862
synthetic_positive_mixup::1,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:tonyplug,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:Legitsales,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.74320179
synthetic_positive_mixup::2,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:makershop||market_item.xlsx|agartha market|seller_raw:tonyplug,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:dozy1992,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.97698568
synthetic_positive_mixup::3,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:ProGlobalSam||market_item.xlsx|agartha market|seller_raw:drugload90,market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|agartha market|seller_raw:truu00,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.95992711
synthetic_positive_mixup::4,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:537697,market_item.xlsx|茶马古道|seller_raw:/shop/395006||market_item.xlsx|茶马古道|seller_raw:/shop/446570,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.1190329
synthetic_positive_mixup::5,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Legitsales||market_item.xlsx|agartha market|seller_raw:kaiserplug,market_item.xlsx|agartha market|seller_raw:Jamesrox||market_item.xlsx|agartha market|seller_raw:Walgreens,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.83314854
synthetic_positive_mixup::6,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:dozy1992,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:fortunemaker,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.63989058
synthetic_positive_mixup::7,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:WEEDKING01||market_item.xlsx|agartha market|seller_raw:truu00,market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:chrisstore24,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.95039792
synthetic_positive_mixup::8,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:446965||market_item.xlsx|中文暗网交易市场|seller_raw:45068,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:70840,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.97890938
synthetic_positive_mixup::9,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:OREIA||market_item.xlsx|silk road 3.1|seller_raw:oreiaa,market_item.xlsx|darkfox market|seller_raw:originalgermed||market_item.xlsx|versus market|seller_raw:OriginalGerMeds,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.65354206
synthetic_positive_mixup::10,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Damason||market_item.xlsx|agartha market|seller_raw:caliscoties,market_item.xlsx|agartha market|seller_raw:Billsbarons420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.36492695
synthetic_positive_mixup::11,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:433599||market_item.xlsx|中文暗网交易市场|seller_raw:435064,market_item.xlsx|中文暗网交易市场|seller_raw:365949||market_item.xlsx|中文暗网交易市场|seller_raw:370168,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.09619339
synthetic_positive_mixup::12,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:501102,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,1.0,0.55,0.56866982
synthetic_positive_mixup::13,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:deathrow2||market_item.xlsx|agartha market|seller_raw:kaiserplug,market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.32749616
synthetic_positive_mixup::14,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,market_item.xlsx|中文暗网交易市场|seller_raw:352600||market_item.xlsx|中文暗网交易市场|seller_raw:605666,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.13662858
synthetic_positive_mixup::15,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:ProGlobalSam||market_item.xlsx|agartha market|seller_raw:legitsupply,market_item.xlsx|agartha market|seller_raw:Billsbarons420||market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.68354215
synthetic_positive_mixup::16,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:deathrow2||market_item.xlsx|agartha market|seller_raw:kaiserplug,market_item.xlsx|agartha market|seller_raw:CannaCare||market_item.xlsx|agartha market|seller_raw:kaiserplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.61937472
synthetic_positive_mixup::17,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|incognito|seller_raw:/vendor/jamesocean||market_item.xlsx|vice city|seller_raw:Jamesocean,market_item.xlsx|darkfox market|seller_raw:HappyShopOrigi||market_item.xlsx|vice city|seller_raw:HappyShop,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.13687726
synthetic_positive_mixup::18,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|dark0de|seller_raw:pickwickfactorynl||market_item.xlsx|darkfox market|seller_raw:PickwckFctryNL,market_item.xlsx|darkfox market|seller_raw:originalgermed||market_item.xlsx|versus market|seller_raw:OriginalGerMeds,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.25514415
synthetic_positive_mixup::19,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:250715||market_item.xlsx|中文暗网交易市场|seller_raw:465763,market_item.xlsx|中文暗网交易市场|seller_raw:435064||market_item.xlsx|中文暗网交易市场|seller_raw:95895,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.6146373
synthetic_positive_mixup::20,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:68679,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.01658238
synthetic_positive_mixup::21,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:462296||market_item.xlsx|中文暗网交易市场|seller_raw:562478,market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:149940,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.07281687
synthetic_positive_mixup::22,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:443620||market_item.xlsx|茶马古道|seller_raw:/shop/824,market_item.xlsx|中文暗网交易市场|seller_raw:342077||market_item.xlsx|茶马古道|seller_raw:/shop/449476,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.11736105
synthetic_positive_mixup::23,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:ProGlobalSam||market_item.xlsx|agartha market|seller_raw:dozy1992,market_item.xlsx|agartha market|seller_raw:Piposhop||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.37731124
