pair_uid,review_label,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,step15_pool,split_name,synthetic_train_only,usable_for_supervision,usable_for_core_transfer,core_transfer_eligible,training_sample_weight,mixup_parent_left_pair_uid,mixup_parent_right_pair_uid,mixup_parent_left_pool,mixup_parent_right_pool,mixup_parent_left_evidence_type,mixup_parent_right_evidence_type,mixup_parent_left_training_sample_weight,mixup_parent_right_training_sample_weight,mixup_lambda_right
synthetic_positive_mixup::0,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:SUPPERFLY||market_item.xlsx|vice city|seller_raw:Jackwilldogs,market_item.xlsx|agartha market|seller_raw:drugload90||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.64951029
synthetic_positive_mixup::1,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:333110||market_item.xlsx|中文暗网交易市场|seller_raw:375149,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:46626,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.999106
synthetic_positive_mixup::2,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:250715||market_item.xlsx|中文暗网交易市场|seller_raw:465763,market_item.xlsx|中文暗网交易市场|seller_raw:435064||market_item.xlsx|中文暗网交易市场|seller_raw:95895,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.99594313
synthetic_positive_mixup::3,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:kaiserplug||market_item.xlsx|agartha market|seller_raw:private,market_item.xlsx|agartha market|seller_raw:kaiserplug||market_item.xlsx|agartha market|seller_raw:tonyplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.99107987
synthetic_positive_mixup::4,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|Lime|seller_raw:ketplug,market_item.xlsx|agartha market|seller_raw:Billsbarons420||market_item.xlsx|agartha market|seller_raw:drugload90,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.01206047
synthetic_positive_mixup::5,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:the-plutus (97%)||market_item.xlsx|darkfox market|seller_raw:plutus,market_item.xlsx|apollon market|seller_raw:HotShop (100%)||market_item.xlsx|dark0de|seller_raw:hotshop100,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.1361987
synthetic_positive_mixup::6,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:32635||market_item.xlsx|中文暗网交易市场|seller_raw:81020,market_item.xlsx|中文暗网交易市场|seller_raw:462585||market_item.xlsx|中文暗网交易市场|seller_raw:466000,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.0699016
synthetic_positive_mixup::7,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Damason||market_item.xlsx|agartha market|seller_raw:caliscoties,market_item.xlsx|agartha market|seller_raw:Billsbarons420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.16654007
synthetic_positive_mixup::8,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:537697,market_item.xlsx|茶马古道|seller_raw:/shop/395006||market_item.xlsx|茶马古道|seller_raw:/shop/446570,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.91925996
synthetic_positive_mixup::9,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:dozy1992,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.64201582
