model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,score_mean,positive_score_mean,negative_score_mean,negative_score_p90,negative_score_max,positive_score_min,positive_score_p10
raw_e5_cosine,all,200,50,150,0.748,0.542839,0.919927,0.936594,0.914371,0.938996,0.968727,0.890773,0.909795
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,all,200,50,150,0.756667,0.557633,0.351118,0.502475,0.300665,0.559913,0.802422,0.10081466666666668,0.22176
step15_v5_public_noise_weighted_strong_phase4_seed_mean,all,200,50,150,0.866533,0.72522,0.306487,0.523534,0.234138,0.42784,0.8154026666666666,0.1678683333333333,0.177015
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,all,200,50,150,0.865333,0.644989,0.445272,0.495537,0.428517,0.503659,0.5835786666666666,0.419756,0.438934
step15_v5r_public_noise_weighted_strong_weighted_mixup_phase4_seed_mean,all,200,50,150,0.872667,0.683587,0.36304,0.487697,0.321488,0.439508,0.7030560000000001,0.29025366666666663,0.30451
step15_v5r_domain_balanced_public_noise_weighted_strong_weighted_mixup_phase4_seed_mean,all,200,50,150,0.884,0.743946,0.28336,0.466614,0.222275,0.359825,0.6826263333333333,0.17333400000000002,0.202004
raw_e5_cosine,evidence_type::ordinary_negative,112,0,112,,,0.915565,,0.915565,0.941645,0.968727,,
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,evidence_type::ordinary_negative,112,0,112,,,0.296669,,0.296669,0.529623,0.802422,,
step15_v5_public_noise_weighted_strong_phase4_seed_mean,evidence_type::ordinary_negative,112,0,112,,,0.206174,,0.206174,0.276036,0.6890436666666666,,
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,evidence_type::ordinary_negative,112,0,112,,,0.417587,,0.417587,0.451128,0.517203,,
step15_v5r_public_noise_weighted_strong_weighted_mixup_phase4_seed_mean,evidence_type::ordinary_negative,112,0,112,,,0.304321,,0.304321,0.358829,0.6362556666666667,,
step15_v5r_domain_balanced_public_noise_weighted_strong_weighted_mixup_phase4_seed_mean,evidence_type::ordinary_negative,112,0,112,,,0.209142,,0.209142,0.299729,0.6826263333333333,,
