pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,candidate_rule_count_non_identifier,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3,embedding_cosine_multilingual_e5_large_identifier_redacted,shared_oov_title_count_diagnostic,shared_oov_description_count_diagnostic
market_item.xlsx|apollon market|seller_raw:Bestbars (100%)||market_item.xlsx|apollon market|seller_raw:keranvends (100%),en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|apollon market|seller_raw:Bestbars (100%),market_item.xlsx|apollon market|seller_raw:keranvends (100%),apollon market,apollon market,1,1,high,pending,,0.625,1,1,1,0,5,5,5,3,0,0.0,0.0,0.0,0.0,12.53915,31.347874,6.269575,6.269575,0.0,0.0,0.0,5,4,0.754679,0.836521,1823,1823,0.032258,0.0,0.021505,0.086022,0.021505,0.021505,0.0,0.0,0.225806,0.002745,9.0,0.0,1.0,64.5,0.000932,0.000471,0.0,0.0,0.203081,0.00041,0.991405,0.965182,0.968932,0.970101,0.963014,0.910569,0.526007,0.973791878942,0.0,0.0
market_item.xlsx|agartha market|seller_raw:Rodrigomendez||market_item.xlsx|agartha market|seller_raw:truu00,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|agartha market|seller_raw:Rodrigomendez,market_item.xlsx|agartha market|seller_raw:truu00,agartha market,agartha market,1,1,high,pending,,0.666667,1,1,1,0,5,3,5,1,0,0.0,0.0,0.0,0.0,6.269575,18.808725,6.269575,6.269575,0.0,0.0,0.0,5,4,0.552489,0.744102,252,252,0.105263,0.105263,0.0,0.052632,0.052632,0.035088,0.017544,0.105263,0.017544,0.131474,85.0,0.000146,0.0,67.0,0.002875,0.005629,0.031385,0.07777,0.109156,0.059109,0.986588,0.94667,0.961314,0.968617,0.906959,0.899381,0.537522,0.956956770226,0.0,0.0
market_item.xlsx|apollon market|seller_raw:MrSoSa (95%)||market_item.xlsx|darkfox market|seller_raw:MrSoSa,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|apollon market|seller_raw:MrSoSa (95%),market_item.xlsx|darkfox market|seller_raw:MrSoSa,apollon market,darkfox market,0,1,high,pending,,0.0,1,1,1,0,5,1,0,2,0,0.0,0.0,0.0,0.0,6.269575,6.269575,6.269575,6.269575,0.0,0.0,0.0,4,3,0.573376,0.493981,1823,504,0.334869,0.293395,0.218894,0.120584,0.168971,0.000768,0.172811,0.0,0.073733,0.084701,26.0,12.49,8.5,66.5,0.028175,0.025089,0.092593,0.015873,0.222222,0.034927,0.98585,0.914813,0.950725,0.93539,0.921443,0.891811,0.744599,0.944951155459,1.0,1.0
market_item.xlsx|apollon market|seller_raw:Crownstar (100%)||market_item.xlsx|apollon market|seller_raw:Shan (100%),en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|apollon market|seller_raw:Crownstar (100%),market_item.xlsx|apollon market|seller_raw:Shan (100%),apollon market,apollon market,1,1,high,pending,,1.0,1,1,1,0,5,5,3,2,0,0.0,0.0,0.0,0.0,25.0783,12.53915,6.269575,6.269575,0.0,0.0,0.0,5,4,0.361152,0.937317,1823,1823,0.0,0.064516,0.043011,0.064516,0.032258,0.032258,0.0,0.0,0.032258,0.032931,0.0,17.5,1.0,50.0,0.015247,0.008641,0.0,0.0,0.071429,0.027772,0.99246,0.940934,0.953831,0.956083,0.966301,0.727391,0.196752,0.956651400735,0.0,0.0
market_item.xlsx|Cartel|seller_raw:mr_dough||market_item.xlsx|darkfox market|seller_raw:mrdough,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Cartel|seller_raw:mr_dough,market_item.xlsx|darkfox market|seller_raw:mrdough,Cartel,darkfox market,0,1,high,pending,,0.0,1,1,1,0,3,3,0,1,0,0.0,0.0,0.0,0.0,18.808725,6.269575,6.269575,6.269575,0.0,0.0,0.0,4,3,0.425936,0.335314,219,504,0.14716,0.948097,0.395009,0.054504,0.18101,0.272232,0.02926,0.05852,0.064544,0.16263,4.0,674.0,23.0,27.5,0.004312,0.013334,0.2,0.2,0.066667,0.036138,0.988617,0.908295,0.928896,0.938968,0.907705,0.830054,0.720568,0.949079702536,3.0,1.0
market_item.xlsx|versus market|seller_raw:TheBodyShops||market_item.xlsx|vice city|seller_raw:TheBodyShop,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|versus market|seller_raw:TheBodyShops,market_item.xlsx|vice city|seller_raw:TheBodyShop,versus market,vice city,0,1,high,pending,,0.125,1,1,1,0,5,5,1,1,0,0.0,0.0,0.0,0.0,0.0,25.0783,0.0,6.269575,0.0,0.0,0.0,4,3,0.327799,0.595221,199,225,0.041308,,0.149742,0.003442,0.001721,0.025818,0.0,0.005164,0.043029,0.011273,16.0,,5.0,933.0,0.000433,0.00171,0.0,0.010249,0.120221,0.003687,0.984988,0.940369,0.952384,0.971855,0.953906,0.932168,0.56751,0.961981549498,0.0,0.0
market_item.xlsx|Lime|seller_raw:dongreenplug||market_item.xlsx|Lime|seller_raw:thimoty99,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Lime|seller_raw:dongreenplug,market_item.xlsx|Lime|seller_raw:thimoty99,Lime,Lime,1,1,high,pending,,0.428571,1,1,1,0,5,2,5,2,0,0.0,0.0,0.0,0.0,6.269575,12.53915,6.269575,6.269575,0.0,0.0,0.0,5,4,0.294222,0.657404,110,110,0.005164,0.020761,0.094664,0.005164,0.013769,0.003442,0.015491,0.025818,0.060241,0.064221,4204.0,50.0,6.0,7.0,0.002746,0.001132,0.065282,0.029463,0.079196,0.030672,0.982837,0.938949,0.949407,0.965558,0.963528,0.714138,0.234131,0.963262913314,1.0,2.0
market_item.xlsx|agartha market|seller_raw:Daha2020||market_item.xlsx|agartha market|seller_raw:wolfhon66,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|agartha market|seller_raw:Daha2020,market_item.xlsx|agartha market|seller_raw:wolfhon66,agartha market,agartha market,1,1,high,pending,,0.111111,1,1,1,0,5,1,2,1,0,0.0,0.0,0.0,0.0,18.808725,0.0,6.269575,0.0,0.0,0.0,0.0,4,3,0.352122,0.356671,252,252,0.701754,0.245614,0.052632,0.122807,0.052632,0.087719,0.649123,0.684211,0.22807,0.099602,364.0,0.009,2.0,122.0,0.003425,0.002771,0.500884,0.471033,0.037885,0.043071,0.983705,0.944036,0.944734,0.972802,0.976987,0.918299,0.767654,0.969013704375,0.0,0.0
market_item.xlsx|silk road 3.1|seller_raw:Pfizer||market_item.xlsx|silk road 3.1|seller_raw:kennedybrown,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|silk road 3.1|seller_raw:Pfizer,market_item.xlsx|silk road 3.1|seller_raw:kennedybrown,silk road 3.1,silk road 3.1,1,1,high,pending,,0.764706,1,1,1,0,2,5,5,1,0,0.0,0.0,0.0,0.0,6.269575,25.0783,6.269575,6.269575,0.0,0.0,0.0,5,4,0.574621,0.641026,2609,2609,0.037594,0.0,0.0,0.078947,0.281955,0.338346,0.018797,0.056391,0.007519,0.029142,131.0,0.0,0.0,414.0,0.025293,0.034489,0.410747,0.065686,0.036771,0.018219,0.984871,0.941148,0.963167,0.961809,0.919447,0.735843,0.795677,0.966768058953,1.0,4.0
market_item.xlsx|Cartel|seller_raw:dddprovider||market_item.xlsx|tor2door market|seller_raw:ddprovider,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Cartel|seller_raw:dddprovider,market_item.xlsx|tor2door market|seller_raw:ddprovider,Cartel,tor2door market,0,1,high,pending,,0.0,1,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,6.269575,18.808725,6.269575,6.269575,0.0,0.0,0.0,5,4,0.792305,0.637212,219,146,0.070568,0.0,0.099828,0.027539,0.017212,0.006885,0.0,0.030981,0.0,0.033218,4.0,0.0,16.0,73.5,0.003151,0.001117,0.0,0.066667,0.0,0.031366,0.97672,0.900931,0.929927,0.931326,0.861703,0.74086,0.289165,0.927645633005,1.0,3.0
