pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,candidate_rule_count_non_identifier,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3,embedding_cosine_multilingual_e5_large_identifier_redacted,shared_oov_title_count_diagnostic,shared_oov_description_count_diagnostic
market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/449035,market_item.xlsx|茶马古道|seller_raw:/shop/461222,茶马古道,茶马古道,1,1,high,pending,,0.4,1,1,1,0,4,5,2,1,0,0.0,0.0,0.0,0.0,25.413747,25.413747,6.353437,6.353437,0.0,0.0,0.0,4,3,0.710652,0.546737,2629,2629,0.126984,0.186508,0.242063,0.09127,0.329365,0.25,0.0,0.0,0.0,0.206241,5.0,10.0,5.5,17.5,0.044407,0.025437,0.0,0.0,0.0,0.02293,0.992911,0.89714,0.944062,0.954724,0.94644,0.666203,0.319221,0.938911315093,0.0,0.0
market_item.xlsx|茶马古道|seller_raw:/shop/454497||market_item.xlsx|茶马古道|seller_raw:/shop/454507,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/454497,market_item.xlsx|茶马古道|seller_raw:/shop/454507,茶马古道,茶马古道,1,1,high,pending,,1.0,1,1,1,0,1,1,2,1,0,0.0,0.0,0.0,0.0,6.353437,6.353437,6.353437,6.353437,0.0,0.0,0.0,5,4,0.817098,0.839189,2629,2629,0.150794,0.0,0.0,0.003968,0.02381,0.0,0.007937,0.0,0.0,0.065069,2.0,0.0,0.0,0.5,0.003912,0.000978,0.25,0.0,0.0,0.031599,0.987901,0.963703,0.984977,0.967873,0.968642,0.780676,0.493259,0.981124525344,1.0,1.0
market_item.xlsx|中文暗网交易市场|seller_raw:167147||market_item.xlsx|中文暗网交易市场|seller_raw:65684,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:167147,market_item.xlsx|中文暗网交易市场|seller_raw:65684,中文暗网交易市场,中文暗网交易市场,1,1,high,pending,,1.0,1,1,0,0,5,5,2,0,0,0.0,0.0,0.0,0.0,38.12062,56.030202,6.353437,6.225578,0.0,0.0,0.0,4,4,0.872602,0.999537,2468,2468,0.0,0.0,0.0,0.0,0.010554,0.002639,0.0,0.0,0.0,0.029185,0.0,0.0,0.0,0.0,0.002008,1e-06,0.0,0.0,0.0,0.001696,0.999105,0.99482,0.992375,0.995228,0.988494,0.675261,0.047473,0.994689727283,0.0,0.0
market_item.xlsx|中文暗网交易市场|seller_raw:564088||market_item.xlsx|茶马古道|seller_raw:/shop/9636,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|中文暗网交易市场|seller_raw:564088,market_item.xlsx|茶马古道|seller_raw:/shop/9636,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,1,0,1,1,0,3,0,0.0,0.0,0.0,0.0,6.353437,12.706873,6.353437,6.353437,0.0,0.0,0.0,4,3,0.698233,0.275666,2468,2629,0.208768,0.189115,0.090191,0.014774,0.172729,0.047012,0.001393,0.086904,0.0,0.05274,2.0,49.99917,0.0,111.0,0.077526,0.012596,0.0,0.333333,0.0,0.037913,0.99121,0.940289,0.929413,0.947749,0.902619,0.662651,0.089112,0.936364545541,1.0,2.0
market_item.xlsx|茶马古道|seller_raw:/shop/402037||market_item.xlsx|茶马古道|seller_raw:/shop/6332,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/402037,market_item.xlsx|茶马古道|seller_raw:/shop/6332,茶马古道,茶马古道,1,1,high,pending,,0.5,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,6.353437,12.706873,6.353437,6.353437,0.0,0.0,0.0,4,3,0.609375,0.339512,2629,2629,0.301587,0.634921,0.0,0.063492,0.003968,0.25,0.0,0.107143,0.690476,0.094749,3.0,496.0,0.0,102.5,0.001489,0.039393,0.0,0.5,0.25,0.009018,0.993967,0.939224,0.962933,0.965159,0.876223,0.664983,0.481841,0.970280297287,1.0,2.0
market_item.xlsx|中文暗网交易市场|seller_raw:597091||market_item.xlsx|茶马古道|seller_raw:/shop/439316,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:597091,market_item.xlsx|茶马古道|seller_raw:/shop/439316,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,2,5,0,0,0,0.0,0.0,0.0,0.0,12.706873,50.539811,6.353437,6.317476,0.0,0.0,0.0,3,3,1.0,0.499756,2468,2629,0.050017,0.266543,0.0639,0.048383,0.17208,0.080559,0.001393,0.011507,0.0,0.014592,0.0,14.99972,0.0,0.5,0.000197,0.001794,0.0,0.0,0.0,0.0,0.996617,0.983263,0.983095,0.996644,0.989358,0.77933,0.071115,0.994794194085,0.0,0.0
market_item.xlsx|中文暗网交易市场|seller_raw:595944||market_item.xlsx|茶马古道|seller_raw:/shop/439854,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:595944,market_item.xlsx|茶马古道|seller_raw:/shop/439854,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,12.706873,6.353437,6.353437,6.353437,0.0,0.0,0.0,3,3,0.64306,0.417318,2468,2629,0.013297,0.03896,0.01179,0.077753,0.068801,0.268271,0.001393,0.003591,0.623016,0.048464,7.0,82.99704,1.5,6.0,0.013428,0.018123,0.0,0.052632,0.038462,0.000417,0.989379,0.965074,0.964561,0.939949,0.89348,0.788755,0.041648,0.967653659884,2.0,1.0
market_item.xlsx|茶马古道|seller_raw:/shop/410559||market_item.xlsx|茶马古道|seller_raw:/shop/413373,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/410559,market_item.xlsx|茶马古道|seller_raw:/shop/413373,茶马古道,茶马古道,1,1,high,pending,,0.2,0,1,1,0,0,5,1,1,0,0.0,0.0,0.0,0.0,0.0,31.767183,0.0,6.353437,0.0,0.0,0.0,4,3,0.558081,0.627667,2629,2629,0.055556,0.0,0.007937,0.0,0.059524,0.111111,0.0,0.02381,0.059524,0.015221,23.0,0.0,0.5,1.0,0.009115,0.013346,0.0,0.073935,0.185463,0.001563,0.99568,0.968513,0.967823,0.973193,0.964267,0.938169,0.516864,0.969368607163,0.0,5.0
market_item.xlsx|茶马古道|seller_raw:/shop/397616||market_item.xlsx|茶马古道|seller_raw:/shop/398592,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|茶马古道|seller_raw:/shop/397616,market_item.xlsx|茶马古道|seller_raw:/shop/398592,茶马古道,茶马古道,1,1,high,pending,,0.6,1,1,0,0,3,3,3,0,0,0.0,0.0,0.0,0.0,12.706873,6.353437,6.353437,6.353437,0.0,0.0,0.0,4,4,0.500249,0.688281,2629,2629,0.130952,0.051587,0.305556,0.015873,0.031746,0.087302,0.0,0.0,0.0,0.189118,10.0,10.0,16.0,198.5,0.004861,0.010306,0.0,0.0,0.0,0.028583,0.991931,0.962387,0.962517,0.956139,0.915087,0.859392,0.170076,0.968021311054,2.0,1.0
market_item.xlsx|中文暗网交易市场|seller_raw:573258||market_item.xlsx|茶马古道|seller_raw:/shop/455140,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:573258,market_item.xlsx|茶马古道|seller_raw:/shop/455140,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,4,3,0,0,0,0.0,0.0,0.0,0.0,12.706873,12.706873,6.353437,6.353437,0.0,0.0,0.0,3,3,0.573733,0.437685,2468,2629,0.033201,0.053451,0.021286,0.056969,0.017056,0.146291,0.001393,0.011507,0.714286,0.100935,1.0,97.998155,0.5,389.5,0.053368,0.019873,0.0,0.0,0.294118,0.013555,0.984999,0.896491,0.918496,0.934833,0.780113,0.655749,0.107541,0.919803166557,2.0,2.0
market_item.xlsx|中文暗网交易市场|seller_raw:538752||market_item.xlsx|茶马古道|seller_raw:/shop/397934,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:538752,market_item.xlsx|茶马古道|seller_raw:/shop/397934,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,19.06031,31.767183,6.353437,6.353437,0.0,0.0,0.0,3,3,0.589996,0.387534,2468,2629,0.096652,0.160091,0.168216,0.084192,0.276605,0.141266,0.001393,0.0118,0.0,0.085425,7.0,49.99908,5.0,0.0,0.018351,0.008514,0.0,0.085858,0.0,0.009262,0.995561,0.939308,0.950178,0.963706,0.979424,0.928516,0.025953,0.964078558589,3.0,5.0
