candidate_rank,queue_type,candidate_subtype,data_bucket,pair_uid,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,review_stratum,candidate_rule_hits,evidence_signal_type,evidence_value,evidence_seller_frequency,existing_review_status,existing_review_label,existing_review_notes,existing_source_path,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,lexical_similarity,structural_support_score,embedding_cosine_multilingual_e5_large,embedding_cosine_bge_m3,embedding_cosine_labse,candidate_score,evidence_reasons,left_title_snippet,right_title_snippet,left_description_snippet,right_description_snippet,left_profile_preview,right_profile_preview,review_status,proposed_review_focus,label_instruction
1,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_aux,products_data.csv|__unknown__|seller_id:1880883||products_data.csv|__unknown__|seller_id:1889980,products_data.csv|__unknown__|seller_id:1880883,products_data.csv|__unknown__|seller_id:1889980,__unknown__,__unknown__,,,text_clone_primary,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,,,,,,,,,VN_越南_Zalo_Business扫脸实名成品号VPN,帮扫脸实名认证 ： 15U 开Business，商家： 20U 成品号： 普通Zalo成品号＞7天 ： 3U（6个起步）：未实名，不是越南网容易死，避免造成纠纷，慎拍，死了不包赔 || 普通Zalo成品号＞30天： 6U（2个起步）：未实名，不是越南网容易死，避免造成纠纷，慎拍，死了不包赔 || 在我这里用号尽管放心） 【登电脑端极力推荐】 越南VPN 10U 一个IP （记录你为常用越南IP,常规服务与操作,1.0,1.0,0.99964,0.999228,0.999655,117.0,template_or_clone_overlap|shared_title_count=1|shared_description_count=5,,,,,T: VN_越南_Zalo_Business扫脸实名成品号VPN || VN_越南_Zalo_Business扫脸实名成品号VPN | D: 【注意】 出号后半小时内要登录上去改密码，未实名号一旦被锁就凉，卡都是一次性的 固定一个老号作为陌生人，登录上去马上改密码，然后搜索这个陌生人跟他发消息，每天互发消息一次（一定要是互发消息，不是只单边发，3-5天） ZALO的风控比微信更严格 ---------------- 另有越南网购/快递数据一手出售，交易... | C: 常规服务与操作,T: VN_越南_Zalo_Business扫脸实名成品号VPN || VN_越南_Zalo_Business扫脸实名成品号VPN | D: 【注意】 出号后半小时内要登录上去改密码，未实名号一旦被锁就凉，卡都是一次性的 固定一个老号作为陌生人，登录上去马上改密码，然后搜索这个陌生人跟他发消息，每天互发消息一次（一定要是互发消息，不是只单边发，3-5天） ZALO的风控比微信更严格 ---------------- 另有越南网购/快递数据一手出售，交易... | C: 常规服务与操作,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
2,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_aux,products_data.csv|__unknown__|seller_id:187565||products_data.csv|__unknown__|seller_id:49925,products_data.csv|__unknown__|seller_id:187565,products_data.csv|__unknown__|seller_id:49925,__unknown__,__unknown__,,,text_clone_primary,profile_lexical_neighbor|shared_description_clone|structural_support,,,,,,,,,,（PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），国际邮费自理） 拍下后留收货地址，联系电... || 3.银行可以指定(指定银行暂只支持中，农，建，工，邮政，交通，中信)，实名手机卡也可以指定运营商(会预留五十话费) || [订制附加费] 1.如需绑定支付宝 微信 加 2份 2.如需开通国际漫游 加 1份 3.如需延长保用时间，费用为每月/500￥(5份),实体发货商品,0.976748,0.982628,0.991261,0.976528,0.989197,114.27438,template_or_clone_overlap|shared_title_count=0|shared_description_count=5,,,,,T: 1500￥出定制四件套，无条件售后质保两个月(四大行任君选择，还可指定运营商可开国际漫游) || 1500￥出定制四件套，无条件售后质保两个月(四大行任君选择，还可指定运营商可开国际漫游) | D: （PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），... | C: 实体发货商品,T: 1800出定制四件套无条件售后质保两个月可开国际漫游 || 1800出定制四件套无条件售后质保两个月可开国际漫游 | D: （PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），... | C: 实体发货商品,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
3,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:470314||market_item.xlsx|中文暗网交易市场|seller_raw:472166,market_item.xlsx|中文暗网交易市场|seller_raw:470314,market_item.xlsx|中文暗网交易市场|seller_raw:472166,中文暗网交易市场,中文暗网交易市场,470314,472166,text_clone_primary,profile_lexical_neighbor|shared_description_clone|structural_support,,,,,,,,,,【基本信息】 个人户籍/提供身份证/~~~80rmb·(拍1份) 全家户籍/提供身份证/~~~700rmb·(拍12份) 模糊查询/提供大概年龄、地区、名字/~~~400rmb·(拍6份) 犯罪记录/提供身份证/~~~200rmb·(拍3份) 网逃记录/提供身份证/~~~200rmb·(拍3份) 报警记录/提供身份证/~~~150rmb·(拍3份） 查... || 若有偏差请见谅 ========================================= 【社交平台】 微信号反查手机/提供微信号/~~~1200rmb·(拍2份) 支付宝查绑定手机/提供支付宝账号或收款码/~~~700rmb·(拍12份) QQ查绑定手机/提供QQ号/~~~300rmb·(拍10份) 贴吧查绑定手机/提供贴吧id/~~~30... || 中信银行正反查~~~价格不一700起 五大行流水/提供银行卡号卡号/~~~4000/月·(拍60份) ========================================== 【其他业务】 名下号技术(秒出,服务业务,0.903737,0.836991,0.990523,0.982358,0.995265,110.629605,template_or_clone_overlap|shared_title_count=0|shared_description_count=5,,,,,T: 全国信息查询丨稳定快速高效率丨精准 || 全国信息查询丨稳定快速高效率丨精准 | D: 【基本信息】 个人户籍/提供身份证/~~~80rmb·(拍1份) 全家户籍/提供身份证/~~~700rmb·(拍12份) 模糊查询/提供大概年龄、地区、名字/~~~400rmb·(拍6份) 犯罪记录/提供身份证/~~~200rmb·(拍3份) 网逃记录/提供身份证/~~~200rmb·(拍3份) 报警记录/提供身... | C: 服务业务,T: 全国信息一手查询丨稳定告诉高效率丨精准 || 全国信息一手查询丨稳定告诉高效率丨精准 | D: 【基本信息】 个人户籍/提供身份证/~~~80rmb·(拍1份) 全家户籍/提供身份证/~~~700rmb·(拍12份) 模糊查询/提供大概年龄、地区、名字/~~~400rmb·(拍6份) 犯罪记录/提供身份证/~~~200rmb·(拍3份) 网逃记录/提供身份证/~~~200rmb·(拍3份) 报警记录/提供身... | C: 服务业务,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
4,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_aux,products_data.csv|__unknown__|seller_id:319180||products_data.csv|__unknown__|seller_id:65684,products_data.csv|__unknown__|seller_id:319180,products_data.csv|__unknown__|seller_id:65684,__unknown__,__unknown__,,,text_clone_primary,profile_lexical_neighbor|shared_description_clone|structural_support,,,,,,,,,,第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加坑爹的58同城直接获取身份照片 第11课... || (1) 冷读术 (2) 现实世界的诱惑术 (3) 五步陷阱 (4) 杂耍人方法 (5) 吸引力原理 (6) 搭讪圣经 (7) 谜男方法 2.2018年最新黑客社会工程学视频教程 社会工程学在现实中随处可见，并且各领域对它的称呼各不相同， 从行走江湖的各路活神仙，老神棍，大师，到传销公司，到p2p金融骗子， 到现在各种自媒体的运营，以及巨头们的市场公关部... || 除了社会工程学这个名字以外，有人称它为话术，有人说这是厚黑，培训公司称之为沟通技巧，迷男们管这叫PUA,教程与文档,0.867791,0.743621,0.989052,0.984117,0.996349,108.510135,template_or_clone_overlap|shared_title_count=0|shared_description_count=5,,,,,T: 适用新手黑客，攻击原理及手法距离，黑客基础教程 || 适用新手黑客，攻击原理及手法距离，黑客基础教程 | D: 第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加... | C: 教程与文档,"T: 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! || 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! | D: 第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加... | C: 教程与文档",pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
5,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_strict,market_item.xlsx|茶马古道|seller_raw:/shop/431707||market_item.xlsx|茶马古道|seller_raw:/shop/436287,market_item.xlsx|茶马古道|seller_raw:/shop/431707,market_item.xlsx|茶马古道|seller_raw:/shop/436287,茶马古道,茶马古道,/shop/431707,/shop/436287,text_clone_primary,profile_lexical_neighbor|shared_title_clone|structural_support,,,,,,,,,求购营业执照，身份证正反面（注册亚马逊用）,,虚拟,1.0,1.0,0.994944,0.998404,0.997215,107.0,template_or_clone_overlap|shared_title_count=1|shared_description_count=0,,,,,T: 求购营业执照，身份证正反面（注册亚马逊用） || 求购营业执照，身份证正反面（注册亚马逊用） | D: 注册亚马逊用，验证可用后会确认，若不可用会提供证据 | C: 虚拟,T: 求购营业执照，身份证正反面（注册亚马逊用） || 求购营业执照，身份证正反面（注册亚马逊用） | D: 注册亚马逊用，验证可用后会确认，若不可用会提供证据 | C: 虚拟,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
6,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_aux,products_data.csv|__unknown__|seller_id:425820||products_data.csv|__unknown__|seller_id:665332,products_data.csv|__unknown__|seller_id:425820,products_data.csv|__unknown__|seller_id:665332,__unknown__,__unknown__,,,text_clone_primary,profile_lexical_neighbor|shared_description_clone|structural_support,,,,,,,,,,拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 || 只要打一个QQ电话，不管对方接还是拒接，或不接，都能就直接抓到对方IP,教程与文档,0.930599,0.940351,0.977008,0.982671,0.994161,106.717245,template_or_clone_overlap|shared_title_count=0|shared_description_count=2,,,,,T: QQ抓包查IP软件含使用教程 || QQ抓包查IP软件含使用教程 | D: 拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 | C: 教程与文档,T: qq抓包查ip工具包含使用教程 || qq抓包查ip工具包含使用教程 | D: 拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 | C: 教程与文档,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
7,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_aux,products_data.csv|__unknown__|seller_id:506844||products_data.csv|__unknown__|seller_id:528850,products_data.csv|__unknown__|seller_id:506844,products_data.csv|__unknown__|seller_id:528850,__unknown__,__unknown__,,,text_clone_primary,profile_lexical_neighbor|shared_description_clone|structural_support,,,,,,,,,,质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 || 发货：拍下后请留下收货地址和联系方式，一般当天中午十二点前下单当天发，十二点过后下单隔天发 || 产品的售出不是我们的目的，持久的合作才是我们的宗旨,实体发货商品,0.819613,0.937903,0.951326,0.937928,0.979987,106.460805,template_or_clone_overlap|shared_title_count=0|shared_description_count=3,,,,,T: 自己实体工厂开银行卡四件套900RMB一套稳定 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 | C: 实体发货商品,T: 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 || 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租500每月 | C: 实体发货商品,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
8,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:326247||market_item.xlsx|茶马古道|seller_raw:/shop/504,market_item.xlsx|中文暗网交易市场|seller_raw:326247,market_item.xlsx|茶马古道|seller_raw:/shop/504,中文暗网交易市场,茶马古道,326247,/shop/504,text_clone_primary,profile_lexical_neighbor|shared_description_clone,,,,,,,,,,"单笔10000到50000 日间快捷：单笔入金50-3999（凌晨6点到晚上23点） 夜间快捷：单笔入金50-3000（晚上23点到6点) 结算规则：百分百全额D0 代付规则：3万起提 (晚上9点到凌晨2点4小时不能出款) --------产品费率如下------------------------ 银联扫码、京东扫码 1.4% 支付宝个码扫码 2.7... || 外扣 结算规则：满三万下发 京东银联二维码扫码 交易时间：24小时 交易单笔：10-5000（不支持农行APP扫码） 代付单笔：10-30000 代付时间：24小时 手续费：2元 || 原生通道支持APP软件直接跳转，承接BC等各种收款行业使用,通道有支付演示视频，实时下发代付资金安全有保障",,0.920133,0.496037,0.971306,0.981662,0.992551,105.843215,template_or_clone_overlap|shared_title_count=0|shared_description_count=5,,,,,T: [更新]代开银行三方API网银快捷扫码收款通道 支持BC JR等行业 || [更新]代开银行三方API网银快捷扫码收款通道 支持BC JR等行业 | D: 单笔10000到50000 日间快捷：单笔入金50-3999（凌晨6点到晚上23点） 夜间快捷：单笔入金50-3000（晚上23点到6点) 结算规则：百分百全额D0 代付规则：3万起提 (晚上9点到凌晨2点4小时不能出款) --------产品费率如下------------------------ 银联扫码、京... | C: 服务业务,T: 代开银行三方API网银快捷支付宝扫码收款通道 支持BC等行业 || 代开银行三方API网银快捷支付宝扫码收款通道 支持BC等行业 | D: 单笔10000到50000 日间快捷：单笔入金50-3999（凌晨6点到晚上23点） 夜间快捷：单笔入金50-3000（晚上23点到6点) 结算规则：百分百全额D0 代付规则：3万起提 (晚上9点到凌晨2点4小时不能出款) --------产品费率如下------------------------ 银联扫码、京... | C: 数据,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
9,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_aux,products_data.csv|__unknown__|seller_id:575281||products_data.csv|__unknown__|seller_id:583340,products_data.csv|__unknown__|seller_id:575281,products_data.csv|__unknown__|seller_id:583340,__unknown__,__unknown__,,,text_clone_primary,profile_lexical_neighbor|shared_description_clone|structural_support,,,,,,,,,,亲自带队开卡质量有保证，卡源都是同村隔壁村，开卡人都能找到，本人线下也出货，出货量大质量有保证价格相对优惠 || 奉劝各位卡是一次性用品，卡内资金快进快出，卡内不要留存大量资金，质保60天，质保期卡内资金全保，司法冻结收30%手续费 || 国外没办法做代收，下单拍12份 拍下后第二天发顺丰，收货没问题请及时放款，利于今后合作愉快,实体发货商品,0.561308,0.830152,0.951428,0.939446,0.960904,103.67844,template_or_clone_overlap|shared_title_count=0|shared_description_count=5,,,,,T: 3000元出银行四件套绝保安全可靠拍一份余款可货到付款 || 四件套银行卡1200实打实做质量 | D: 拍下一份=15美元 约100人民币剩下余款2900元快递代收货到付款 如果需要直接拍下 留言写下具体要求（什么银行等）留下发货地址 别说我的卡贵，其实对于可靠的四件套，这已经很便宜了，观察了一下本站其他卖家1000多块就能卖的，您请细品 我观察本站其他卖家，大都是在做黑吃黑的勾当 | C: 实体发货商品,T: 四件套银行卡1200实打实做质量之前合作的客户留言我补证件照 || 四件套银行卡1200实打实做质量之前合作的客户留言我补证件照 | D: 企鹅 玖柒玖玖 叁留玖柒 商品：2 企业营业执照 —— 身份证 —— 营业执照正副本原件 —— 章程 —— U盾 —— 结算卡 —— 公章 —— 开户许可证 —— 手机卡 公司企业对公账户 1.5w不还价 成本比较高 因市场管控严格市面严重缺货{公司有很多类型可以要求开户行，抬头随机安排} {商品：2 购买前说明 要求 | C: 实体发货商品,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
10,hard_negative_candidate,template_clone_not_controller_candidate,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:446883||market_item.xlsx|茶马古道|seller_raw:/shop/4165,market_item.xlsx|中文暗网交易市场|seller_raw:446883,market_item.xlsx|茶马古道|seller_raw:/shop/4165,中文暗网交易市场,茶马古道,446883,/shop/4165,text_clone_primary,profile_lexical_neighbor|shared_description_clone|shared_title_clone,,,,,,,,,最新成人H游戏自己操作小岛养老婆啪啪画面精美,在此的已完全破解并完美汉化 大致剧情是男主角和一个妹子漂流到了一个小岛 || 高三的萝莉小妹子，已经靠卖自拍小视频在南京买了两套房子了 从2017年6月以来，做成人网站的门槛越来越低，你不做永远有人做 || 18套精美模板以及超详细搭建教程 教程从购买域名服务器到正式运营都有涉及,,0.711696,0.362924,0.942617,0.93946,0.979161,101.67778,template_or_clone_overlap|shared_title_count=1|shared_description_count=5,,,,,T: 最新成人H游戏自己操作小岛养老婆啪啪画面精美 || 黄网色情H站源码全自动采集附详细搭建教程 | D: 个人收藏的多部国产精品，全都是高清，多部合集，带剧情和生活实拍，要的就是真实才刺激 付款后，自动发货，通过网盘下载， 付款下载后验收后请主动点击放款 后续如有下载地址失效请联系重新补发 | C: 影视色情 || 虚拟物品,T: 黄网H色情网站源码全自动采集附详细搭建教程 || 营业执照加法人身份证正反面1500套 | D: 营业执照加法人身份证正反面1500套 营业执照 法人身份证正反面 共计1500套左右 已设置自动发货，拍下付款会自动发货 | C: 虚拟,pending,"Check whether this is a true different-controller hard negative: template reuse, same topic, or public/non-seller contact overlap.",candidate_only_requires_manual_review_never_auto_label
