pair_uid,silver_score,label_tier,training_sample_weight,silver_positive_reasons,existing_review_label,seller_uid_left,seller_uid_right,shared_contact_count,shared_contact_values,shared_title_count,shared_description_count,lexical_similarity,structural_support_score,candidate_rank_score
market_item.xlsx|中文暗网交易市场|seller_raw:542584||market_item.xlsx|中文暗网交易市场|seller_raw:634642,81.136032,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed|silver_clone_overlap_relaxed|silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:542584,market_item.xlsx|中文暗网交易市场|seller_raw:634642,0,,2,1,0.32484,0.826306,12.601652
market_item.xlsx|中文暗网交易市场|seller_raw:510154||market_item.xlsx|茶马古道|seller_raw:/shop/436749,70.237924,silver_high_similarity_relaxed,0.24,silver_high_similarity_relaxed|silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:510154,market_item.xlsx|茶马古道|seller_raw:/shop/436749,0,,0,2,0.855489,0.32626,10.785454
market_item.xlsx|中文暗网交易市场|seller_raw:28645||market_item.xlsx|中文暗网交易市场|seller_raw:40113,69.0737,silver_high_similarity_relaxed,0.24,silver_high_similarity_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:28645,market_item.xlsx|中文暗网交易市场|seller_raw:40113,0,,0,3,0.979417,0.275459,11.42742
market_item.xlsx|中文暗网交易市场|seller_raw:510509||market_item.xlsx|茶马古道|seller_raw:/shop/443084,68.243992,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:510509,market_item.xlsx|茶马古道|seller_raw:/shop/443084,0,,0,6,0.655438,0.364007,9.660642
market_item.xlsx|茶马古道|seller_raw:/shop/394471||market_item.xlsx|茶马古道|seller_raw:/shop/432627,65.120924,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/394471,market_item.xlsx|茶马古道|seller_raw:/shop/432627,0,,0,1,0.453087,0.994056,9.706634
market_item.xlsx|中文暗网交易市场|seller_raw:331162||market_item.xlsx|中文暗网交易市场|seller_raw:488193,64.621724,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:331162,market_item.xlsx|中文暗网交易市场|seller_raw:488193,0,,0,1,0.439895,0.993297,9.625964
market_item.xlsx|茶马古道|seller_raw:/shop/5741||market_item.xlsx|茶马古道|seller_raw:/shop/7993,62.833412,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/5741,market_item.xlsx|茶马古道|seller_raw:/shop/7993,0,,0,2,0.612521,0.618208,9.911542
market_item.xlsx|中文暗网交易市场|seller_raw:567500||market_item.xlsx|茶马古道|seller_raw:/shop/402602,62.450704,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed|silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:567500,market_item.xlsx|茶马古道|seller_raw:/shop/402602,0,,1,4,0.292612,0.309896,9.375464
market_item.xlsx|茶马古道|seller_raw:/shop/405653||market_item.xlsx|茶马古道|seller_raw:/shop/442299,62.338364,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/405653,market_item.xlsx|茶马古道|seller_raw:/shop/442299,0,,0,2,0.449983,0.785593,9.271084
market_item.xlsx|中文暗网交易市场|seller_raw:551987||market_item.xlsx|茶马古道|seller_raw:/shop/406894,61.626472,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:551987,market_item.xlsx|茶马古道|seller_raw:/shop/406894,0,,0,3,0.74221,0.309591,10.072442
