pair_uid,silver_score,label_tier,training_sample_weight,silver_negative_reasons,existing_review_label,seller_uid_left,seller_uid_right,shared_contact_count,shared_title_count,shared_description_count,lexical_similarity,structural_support_score,candidate_rank_score
market_item.xlsx|中文暗网交易市场|seller_raw:71807||market_item.xlsx|茶马古道|seller_raw:/shop/722,31.85897,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:71807,market_item.xlsx|茶马古道|seller_raw:/shop/722,0,1,5,0.225286,0.248791,8.849298
market_item.xlsx|中文暗网交易市场|seller_raw:544322||market_item.xlsx|茶马古道|seller_raw:/shop/405334,29.407414,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:544322,market_item.xlsx|茶马古道|seller_raw:/shop/405334,0,1,3,0.181764,0.197195,8.484974
market_item.xlsx|中文暗网交易市场|seller_raw:459702||market_item.xlsx|茶马古道|seller_raw:/shop/2937,28.783204,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:459702,market_item.xlsx|茶马古道|seller_raw:/shop/2937,0,1,3,0.146856,0.266322,8.41378
market_item.xlsx|中文暗网交易市场|seller_raw:541551||market_item.xlsx|茶马古道|seller_raw:/shop/399807,27.00867,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:541551,market_item.xlsx|茶马古道|seller_raw:/shop/399807,0,1,2,0.272268,0.270823,9.175254
market_item.xlsx|中文暗网交易市场|seller_raw:546317||market_item.xlsx|茶马古道|seller_raw:/shop/404772,26.8683,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:546317,market_item.xlsx|茶马古道|seller_raw:/shop/404772,0,1,2,0.229483,0.251433,8.879764
market_item.xlsx|中文暗网交易市场|seller_raw:526589||market_item.xlsx|茶马古道|seller_raw:/shop/397707,26.8413,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:526589,market_item.xlsx|茶马古道|seller_raw:/shop/397707,0,1,2,0.23304,0.25949,8.91722
market_item.xlsx|中文暗网交易市场|seller_raw:512768||market_item.xlsx|茶马古道|seller_raw:/shop/397527,26.557122,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:512768,market_item.xlsx|茶马古道|seller_raw:/shop/397527,0,1,2,0.140722,0.214535,8.273402
market_item.xlsx|中文暗网交易市场|seller_raw:543006||market_item.xlsx|茶马古道|seller_raw:/shop/399807,26.464314,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:543006,market_item.xlsx|茶马古道|seller_raw:/shop/399807,0,1,2,0.172131,0.261412,8.55561
market_item.xlsx|中文暗网交易市场|seller_raw:529346||market_item.xlsx|茶马古道|seller_raw:/shop/397675,26.438436,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:529346,market_item.xlsx|茶马古道|seller_raw:/shop/397675,0,1,2,0.163088,0.256682,8.491892
market_item.xlsx|中文暗网交易市场|seller_raw:512373||market_item.xlsx|茶马古道|seller_raw:/shop/397778,26.403654,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:512373,market_item.xlsx|茶马古道|seller_raw:/shop/397778,0,1,2,0.167684,0.267075,8.540254
market_item.xlsx|中文暗网交易市场|seller_raw:569984||market_item.xlsx|茶马古道|seller_raw:/shop/422565,25.641114,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:569984,market_item.xlsx|茶马古道|seller_raw:/shop/422565,0,1,2,0.0,0.226481,7.452962
market_item.xlsx|中文暗网交易市场|seller_raw:475252||market_item.xlsx|茶马古道|seller_raw:/shop/405740,25.560954,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:475252,market_item.xlsx|茶马古道|seller_raw:/shop/405740,0,1,2,0.0,0.239841,7.479682
market_item.xlsx|中文暗网交易市场|seller_raw:563971||market_item.xlsx|茶马古道|seller_raw:/shop/396961,25.510482,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:563971,market_item.xlsx|茶马古道|seller_raw:/shop/396961,0,1,2,0.0,0.248253,7.496506
market_item.xlsx|中文暗网交易市场|seller_raw:526002||market_item.xlsx|茶马古道|seller_raw:/shop/397407,25.470672,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:526002,market_item.xlsx|茶马古道|seller_raw:/shop/397407,0,1,2,0.0,0.254888,7.509776
market_item.xlsx|中文暗网交易市场|seller_raw:518336||market_item.xlsx|茶马古道|seller_raw:/shop/397707,25.433322,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:518336,market_item.xlsx|茶马古道|seller_raw:/shop/397707,0,1,2,0.0,0.261113,7.522226
market_item.xlsx|中文暗网交易市场|seller_raw:566237||market_item.xlsx|茶马古道|seller_raw:/shop/411784,25.401966,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:566237,market_item.xlsx|茶马古道|seller_raw:/shop/411784,0,1,2,0.0,0.266339,7.532678
market_item.xlsx|中文暗网交易市场|seller_raw:546272||market_item.xlsx|茶马古道|seller_raw:/shop/402697,25.33638,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:546272,market_item.xlsx|茶马古道|seller_raw:/shop/402697,0,1,2,0.0,0.27727,7.55454
market_item.xlsx|中文暗网交易市场|seller_raw:536790||market_item.xlsx|茶马古道|seller_raw:/shop/397527,24.472634,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:536790,market_item.xlsx|茶马古道|seller_raw:/shop/397527,0,1,1,0.215878,0.220439,8.736146
market_item.xlsx|中文暗网交易市场|seller_raw:526321||market_item.xlsx|茶马古道|seller_raw:/shop/397707,24.448802,silver_template_noise_negative_relaxed,0.16,silver_template_noise_negative_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:526321,market_item.xlsx|茶马古道|seller_raw:/shop/397707,0,1,1,0.252198,0.260731,9.03465
