pair_uid,candidate_score,label_tier,training_sample_weight,existing_review_label,seller_uid_left,seller_uid_right,shared_contact_count,shared_pgp_fingerprint_count,shared_title_count,shared_description_count,lexical_similarity,structural_support_score,candidate_rank_score
market_item.xlsx|中文暗网交易市场|seller_raw:61706||market_item.xlsx|茶马古道|seller_raw:/shop/10155,13.361323,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:61706,market_item.xlsx|茶马古道|seller_raw:/shop/10155,0,0,1,0,0.631837,0.245415,6.281852
market_item.xlsx|茶马古道|seller_raw:/shop/414182||market_item.xlsx|茶马古道|seller_raw:/shop/415493,12.680634,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|茶马古道|seller_raw:/shop/414182,market_item.xlsx|茶马古道|seller_raw:/shop/415493,0,0,0,1,0.49054,0.275296,8.493832
market_item.xlsx|中文暗网交易市场|seller_raw:69573||market_item.xlsx|茶马古道|seller_raw:/shop/402851,11.89513,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:69573,market_item.xlsx|茶马古道|seller_raw:/shop/402851,0,0,1,0,0.487295,0.275575,5.47492
market_item.xlsx|中文暗网交易市场|seller_raw:533176||market_item.xlsx|茶马古道|seller_raw:/shop/397407,10.487907,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:533176,market_item.xlsx|茶马古道|seller_raw:/shop/397407,0,0,1,0,0.38134,0.246538,4.781116
market_item.xlsx|中文暗网交易市场|seller_raw:44614||market_item.xlsx|茶马古道|seller_raw:/shop/9341,9.915768,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:44614,market_item.xlsx|茶马古道|seller_raw:/shop/9341,0,0,0,1,0.259504,0.258688,7.0744
market_item.xlsx|中文暗网交易市场|seller_raw:530985||market_item.xlsx|茶马古道|seller_raw:/shop/404772,9.862342,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:530985,market_item.xlsx|茶马古道|seller_raw:/shop/404772,0,0,0,1,0.231941,0.299234,6.990114
market_item.xlsx|中文暗网交易市场|seller_raw:530986||market_item.xlsx|茶马古道|seller_raw:/shop/404772,9.838824,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:530986,market_item.xlsx|茶马古道|seller_raw:/shop/404772,0,0,1,0,0.290067,0.308162,4.356726
market_item.xlsx|中文暗网交易市场|seller_raw:481496||market_item.xlsx|茶马古道|seller_raw:/shop/425743,9.707524,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:481496,market_item.xlsx|茶马古道|seller_raw:/shop/425743,0,0,1,0,0.352774,0.177019,4.470682
market_item.xlsx|茶马古道|seller_raw:/shop/396767||market_item.xlsx|茶马古道|seller_raw:/shop/411022,9.704256,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|茶马古道|seller_raw:/shop/396767,market_item.xlsx|茶马古道|seller_raw:/shop/411022,0,0,0,1,0.216107,0.302927,6.902496
market_item.xlsx|中文暗网交易市场|seller_raw:36073||market_item.xlsx|茶马古道|seller_raw:/shop/6101,9.426497,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:36073,market_item.xlsx|茶马古道|seller_raw:/shop/6101,0,0,1,0,0.264452,0.290046,4.166804
market_item.xlsx|中文暗网交易市场|seller_raw:630712||market_item.xlsx|茶马古道|seller_raw:/shop/451995,9.190171,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:630712,market_item.xlsx|茶马古道|seller_raw:/shop/451995,0,0,1,0,0.27369,0.237344,4.116828
market_item.xlsx|中文暗网交易市场|seller_raw:502245||market_item.xlsx|茶马古道|seller_raw:/shop/7924,8.992794,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:502245,market_item.xlsx|茶马古道|seller_raw:/shop/7924,0,0,1,0,0.277216,0.20074,4.064776
market_item.xlsx|中文暗网交易市场|seller_raw:541874||market_item.xlsx|茶马古道|seller_raw:/shop/408791,8.97901,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:541874,market_item.xlsx|茶马古道|seller_raw:/shop/408791,0,0,0,1,0.17986,0.25548,6.59012
market_item.xlsx|中文暗网交易市场|seller_raw:591087||market_item.xlsx|茶马古道|seller_raw:/shop/402602,8.96512,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:591087,market_item.xlsx|茶马古道|seller_raw:/shop/402602,0,0,1,0,0.217423,0.30227,3.909078
market_item.xlsx|中文暗网交易市场|seller_raw:484447||market_item.xlsx|茶马古道|seller_raw:/shop/425743,8.903405,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:484447,market_item.xlsx|茶马古道|seller_raw:/shop/425743,0,0,1,0,0.213729,0.299311,3.880996
market_item.xlsx|中文暗网交易市场|seller_raw:186203||market_item.xlsx|茶马古道|seller_raw:/shop/194,8.727625,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:186203,market_item.xlsx|茶马古道|seller_raw:/shop/194,0,0,1,0,0.199815,0.296885,3.79266
market_item.xlsx|中文暗网交易市场|seller_raw:512567||market_item.xlsx|茶马古道|seller_raw:/shop/397778,8.583932,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:512567,market_item.xlsx|茶马古道|seller_raw:/shop/397778,0,0,0,1,0.142911,0.26007,6.377606
market_item.xlsx|中文暗网交易市场|seller_raw:514820||market_item.xlsx|茶马古道|seller_raw:/shop/397707,8.227579,silver_semantic_low_structure_negative_imbalance,0.12,,market_item.xlsx|中文暗网交易市场|seller_raw:514820,market_item.xlsx|茶马古道|seller_raw:/shop/397707,0,0,1,0,0.178088,0.258395,3.585318
