pair_uid,split_name,reference_subset,reviewer_a_decision,reviewer_b_decision,adjudicated_decision,adjudicator_id,final_decision,final_tier_role
market_item.xlsx|中文暗网交易市场|seller_raw:11870||market_item.xlsx|中文暗网交易市场|seller_raw:311141,test,positive_candidate,uncertain,different_controller,different_controller,adjudicator_c,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:156043||market_item.xlsx|中文暗网交易市场|seller_raw:33465,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:171918||market_item.xlsx|茶马古道|seller_raw:/shop/395891,test,positive_candidate,soft_same_controller,soft_same_controller,,,soft_same_controller,sensitivity_only_not_strict_gold
market_item.xlsx|中文暗网交易市场|seller_raw:178257||market_item.xlsx|中文暗网交易市场|seller_raw:8641,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:187565||market_item.xlsx|中文暗网交易市场|seller_raw:434839,valid,positive_candidate,soft_same_controller,soft_same_controller,,,soft_same_controller,sensitivity_only_not_strict_gold
market_item.xlsx|中文暗网交易市场|seller_raw:18936||market_item.xlsx|中文暗网交易市场|seller_raw:24304,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:206750||market_item.xlsx|中文暗网交易市场|seller_raw:604165,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:24225||market_item.xlsx|茶马古道|seller_raw:/shop/425839,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:24304||market_item.xlsx|茶马古道|seller_raw:/shop/405626,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:24304||market_item.xlsx|茶马古道|seller_raw:/shop/442,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:27792||market_item.xlsx|中文暗网交易市场|seller_raw:70467,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:29778||market_item.xlsx|中文暗网交易市场|seller_raw:436034,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:29778||market_item.xlsx|中文暗网交易市场|seller_raw:52938,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:311141||market_item.xlsx|茶马古道|seller_raw:/shop/427472,test,positive_candidate,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:31478||market_item.xlsx|中文暗网交易市场|seller_raw:546208,valid,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:31478||market_item.xlsx|茶马古道|seller_raw:/shop/429133,valid,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:31478||market_item.xlsx|茶马古道|seller_raw:/shop/451570,valid,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:31478||market_item.xlsx|茶马古道|seller_raw:/shop/462026,valid,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:31478||market_item.xlsx|茶马古道|seller_raw:/shop/464480,valid,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:32875||market_item.xlsx|中文暗网交易市场|seller_raw:35465,test,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:342919||market_item.xlsx|茶马古道|seller_raw:/shop/398325,test,positive_candidate,soft_same_controller,soft_same_controller,,,soft_same_controller,sensitivity_only_not_strict_gold
market_item.xlsx|中文暗网交易市场|seller_raw:345233||market_item.xlsx|茶马古道|seller_raw:/shop/7810,test,positive_candidate,soft_same_controller,soft_same_controller,,,soft_same_controller,sensitivity_only_not_strict_gold
market_item.xlsx|中文暗网交易市场|seller_raw:363589||market_item.xlsx|茶马古道|seller_raw:/shop/432946,valid,negative_control,different_controller,different_controller,,,different_controller,reviewed_negative_candidate
market_item.xlsx|中文暗网交易市场|seller_raw:435630||market_item.xlsx|中文暗网交易市场|seller_raw:438364,valid,positive_candidate,uncertain,soft_same_controller,uncertain,adjudicator_c,uncertain,exclude_from_binary_evaluation
