"review_index","blind_id","split_name","source_market_raw_left","source_market_raw_right","source_seller_raw_left","source_seller_raw_right","alias_normalized_left","alias_normalized_right","alias_relation","item_count_left","item_count_right","shared_contact_count","shared_contact_types","shared_contact_values","shared_pgp_fingerprint_count","shared_pgp_fingerprint_values","pgp_alias_hit_count_left","pgp_alias_hit_count_right","shared_title_count","shared_title_values","shared_description_count","shared_description_values","shared_category_count","shared_category_values","left_preview","right_preview","raw_contact_occurrences_json","component_candidate_path_json","independent_decision","seller_facing_direct_evidence","alternative_explanation_ruled_out","review_confidence","review_rationale"
"1","blind_0a67617e78f5482d09e4","valid","中文暗网交易市场","茶马古道","592056","/shop/406792","592056","/shop/406792","different_alias","2","1","0","","","0","","0","0","0","","1","优点是获取的都是最近登录的访客，而不是几个月前甚至几年前的用户，时效性高，适宜电销运控","0","","T: 每日更新一手棋牌QP彩票体育联通运营商数据 || 每日更新一手股票股民期货移动运营商数据 | D: 拍下请留言需要屏蔽的地区（未留言当全地区）以及行业，空停有问题号，包换包退 价格 0.2元/条，每份1万条，需要多少量直接拍 | C: 数据资源","T: ★★★★★【 运营商数据 】★★★★★ 移动联通电信三网指定抓取 || ★★★★★【 运营商数据 】★★★★★ 移动联通电信三网指定抓取 | D: 移动联通电信三网运营商大数据指定网站、app访客手机获取： 获取指定网站访客、app登录访客手机号码 | C: 数据","[]","[]","soft_same_controller","no","no","medium","Exact overlap (T=0, D=1) includes '优点是获取的都是最近登录的访客，而不是几个月前甚至几年前的用户，时效性高，适宜电销运控'; no direct seller identifier closes the pair, so template/product reuse remains plausible."
"2","blind_6142101f577b79ad7ee0","test","中文暗网交易市场","茶马古道","586118","/shop/403136","586118","/shop/403136","different_alias","2","6","0","","","0","","0","0","1","今年新出浦发银行理财优质客户15W含金额","1","浦发银行上海地区理财优质客户 今年新出15万条购买理财产品客户的数据， 姓名|性别|生日|手机号|运营商|产品名称|年化收益|期限|起额|金额| 收益类型|风险等级|客户类型|身份证|联系地址 如图内容很详细，含客户投资金额 经济中心一线大城市的高净值群体，股票，配资等等用途非常广","0","","T: 今年新出浦发银行理财优质客户15W含金额 || 私拍他人勿拍 | D: 浦发银行上海地区理财优质客户 今年新出15万条购买理财产品客户的数据， 姓名|性别|生日|手机号|运营商|产品名称|年化收益|期限|起额|金额| 收益类型|风险等级|客户类型|身份证|联系地址 如图内容很详细，含客户投资金额 经济中心一线大城市的高净值群体，股票，配资等等用途非常广 | C: 私人专拍 || 数据资源","T: 今年新出浦发银行理财优质客户15W含金额 || 今年新鲜网贷申请信息11万条首发贷款 | D: 浦发银行上海地区理财优质客户 今年新出15万条购买理财产品客户的数据， 姓名|性别|生日|手机号|运营商|产品名称|年化收益|期限|起额|金额| 收益类型|风险等级|客户类型|身份证|联系地址 如图内容很详细，含客户投资金额 经济中心一线大城市的高净值群体，股票，配资等等用途非常广 | C: 数据 || 担保私拍","[]","[]","soft_same_controller","no","no","medium","Exact overlap (T=1, D=1) includes '今年新出浦发银行理财优质客户15W含金额'; no direct seller identifier closes the pair, so template/product reuse remains plausible."
"3","blind_ecdef0365bc67de5766a","valid","中文暗网交易市场","茶马古道","605004","/shop/447283","605004","/shop/447283","different_alias","2","9","0","","","0","","0","0","0","","0","","0","","T: 2021年最新光大银行客户48475条银行卡数据 || 2021年最新招商银行客户48543条银行卡数据 | D: 2021年最新光大银行客户48475条银行卡数据 光大银行2021年最新内部流出银行卡数据48475条，内含含详细的个人信息 数据格式：姓名|身份证号|性别|出生日期|籍贯|预留手机|所在地|运营商|银行卡号|卡类型|卡种 详见附图，有数据样本，自行测试 拍下自动发货，通过自动回复的下载链接下载即可 ——————... | C: 数据资源","T: 2021年最新一手4386条南洋商业银行信用卡数据 || 2021年最新农业银行客户48488条银行卡数据 | D: 2021年最新民生银行卡数据38692条含完整信息 民生银行2021年最新流出银行卡数据38692条，包含详细的个人信息 本次流出的数据为借记卡数据 数据格式：姓名|身份证号|性别|籍贯|银行卡号|卡类型|发卡行|卡种|预留手机 详见附图，有数据样本，自行测试 拍下自动发货，通过自动回复的下载链接下载即可 ———... | C: 数据","[]","[]","soft_same_controller","no","no","medium","No direct identifier is closed. '2021年最新光大银行客户48475条银行卡数据' and '2021年最新一手4386条南洋商业银行信用卡数据' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible."
"4","blind_11eec78e276d43f361d3","valid","茶马古道","茶马古道","/shop/418985","/shop/423102","/shop/418985","/shop/423102","different_alias","1","3","0","","","0","","0","0","0","","0","","1","技术","T: 各类杀猪盘搭建！ || 各类杀猪盘搭建！ | C: 技术","T: 网盘搭建，包网，杀猪盘，可控。各种网盘 || 微信QQ各种社交私人老号全网最低价 | D: 全网最低价出售陌陌微信QQ等各平台社交账号，拍下后联系TG@kaka940120发货 | C: 实物 || 技术","[]","[]","different_controller","no","no","high","No seller-facing identifier is shared; '各类杀猪盘搭建！' and '网盘搭建，包网，杀猪盘，可控。各种网盘' overlap only at broad category/topic level and materially differ in offer or content."
"5","blind_8f9f205ac81f5b262599","test","茶马古道","茶马古道","/shop/7275","/shop/7449","/shop/7275","/shop/7449","different_alias","1","1","0","","","0","","0","0","0","","0","","1","数据","T: 长期大量收QQ邮箱微信引流粉bc、qp、cp 需支持验证或测试 价格好谈 中介勿扰 中介勿扰 || 长期大量收QQ邮箱微信引流粉bc、qp、cp 需支持验证或测试 价格好谈 中介勿扰 中介勿扰 | D: 长期大量收QQ邮箱微信引流粉bc、qp、cp一手源头数据 需支持验证或测试 价格好谈 中介勿扰 中介勿扰，求购QQ邮箱粉最新数据有多少要多少必须一手 | C: 数据","T: 长期大量收bc、qp、cp一手源头数据 需支持验证或测试 价格好谈 中介勿扰 中介勿扰 || 长期大量收bc、qp、cp一手源头数据 需支持验证或测试 价格好谈 中介勿扰 中介勿扰 | D: 大量收bc、cp、qp一手源头数据 运营商实时或脱库都可以 需支持测试或验证 公司长期大量收 价格好谈 有能力、有质量量全包了 中介不要浪费彼此时间 中介不要浪费彼此时间 | C: 数据","[]","[]","soft_same_controller","no","no","medium","No direct identifier is closed. '长期大量收QQ邮箱微信引流粉bc、qp、cp 需支持验证或测试 价格好谈 中介勿扰 中介勿扰' and '长期大量收bc、qp、cp一手源头数据 需支持验证或测试 价格好谈 中介勿扰 中介勿扰' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible."
"6","blind_445d35643db5f1762aa6","test","茶马古道","茶马古道","/shop/415759","/shop/421078","/shop/415759","/shop/421078","different_alias","1","1","0","","","0","","0","0","0","","0","","1","服务","T: 黑客大神，能改成绩，大学成绩的来 || 黑客大神，能改成绩，大学成绩的来 | D: 国内大学，正方教务系统，渗透学校教务系统内网网站，拿权限或进数据库修改成绩 | C: 服务","T: 国内大学改成绩 || 国内大学改成绩 | D: 国内大学改成绩，正方教务系统，进数据库改或拿权限 | C: 服务","[]","[]","soft_same_controller","no","no","medium","No direct identifier is closed. '黑客大神，能改成绩，大学成绩的来' and '国内大学改成绩' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible."
"7","blind_d0808183e5c684011632","test","中文暗网交易市场","中文暗网交易市场","490054","565793","490054","565793","different_alias","1","6","0","","","0","","0","0","0","","0","","1","服务业务","T: 私家侦探调查查档（大批发） || 私家侦探调查查档（大批发） | D: 请谅解 【个人基本信息类】 个人户籍-提供身份证号码-50RMB·(拍1份) 全家户籍-提供身份证号码-500RMB·(拍10份) 模糊查询-提供大概年龄+地区+名字-250RMB·(拍5份) 犯罪记录-提供身份证号码-150RMB·(拍3份) 网逃记录-提供身份证号码-150RMB·(拍3份) 学信网学籍-提供... | C: 服务业务","T: 查档_开房_查所有_侦探_人肉_高级贴_14小时在线 || 24小时稳定查询业务 | D: 价格上下浮动我会在价格上调整 【个人基本信息类】 个人户籍-提供身份证号码-(拍1份) 全家户籍-提供身份证号码- 模糊查询-提供大概年龄+地区+名字-(拍5份) 犯罪记录-提供身份证号码-(拍4份) 网逃记录-提供身份证号码-(拍3份) 学信网学籍-提供身份证号码-(拍8份) 名下资产-提供身份证号码-(拍10... | C: 服务业务 || 数据资源","[]","[]","soft_same_controller","no","no","medium","No direct identifier is closed. '私家侦探调查查档（大批发）' and '查档_开房_查所有_侦探_人肉_高级贴_14小时在线' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible."
"8","blind_8d8e38f87482919fb0de","test","茶马古道","茶马古道","/shop/463317","/shop/463398","/shop/463317","/shop/463398","different_alias","2","1","0","","","0","","0","0","1","有偿 求师傅带 渗透，拖库。","2","找一个会渗透,拿站，脱库 的师傅带，有偿，学费走茶马平台担保，价钱详谈，（骗子绕道，我有一定基础，别浪费大家时间 || 找一个会渗透,拿站，脱库 的师傅带，有偿，学费走茶马平台担保，价钱详谈，（骗子绕道，我有一定基础，别浪费大家时间。）（勿拍！！！！请在信箱留言） 请在信箱留言，我看到马上跟你联系。谢谢！","0","","T: 有偿 求师傅带 渗透，拖库。 || 有偿 求师傅带 渗透，拖库。 | D: 找一个会渗透,拿站，脱库 的师傅带，有偿，学费走茶马平台担保，价钱详谈，（骗子绕道，我有一定基础，别浪费大家时间 | C: 数据","T: 有偿 求师傅带 渗透，拖库。 || 有偿 求师傅带 渗透，拖库。 | D: 找一个会渗透,拿站，脱库 的师傅带，有偿，学费走茶马平台担保，价钱详谈，（骗子绕道，我有一定基础，别浪费大家时间 | C: 技术","[]","[]","soft_same_controller","no","no","medium","Exact overlap (T=1, D=2) includes '有偿 求师傅带 渗透，拖库。'; no direct seller identifier closes the pair, so template/product reuse remains plausible."
"9","blind_d76c4d08eb1771a9d9c7","valid","茶马古道","茶马古道","/shop/442431","/shop/462498","/shop/442431","/shop/462498","different_alias","1","1","0","","","0","","0","0","0","","0","","0","","T: 纯 四 件 套 || 纯 四 件 套 | D: 15美金=100人民币，1份=100人民币，请根据需求拍下 纯四件套：银行卡+身份证正反面照片+实名预留手机卡,U盾 价格:2000元/套， 需实名注册微信加500 实名注册支付宝加500 实名注册交易平台加500 带手机加800 请根据需要拍下，留言写下具体要求 | C: 实物","T: 出 售 四件套 || 出 售 四件套 | D: 15美金=100人民币，1份=100人民币，请根据需求拍下 纯四件套：银行卡+身份证正反面照片+实名预留手机卡+U盾或者密码器 价格：2500元/套 需实名注册微信加500 实名注册支付宝加500 实名注册交易平台加500 带手机加700 请根据需要拍下，留言写下具体要求（什么银行什么交易平台等等） 严打期间，每... | C: 服务","[]","[]","soft_same_controller","no","no","medium","No direct identifier is closed. '纯 四 件 套' and '出 售 四件套' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible."
"10","blind_77b68b0cbcffd0171a16","valid","中文暗网交易市场","中文暗网交易市场","44226","68440","44226","68440","different_alias","2","1","0","","","0","","0","0","0","","0","","1","虚拟物品","T: 低价出售 买就送 手持+身份证正反+银行卡 || 50RMB出售各国护照身份证 | D: 出各国护照扫描件照片 美国,英国,德国,法国,中国大陆,香港等基本上有名国家都可以 手持护照 每张50rmb=0.0011btc 另外还有: 国内SFZ正反+手持 国内营业执照+SFZ 如有其他特殊需要可以发私信 | C: 虚拟物品 || 数据资源","T: RMB50元出售各国护照照片 || RMB50元出售各国护照照片 | D: 出各国护照扫描件照片 ，全世界都有需要私聊 单份50元 手持护照 单份100元 每张50rmb=0.0011btc 另外还有: 国内SFZ正反+手持 单份3元 国内营业执照+SFZ 单份50元 如有其他特殊需要可以发私信 | C: 虚拟物品","[]","[]","soft_same_controller","no","no","medium","No direct identifier is closed. '低价出售 买就送 手持+身份证正反+银行卡' and 'RMB50元出售各国护照照片' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible."
