dataset,split_name,pair_uid,seller_uid_left,seller_uid_right,review_label,old_split_component_id,stored_split_component_size,old_component_observed_pair_count,old_component_recomputed_component_count,recomputed_component_id,recomputed_component_pair_count,recomputed_component_seller_count,recomputed_component_splits,recomputed_component_old_id_count,old_partition_status,cross_split_component_leakage,cross_split_seller_leakage,cross_split_pair_uid_leakage,review_assistance_trace
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:11870||market_item.xlsx|中文暗网交易市场|seller_raw:311141,market_item.xlsx|中文暗网交易市场|seller_raw:11870,market_item.xlsx|中文暗网交易市场|seller_raw:311141,positive,comp_00002,2,2,1,zh_target_strict_cc_52940b50c8fb142c,2,3,test,1,one_to_one,0,0,0,
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:15581||market_item.xlsx|中文暗网交易市场|seller_raw:582366,market_item.xlsx|中文暗网交易市场|seller_raw:15581,market_item.xlsx|中文暗网交易市场|seller_raw:582366,negative,comp_00006,2,2,1,zh_target_strict_cc_173bbfa4d04e845e,2,3,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:156043||market_item.xlsx|中文暗网交易市场|seller_raw:33465,market_item.xlsx|中文暗网交易市场|seller_raw:156043,market_item.xlsx|中文暗网交易市场|seller_raw:33465,negative,comp_00007,1,1,1,zh_target_strict_cc_0d915ffd60aa5c0d,1,2,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:171918||market_item.xlsx|茶马古道|seller_raw:/shop/395891,market_item.xlsx|中文暗网交易市场|seller_raw:171918,market_item.xlsx|茶马古道|seller_raw:/shop/395891,positive,comp_00009,1,1,1,zh_target_strict_cc_cb2a89b7ae49376a,1,2,test,1,one_to_one,0,0,0,
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:177827||market_item.xlsx|中文暗网交易市场|seller_raw:499799,market_item.xlsx|中文暗网交易市场|seller_raw:177827,market_item.xlsx|中文暗网交易市场|seller_raw:499799,negative,comp_00011,2,2,1,zh_target_strict_cc_a31e9f4f6b7ff38f,2,3,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:178257||market_item.xlsx|中文暗网交易市场|seller_raw:8641,market_item.xlsx|中文暗网交易市场|seller_raw:178257,market_item.xlsx|中文暗网交易市场|seller_raw:8641,negative,comp_00012,1,1,1,zh_target_strict_cc_87d98b44678c2f83,1,2,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:188608||market_item.xlsx|茶马古道|seller_raw:/shop/433600,market_item.xlsx|中文暗网交易市场|seller_raw:188608,market_item.xlsx|茶马古道|seller_raw:/shop/433600,negative,comp_00015,3,3,1,zh_target_strict_cc_5f218d700a7d7a8b,3,3,test,1,one_to_one,0,0,0,cluster_or_component
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:188608||market_item.xlsx|茶马古道|seller_raw:/shop/439425,market_item.xlsx|中文暗网交易市场|seller_raw:188608,market_item.xlsx|茶马古道|seller_raw:/shop/439425,negative,comp_00015,3,3,1,zh_target_strict_cc_5f218d700a7d7a8b,3,3,test,1,one_to_one,0,0,0,cluster_or_component
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:18936||market_item.xlsx|中文暗网交易市场|seller_raw:24304,market_item.xlsx|中文暗网交易市场|seller_raw:18936,market_item.xlsx|中文暗网交易市场|seller_raw:24304,negative,comp_00016,9,9,1,zh_target_strict_cc_cadef8be64a9f2a6,9,8,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:206750||market_item.xlsx|中文暗网交易市场|seller_raw:604165,market_item.xlsx|中文暗网交易市场|seller_raw:206750,market_item.xlsx|中文暗网交易市场|seller_raw:604165,negative,comp_00020,2,2,1,zh_target_strict_cc_1417ca66474b6293,2,3,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:206750||market_item.xlsx|茶马古道|seller_raw:/shop/7343,market_item.xlsx|中文暗网交易市场|seller_raw:206750,market_item.xlsx|茶马古道|seller_raw:/shop/7343,negative,comp_00020,2,2,1,zh_target_strict_cc_1417ca66474b6293,2,3,test,1,one_to_one,0,0,0,graph
zh_target_strict,test,market_item.xlsx|中文暗网交易市场|seller_raw:24225||market_item.xlsx|茶马古道|seller_raw:/shop/425839,market_item.xlsx|中文暗网交易市场|seller_raw:24225,market_item.xlsx|茶马古道|seller_raw:/shop/425839,negative,comp_00022,1,1,1,zh_target_strict_cc_f512569ab0e62b00,1,2,test,1,one_to_one,0,0,0,graph
