manifest_version,input_manifest_sha256,dataset,entity_type,entity_id,source_splits,source_pair_count,recomputed_component_ids,exclusion_reasons,review_assistance_traces
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),train,1,en_content_train_pool_cc_50481108a33b850d,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,train,1,en_content_train_pool_cc_be967b90d809ceb9,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,train,1,en_content_train_pool_cc_5a9aa11e23a4c0b6,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Kript0x||market_item.xlsx|silk road 3.1|seller_raw:Electronicmen,valid,1,en_content_train_pool_cc_695fa25042d3e464,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Kript0x||market_item.xlsx|silk road 3.1|seller_raw:junior533,valid,1,en_content_train_pool_cc_695fa25042d3e464,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Ray Ban RB4175 Flash Lenses Sunglasses Replica鈼? 鈽?For whom(M/F): Unisex  鈽?Color: 鈽咶rame: Brown | Lens: Brown   鈽?Description: This Ray Ban RB4175 Flash Lenses Sunglasses Replica are 1:1  ...||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:ce DefQon Partyflock Mortal Kombat  Green Android Yellow Bullet   Yel ...,valid,1,en_content_train_pool_cc_ee09961ca4b3cca6,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:XanaxKing||market_item.xlsx|apollon market|seller_raw:rxbp (100%),valid,1,en_content_train_pool_cc_83777f2d7f837e5a,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,train,1,en_content_train_pool_cc_ebbaa123eebf6ca0,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:steveohjo||market_item.xlsx|silk road 3.1|seller_raw:DagobertHansa,valid,1,en_content_train_pool_cc_8e59ed88fab56ba4,step5_historically_reviewed_pair,
2026-07-16-step16i-data-integrity-v1,49d1746d30a2810802f06bfaebfcf9b0d25f5078a98f8d2c38ceee13d589061a,en_content_train_pool,pair_uid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:steveohjo||market_item.xlsx|silk road 3.1|seller_raw:DirtyPop,valid,1,en_content_train_pool_cc_8e59ed88fab56ba4,step5_historically_reviewed_pair,
