synthetic_pair_uid,synthetic_seller_uid,side,source_seller_uid,source_item_uid,source_row_number,content_signature
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|35c33dc1681581b406e9970ff19ea8b2fe1f413d,309629,40e5eb33f5e7d2a5c362d16ea20397318781ee9f9d2ae6c8eda1936b062445f9
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|7fcf97ccafdfa7fbbb89e96fdd2b7df7286759df,312716,39dfa7bb6850b37e0ab3d8938714de205c5e9856ad524daabf115ed9903d224f
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|bb6554c3cbe123e4c39e800a7075dcaf9cbe43d8,308446,c4986b7bfaf7b5c4d58202d5617a1a7b1993d849fb6595166c2a8f5f839986c5
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|e1895727b97fe7df25f54833aa965c956b393db5,312937,d2e405f24425f7c28a0b3764ca2ca370b7216d39b63cdb670176c6d487f3d58c
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|c3230ae47c739a327d72b6c2dedb37113f505417,315276,21c3ac481f4a8396b413e833fa4d1c1dcbbe5fe3ab8047b3249c868985691c58
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|ea34dae479f258d8d5f564a8bac4486a07cb2bf6,312130,cebd92bf4c2dcfae18323d737dce790b3c510e3c47d049dfcf1a363d21f4ee0c
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,left,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|f3c777e516eca672dd8c3ef64311fa6c06015551,308157,bd17a272d97d1d6cdd9e379d22e204e6e7d91757bcef3f1d5e9bbe63b9e478a2
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/right,right,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|7bd480692a52098357b4758f0fc15fe483ed4fc2,314140,7b1cd5c31ed8ad97a31fc68d5c0ad095dd2ad35ba69abc0c60df47b577851e1c
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/right,right,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|c08a7ab504b180ba17d4c72480c8e6eed68d409a,314682,25d9c7f4c1c51720a99330cfb556980baac6ecea857b2eec42f856066ef6759f
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/right,right,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|cc7689dca6858e45dd63c6d610e43f2f5cb1ac4e,309472,496bdfe3b09e16150f33010031b4fe0e150ac3241f5f80437d18c07bdb7a6990
