pair_uid,seller_uid_left,seller_uid_right,review_label,split_name,split_component_id,synthetic_class,synthetic_train_only,benchmark_eligible,usable_for_supervision,usable_for_core_transfer,training_sample_weight
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,synthetic://step22/v1/positive/p00000/left,synthetic://step22/v1/positive/p00000/right,positive,train,step22_unlabeled_seller_6e88eeff482999a5f1bf,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00001/left||synthetic://step22/v1/positive/p00001/right,synthetic://step22/v1/positive/p00001/left,synthetic://step22/v1/positive/p00001/right,positive,train,step22_unlabeled_seller_a48c4f0178a71c4ddf48,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00002/left||synthetic://step22/v1/positive/p00002/right,synthetic://step22/v1/positive/p00002/left,synthetic://step22/v1/positive/p00002/right,positive,train,zh_target_strict_cc_0507bae91408c271,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00003/left||synthetic://step22/v1/positive/p00003/right,synthetic://step22/v1/positive/p00003/left,synthetic://step22/v1/positive/p00003/right,positive,train,zh_target_strict_cc_3ea8308794671330,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00004/left||synthetic://step22/v1/positive/p00004/right,synthetic://step22/v1/positive/p00004/left,synthetic://step22/v1/positive/p00004/right,positive,train,step22_unlabeled_seller_3a3952d8e39d07ab02ee,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00005/left||synthetic://step22/v1/positive/p00005/right,synthetic://step22/v1/positive/p00005/left,synthetic://step22/v1/positive/p00005/right,positive,train,step22_unlabeled_seller_831c68358ec7833be3b9,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00006/left||synthetic://step22/v1/positive/p00006/right,synthetic://step22/v1/positive/p00006/left,synthetic://step22/v1/positive/p00006/right,positive,train,zh_target_strict_cc_5ccbcc47c3519a86,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00007/left||synthetic://step22/v1/positive/p00007/right,synthetic://step22/v1/positive/p00007/left,synthetic://step22/v1/positive/p00007/right,positive,train,step22_unlabeled_seller_8241209cb3990f66428f,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00008/left||synthetic://step22/v1/positive/p00008/right,synthetic://step22/v1/positive/p00008/left,synthetic://step22/v1/positive/p00008/right,positive,train,step22_unlabeled_seller_7aca3ab3316b611e1286,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00009/left||synthetic://step22/v1/positive/p00009/right,synthetic://step22/v1/positive/p00009/left,synthetic://step22/v1/positive/p00009/right,positive,train,zh_target_strict_cc_c1b29797a191ad53,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00010/left||synthetic://step22/v1/positive/p00010/right,synthetic://step22/v1/positive/p00010/left,synthetic://step22/v1/positive/p00010/right,positive,train,step22_unlabeled_seller_f79d6e2027e1b86b417a,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00011/left||synthetic://step22/v1/positive/p00011/right,synthetic://step22/v1/positive/p00011/left,synthetic://step22/v1/positive/p00011/right,positive,train,step22_unlabeled_seller_016a21cbcd4269bf7dd4,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00012/left||synthetic://step22/v1/positive/p00012/right,synthetic://step22/v1/positive/p00012/left,synthetic://step22/v1/positive/p00012/right,positive,train,step22_unlabeled_seller_5343c80fb297ee4a19b7,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00013/left||synthetic://step22/v1/positive/p00013/right,synthetic://step22/v1/positive/p00013/left,synthetic://step22/v1/positive/p00013/right,positive,train,step22_unlabeled_seller_ba8201dff549f3864264,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00014/left||synthetic://step22/v1/positive/p00014/right,synthetic://step22/v1/positive/p00014/left,synthetic://step22/v1/positive/p00014/right,positive,train,zh_target_strict_cc_f01f31bc246f92c9,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00015/left||synthetic://step22/v1/positive/p00015/right,synthetic://step22/v1/positive/p00015/left,synthetic://step22/v1/positive/p00015/right,positive,train,step22_unlabeled_seller_cd57cf36c5aaadecdd9f,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00016/left||synthetic://step22/v1/positive/p00016/right,synthetic://step22/v1/positive/p00016/left,synthetic://step22/v1/positive/p00016/right,positive,train,step22_unlabeled_seller_1b53e429c20139fc2aa6,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00017/left||synthetic://step22/v1/positive/p00017/right,synthetic://step22/v1/positive/p00017/left,synthetic://step22/v1/positive/p00017/right,positive,train,step22_unlabeled_seller_83f83289b94004f39cf2,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00018/left||synthetic://step22/v1/positive/p00018/right,synthetic://step22/v1/positive/p00018/left,synthetic://step22/v1/positive/p00018/right,positive,train,step22_unlabeled_seller_2f994d621ea66d9e85ca,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00019/left||synthetic://step22/v1/positive/p00019/right,synthetic://step22/v1/positive/p00019/left,synthetic://step22/v1/positive/p00019/right,positive,train,step22_unlabeled_seller_6856a6fc1c23dbc983bb,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00020/left||synthetic://step22/v1/positive/p00020/right,synthetic://step22/v1/positive/p00020/left,synthetic://step22/v1/positive/p00020/right,positive,train,zh_target_strict_cc_1ace3a6450507803,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00021/left||synthetic://step22/v1/positive/p00021/right,synthetic://step22/v1/positive/p00021/left,synthetic://step22/v1/positive/p00021/right,positive,train,step22_unlabeled_seller_d6fe981d55420d3393b4,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00022/left||synthetic://step22/v1/positive/p00022/right,synthetic://step22/v1/positive/p00022/left,synthetic://step22/v1/positive/p00022/right,positive,train,step22_unlabeled_seller_a18faef46e830ddcba8a,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00023/left||synthetic://step22/v1/positive/p00023/right,synthetic://step22/v1/positive/p00023/left,synthetic://step22/v1/positive/p00023/right,positive,train,step22_unlabeled_seller_0b0fdd66ab7ed9e25e20,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00024/left||synthetic://step22/v1/positive/p00024/right,synthetic://step22/v1/positive/p00024/left,synthetic://step22/v1/positive/p00024/right,positive,train,step22_unlabeled_seller_6b8a7414da7581162946,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00025/left||synthetic://step22/v1/positive/p00025/right,synthetic://step22/v1/positive/p00025/left,synthetic://step22/v1/positive/p00025/right,positive,train,step22_unlabeled_seller_d64f5a8bb947f39b178e,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00026/left||synthetic://step22/v1/positive/p00026/right,synthetic://step22/v1/positive/p00026/left,synthetic://step22/v1/positive/p00026/right,positive,train,step22_unlabeled_seller_c0a16cd2bcfaa75936f5,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00027/left||synthetic://step22/v1/positive/p00027/right,synthetic://step22/v1/positive/p00027/left,synthetic://step22/v1/positive/p00027/right,positive,train,step22_unlabeled_seller_549a2e1116442b606767,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00028/left||synthetic://step22/v1/positive/p00028/right,synthetic://step22/v1/positive/p00028/left,synthetic://step22/v1/positive/p00028/right,positive,train,step22_unlabeled_seller_2faa1a76a5bd9a9349fa,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00029/left||synthetic://step22/v1/positive/p00029/right,synthetic://step22/v1/positive/p00029/left,synthetic://step22/v1/positive/p00029/right,positive,train,step22_unlabeled_seller_b0e70f7f136dab158180,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00030/left||synthetic://step22/v1/positive/p00030/right,synthetic://step22/v1/positive/p00030/left,synthetic://step22/v1/positive/p00030/right,positive,train,step22_unlabeled_seller_c88f183795b96c95c82b,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00031/left||synthetic://step22/v1/positive/p00031/right,synthetic://step22/v1/positive/p00031/left,synthetic://step22/v1/positive/p00031/right,positive,train,zh_target_strict_cc_e60bd09ea06f8cc8,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00032/left||synthetic://step22/v1/positive/p00032/right,synthetic://step22/v1/positive/p00032/left,synthetic://step22/v1/positive/p00032/right,positive,train,zh_target_strict_cc_f65cdcbf3ab490cb,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00033/left||synthetic://step22/v1/positive/p00033/right,synthetic://step22/v1/positive/p00033/left,synthetic://step22/v1/positive/p00033/right,positive,train,step22_unlabeled_seller_818d171283782b6bef73,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00034/left||synthetic://step22/v1/positive/p00034/right,synthetic://step22/v1/positive/p00034/left,synthetic://step22/v1/positive/p00034/right,positive,train,step22_unlabeled_seller_818beaece64b98495be1,same_seller_split_positive,1,0,1,0,1.000000000000
