synthetic_pair_uid,synthetic_class,source_parent_seller_uid_left,source_parent_seller_uid_right,source_parent_pair_uid,parent_component_id,parent_evidence_type,independent_source_unit,real_cross_account_sockpuppet_relation,synthetic_train_only,benchmark_eligible,left_item_count,right_item_count
synthetic://step22/v1/positive/p00000/left||synthetic://step22/v1/positive/p00000/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/429382,market_item.xlsx|茶马古道|seller_raw:/shop/429382,,step22_unlabeled_seller_6e88eeff482999a5f1bf,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/429382,0,1,0,7,5
synthetic://step22/v1/positive/p00001/left||synthetic://step22/v1/positive/p00001/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:538649,market_item.xlsx|中文暗网交易市场|seller_raw:538649,,step22_unlabeled_seller_a48c4f0178a71c4ddf48,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:538649,0,1,0,6,6
synthetic://step22/v1/positive/p00002/left||synthetic://step22/v1/positive/p00002/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/402703,market_item.xlsx|茶马古道|seller_raw:/shop/402703,,zh_target_strict_cc_0507bae91408c271,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/402703,0,1,0,5,6
synthetic://step22/v1/positive/p00003/left||synthetic://step22/v1/positive/p00003/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/405657,market_item.xlsx|茶马古道|seller_raw:/shop/405657,,zh_target_strict_cc_3ea8308794671330,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/405657,0,1,0,6,6
synthetic://step22/v1/positive/p00004/left||synthetic://step22/v1/positive/p00004/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/6936,market_item.xlsx|茶马古道|seller_raw:/shop/6936,,step22_unlabeled_seller_3a3952d8e39d07ab02ee,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/6936,0,1,0,3,4
synthetic://step22/v1/positive/p00005/left||synthetic://step22/v1/positive/p00005/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:99717,market_item.xlsx|中文暗网交易市场|seller_raw:99717,,step22_unlabeled_seller_831c68358ec7833be3b9,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:99717,0,1,0,6,6
synthetic://step22/v1/positive/p00006/left||synthetic://step22/v1/positive/p00006/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/397527,market_item.xlsx|茶马古道|seller_raw:/shop/397527,,zh_target_strict_cc_5ccbcc47c3519a86,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/397527,0,1,0,4,3
synthetic://step22/v1/positive/p00007/left||synthetic://step22/v1/positive/p00007/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:439780,market_item.xlsx|中文暗网交易市场|seller_raw:439780,,step22_unlabeled_seller_8241209cb3990f66428f,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:439780,0,1,0,6,3
synthetic://step22/v1/positive/p00008/left||synthetic://step22/v1/positive/p00008/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/462491,market_item.xlsx|茶马古道|seller_raw:/shop/462491,,step22_unlabeled_seller_7aca3ab3316b611e1286,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/462491,0,1,0,4,3
synthetic://step22/v1/positive/p00009/left||synthetic://step22/v1/positive/p00009/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:565911,market_item.xlsx|中文暗网交易市场|seller_raw:565911,,zh_target_strict_cc_c1b29797a191ad53,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:565911,0,1,0,3,3
synthetic://step22/v1/positive/p00010/left||synthetic://step22/v1/positive/p00010/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:78669,market_item.xlsx|中文暗网交易市场|seller_raw:78669,,step22_unlabeled_seller_f79d6e2027e1b86b417a,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:78669,0,1,0,3,3
synthetic://step22/v1/positive/p00011/left||synthetic://step22/v1/positive/p00011/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:483508,market_item.xlsx|中文暗网交易市场|seller_raw:483508,,step22_unlabeled_seller_016a21cbcd4269bf7dd4,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:483508,0,1,0,5,6
synthetic://step22/v1/positive/p00012/left||synthetic://step22/v1/positive/p00012/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/444606,market_item.xlsx|茶马古道|seller_raw:/shop/444606,,step22_unlabeled_seller_5343c80fb297ee4a19b7,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/444606,0,1,0,5,5
synthetic://step22/v1/positive/p00013/left||synthetic://step22/v1/positive/p00013/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:38595,market_item.xlsx|中文暗网交易市场|seller_raw:38595,,step22_unlabeled_seller_ba8201dff549f3864264,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:38595,0,1,0,3,3
synthetic://step22/v1/positive/p00014/left||synthetic://step22/v1/positive/p00014/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/406714,market_item.xlsx|茶马古道|seller_raw:/shop/406714,,zh_target_strict_cc_f01f31bc246f92c9,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/406714,0,1,0,5,7
synthetic://step22/v1/positive/p00015/left||synthetic://step22/v1/positive/p00015/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/458955,market_item.xlsx|茶马古道|seller_raw:/shop/458955,,step22_unlabeled_seller_cd57cf36c5aaadecdd9f,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/458955,0,1,0,6,6
synthetic://step22/v1/positive/p00016/left||synthetic://step22/v1/positive/p00016/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/445965,market_item.xlsx|茶马古道|seller_raw:/shop/445965,,step22_unlabeled_seller_1b53e429c20139fc2aa6,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/445965,0,1,0,6,6
synthetic://step22/v1/positive/p00017/left||synthetic://step22/v1/positive/p00017/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/398,market_item.xlsx|茶马古道|seller_raw:/shop/398,,step22_unlabeled_seller_83f83289b94004f39cf2,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/398,0,1,0,6,6
