pair_uid,pool,domain,split_name,seller_uid_left,seller_uid_right,identifier_redacted_e5_cosine,pcm_multilingual_authorship_cosine,mstyledistance_cosine
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian,market_item.xlsx|apollon market|seller_raw:Made_man (100%),0.867700457573,0.838118255138,0.858088850975
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb,market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,0.764971256256,0.641496539116,0.577171742916
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,0.940900325775,0.980108380318,0.999188542366
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine,market_item.xlsx|silk road 3.1|seller_raw:however,0.862308621407,0.394085317850,0.641501247883
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Dr_Heizen,market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,0.872348606586,0.878927826881,0.997966647148
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Drugsking,market_item.xlsx|darkfox market|seller_raw:rinyus,0.915870130062,0.934925675392,0.997281789780
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Godaddy1,market_item.xlsx|darkfox market|seller_raw:thecolonel,0.947782993317,0.971964955330,0.997055649757
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Hilfiger,market_item.xlsx|vice city|seller_raw:PILLSDr,0.871760308743,0.897547483444,0.996205329895
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:fullplez,market_item.xlsx|apollon market|seller_raw:g3cko (96%),0.914930582047,0.893927037716,0.992252469063
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:irishoncoke,market_item.xlsx|apollon market|seller_raw:backagain1 (100%),0.948151707649,0.989117085934,0.994636416435
