pair_uid,pool,domain,split_name,seller_uid_left,seller_uid_right,component_id,identifier_redacted_e5_cosine,raw_pcm_multilingual_authorship_cosine,raw_mstyledistance_cosine,pair_local_or_raw_pcm_multilingual_authorship_cosine,pair_local_or_raw_mstyledistance_cosine,pcm_raw_minus_pair_local_or_raw,mstyledistance_raw_minus_pair_local_or_raw,pair_local_maximum_mask_fraction,pair_local_mean_mask_fraction,pair_local_shared_shingle_count_log1p,pair_local_masked_span_count_log1p,pair_local_style_reliable,global_pair_maximum_boilerplate_fraction,global_pair_mean_boilerplate_fraction,global_style_reliable
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian,market_item.xlsx|apollon market|seller_raw:Made_man (100%),en_content_train_pool_cc_50481108a33b850d,0.867700457573,0.838118255138,0.858088850975,0.593806445599,0.988982319832,0.244311809539,-0.130893468857,0.000000000000,0.000000000000,1.945910149055,0.000000000000,1,0.142857142857,0.071428571428,1
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb,market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,en_content_train_pool_cc_be967b90d809ceb9,0.764971256256,0.641496539116,0.577171742916,0.671093821526,0.976597189903,-0.029597282410,-0.399425446987,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1,0.000000000000,0.000000000000,1
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,en_content_train_pool_cc_5a9aa11e23a4c0b6,0.940900325775,0.980108380318,0.999188542366,0.915656089783,0.870960891247,0.064452290535,0.128227651119,0.795768747382,0.771221863300,7.467371066918,3.295836866004,1,0.016417290108,0.011455398301,1
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,en_content_train_pool,en,train,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine,market_item.xlsx|silk road 3.1|seller_raw:however,en_content_train_pool_cc_ebbaa123eebf6ca0,0.862308621407,0.394085317850,0.641501247883,0.394085317850,0.641501247883,0.000000000000,0.000000000000,0.869565217391,0.434782608696,1.609437912434,0.693147180560,0,0.094117647059,0.047058823529,1
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Dr_Heizen,market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,en_content_train_pool_cc_f4386d4b56023e8a,0.872348606586,0.878927826881,0.997966647148,0.856417179108,0.890509128571,0.022510647773,0.107457518577,0.346685082873,0.270281316947,5.730099782974,2.302585092994,1,0.306169429098,0.189699360407,1
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Drugsking,market_item.xlsx|darkfox market|seller_raw:rinyus,en_content_train_pool_cc_5d852c7834259fe8,0.915870130062,0.934925675392,0.997281789780,0.931953549385,0.982709825039,0.002972126007,0.014571964741,0.469060225017,0.380617387009,6.293419278846,4.454347296254,1,0.348000975134,0.251432651697,1
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Godaddy1,market_item.xlsx|darkfox market|seller_raw:thecolonel,en_content_train_pool_cc_f9371bc9b3ce6d7d,0.947782993317,0.971964955330,0.997055649757,0.846909105778,0.982491850853,0.125055849552,0.014563798904,0.593243243243,0.497638870626,5.872117789475,3.496507561466,1,0.473648648649,0.434524457009,1
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:Hilfiger,market_item.xlsx|vice city|seller_raw:PILLSDr,en_content_train_pool_cc_10c6c1093b6829a3,0.871760308743,0.897547483444,0.996205329895,0.905617415905,0.990359961987,-0.008069932461,0.005845367908,0.479117785077,0.322996422595,6.692083742507,2.079441541680,1,0.192555544869,0.146254309272,1
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:fullplez,market_item.xlsx|apollon market|seller_raw:g3cko (96%),en_content_train_pool_cc_69a17117c0da140c,0.914930582047,0.893927037716,0.992252469063,0.890011727810,0.974964797497,0.003915309906,0.017287671566,0.256257848472,0.205280636460,8.015327309022,1.791759469228,1,0.047216408539,0.036792839977,1
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:irishoncoke,market_item.xlsx|apollon market|seller_raw:backagain1 (100%),en_content_train_pool_cc_4632283115d6aed9,0.948151707649,0.989117085934,0.994636416435,0.895319938660,0.944162905216,0.093797147274,0.050473511219,0.840948525159,0.749719091824,6.030685260261,3.433987204485,1,0.249639249639,0.194223904750,1
market_item.xlsx|Cartel|seller_raw:theword1||market_item.xlsx|dark0de|seller_raw:mensguru,en_content_train_pool,en,train,market_item.xlsx|Cartel|seller_raw:theword1,market_item.xlsx|dark0de|seller_raw:mensguru,en_content_train_pool_cc_561b30415036492a,0.905197918415,0.780987620354,0.997577667236,0.819557309151,0.977289855480,-0.038569688797,0.020287811756,0.379558294813,0.343992874600,6.905753276311,3.951243718581,1,0.385550419449,0.367840370455,1
market_item.xlsx|Lime|seller_raw:BossAmerica||market_item.xlsx|agartha market|seller_raw:Bestplug,en_content_train_pool,en,train,market_item.xlsx|Lime|seller_raw:BossAmerica,market_item.xlsx|agartha market|seller_raw:Bestplug,en_content_train_pool_cc_f337d7958a98c59b,0.931155025959,0.932663440704,0.998348712921,0.851865768433,0.957818567753,0.080797672271,0.040530145168,0.262108262108,0.258988549139,7.067319848653,3.610917912644,1,0.288655788656,0.286235731863,1
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,en_content_train_pool,en,train,market_item.xlsx|Lime|seller_raw:Cityshop,market_item.xlsx|agartha market|seller_raw:CITYSHOP92,en_content_train_pool_cc_f337d7958a98c59b,0.931326091290,0.910712420940,0.997385680676,0.826016008854,0.982161939144,0.084696412086,0.015223741532,0.486409495549,0.437248252552,7.358830898342,4.369447852467,1,0.496442366335,0.494333942812,1
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,en_content_train_pool,en,train,market_item.xlsx|Lime|seller_raw:Cityshop,market_item.xlsx|agartha market|seller_raw:chrisstore24,en_content_train_pool_cc_f337d7958a98c59b,0.942561447620,0.927634358406,0.997986972332,0.939640522003,0.931179285049,-0.012006163597,0.066807687283,0.729996633374,0.691030030450,8.007367067983,4.219507705176,1,0.546627763438,0.521535064887,1
market_item.xlsx|Lime|seller_raw:Darkhackman||market_item.xlsx|Lime|seller_raw:Gerybell,en_content_train_pool,en,train,market_item.xlsx|Lime|seller_raw:Darkhackman,market_item.xlsx|Lime|seller_raw:Gerybell,en_content_train_pool_cc_f5e987aedb012243,0.961491107941,0.975985646248,0.998594164848,0.940222382545,0.966191828251,0.035763263703,0.032402336597,0.383230639120,0.341024398260,6.775366090936,4.418840607797,1,0.489307720188,0.453490819535,1
