step26_split,model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,pr_auc,mean_score,q95_score,maximum_score,top_positive_budget_intrusion_count
representative_valid,raw_identifier_redacted_e5_cosine,direct_component_positive_plus_all_negatives,94,4,90,0.6194444444444445,0.1796254499742872,0.10712131508985134,,,,
representative_valid,raw_identifier_redacted_e5_cosine,soft_positive_plus_all_negatives,116,26,90,0.7495726495726496,0.5189211121692044,0.508662648749974,,,,
representative_valid,raw_identifier_redacted_e5_cosine,ordinary_negative,46,0,46,,,,0.9165718672068223,0.9699448794126511,0.9749408960342407,13
representative_valid,raw_identifier_redacted_e5_cosine,public_contact_or_url_noise,3,0,3,,,,0.8868323564529419,0.8976848900318146,0.8977054953575134,0
representative_valid,raw_identifier_redacted_e5_cosine,semantic_topic_not_controller,16,0,16,,,,0.8920313194394112,0.9403619468212128,0.9502724409103394,0
representative_valid,raw_identifier_redacted_e5_cosine,template_clone_not_controller,25,0,25,,,,0.9385147285461426,0.9659435749053955,0.9918303489685059,4
representative_valid,raw_pcm_multilingual_authorship_cosine,direct_component_positive_plus_all_negatives,94,4,90,0.5583333333333333,0.056723997331158724,0.04327771347766485,,,,
representative_valid,raw_pcm_multilingual_authorship_cosine,soft_positive_plus_all_negatives,116,26,90,0.6726495726495727,0.3518507082134419,0.3384239899230731,,,,
representative_valid,raw_pcm_multilingual_authorship_cosine,ordinary_negative,46,0,46,,,,0.7654333438562311,0.9945176541805267,0.9978668689727783,14
representative_valid,raw_pcm_multilingual_authorship_cosine,public_contact_or_url_noise,3,0,3,,,,0.888654351234436,0.9125073313713074,0.9137128591537476,0
representative_valid,raw_pcm_multilingual_authorship_cosine,semantic_topic_not_controller,16,0,16,,,,0.666875621303916,0.9587700366973877,0.9607945680618286,0
representative_valid,raw_pcm_multilingual_authorship_cosine,template_clone_not_controller,25,0,25,,,,0.9504745817184448,0.9900333166122437,0.9965004920959473,7
