pair_uid,split_name,review_label,seller_uid_left,seller_uid_right,component_id,fold,evidence_type,label_tier,silver_train_only,training_sample_weight
market_item.xlsx|中文暗网交易市场|seller_raw:11457||market_item.xlsx|中文暗网交易市场|seller_raw:517245,train,negative,market_item.xlsx|中文暗网交易市场|seller_raw:11457,market_item.xlsx|中文暗网交易市场|seller_raw:517245,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,,1.000000000000
market_item.xlsx|中文暗网交易市场|seller_raw:11457||market_item.xlsx|中文暗网交易市场|seller_raw:566597,train,negative,market_item.xlsx|中文暗网交易市场|seller_raw:11457,market_item.xlsx|中文暗网交易市场|seller_raw:566597,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,,1.000000000000
market_item.xlsx|中文暗网交易市场|seller_raw:11870||market_item.xlsx|中文暗网交易市场|seller_raw:311141,test,positive,market_item.xlsx|中文暗网交易市场|seller_raw:11870,market_item.xlsx|中文暗网交易市场|seller_raw:311141,zh_target_strict_cc_52940b50c8fb142c,,same_controller_style_structural_soft,,,1.000000000000
market_item.xlsx|中文暗网交易市场|seller_raw:11929||market_item.xlsx|茶马古道|seller_raw:/shop/465096,train,negative,market_item.xlsx|中文暗网交易市场|seller_raw:11929,market_item.xlsx|茶马古道|seller_raw:/shop/465096,zh_target_strict_cc_98fd200e7860ef19,1,semantic_topic_not_controller,,,1.000000000000
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:149940,train,positive,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:149940,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,silver_direct_or_contact,1,0.550000000000
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:157835,train,positive,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:157835,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,silver_direct_or_contact,1,0.550000000000
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:312538,train,positive,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:312538,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,silver_direct_or_contact,1,0.550000000000
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:435064,train,positive,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:435064,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,silver_direct_or_contact,1,0.550000000000
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:436422,train,positive,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:436422,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,silver_direct_or_contact,1,0.550000000000
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:95895,train,positive,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:95895,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,silver_direct_or_contact,1,0.550000000000
market_item.xlsx|中文暗网交易市场|seller_raw:137444||market_item.xlsx|中文暗网交易市场|seller_raw:473991,train,negative,market_item.xlsx|中文暗网交易市场|seller_raw:137444,market_item.xlsx|中文暗网交易市场|seller_raw:473991,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,,1.000000000000
market_item.xlsx|中文暗网交易市场|seller_raw:14194||market_item.xlsx|中文暗网交易市场|seller_raw:30324,train,negative,market_item.xlsx|中文暗网交易市场|seller_raw:14194,market_item.xlsx|中文暗网交易市场|seller_raw:30324,zh_target_strict_cc_68fc70315046ed69,3,ordinary_negative,,,1.000000000000
