component_id,fold,pair_count,positive_count,negative_count,assignment_seed
zh_target_strict_cc_00ecb5f244c3da8c,3,1,0,1,20260718
zh_target_strict_cc_0209f4b7c62ccade,3,1,0,1,20260718
zh_target_strict_cc_027a74bced4cc613,3,1,1,0,20260718
zh_target_strict_cc_02aa2283e7c4b2b7,2,1,0,1,20260718
zh_target_strict_cc_03766f06ea4185b1,1,1,1,0,20260718
zh_target_strict_cc_03788caa8b8ddae2,0,3,3,0,20260718
zh_target_strict_cc_04885e847c85c5c3,1,1,1,0,20260718
zh_target_strict_cc_04f3e142fd6781a1,2,1,1,0,20260718
zh_target_strict_cc_0507bae91408c271,3,2,2,0,20260718
zh_target_strict_cc_054061c8af11dfc6,1,1,1,0,20260718
zh_target_strict_cc_05570b72d05a6c3e,1,1,0,1,20260718
zh_target_strict_cc_0716f7d56fab2fe3,2,1,0,1,20260718
zh_target_strict_cc_0743a90cf480aecc,2,1,1,0,20260718
zh_target_strict_cc_07947c74f4a83d0c,2,1,0,1,20260718
zh_target_strict_cc_0860ef0b5d2c3ab2,0,1,1,0,20260718
zh_target_strict_cc_087cae9aba64f3d4,3,1,0,1,20260718
zh_target_strict_cc_0b2fd1034506436d,1,1,0,1,20260718
zh_target_strict_cc_0b56a4186c660a7f,2,4,4,0,20260718
zh_target_strict_cc_0b81a8577b9ee929,1,2,0,2,20260718
zh_target_strict_cc_0f6792626c843fb6,2,2,0,2,20260718
zh_target_strict_cc_0fcff25a0c3bd050,2,5,0,5,20260718
zh_target_strict_cc_0fd9a9da668d452e,2,3,3,0,20260718
zh_target_strict_cc_109a9bd7e2713617,2,1,0,1,20260718
zh_target_strict_cc_121ca4c8ff35556e,1,2,2,0,20260718
zh_target_strict_cc_1234aba824302a63,2,5,2,3,20260718
zh_target_strict_cc_16c1ee5115ab4f55,3,1,1,0,20260718
zh_target_strict_cc_18a4e6bd2c1b0e47,2,1,0,1,20260718
zh_target_strict_cc_1ace3a6450507803,3,4,1,3,20260718
zh_target_strict_cc_1b844f5431afeab2,2,1,0,1,20260718
zh_target_strict_cc_1d6517872128664d,0,1,1,0,20260718
zh_target_strict_cc_1f4127399fdc1e9b,1,3,0,3,20260718
zh_target_strict_cc_20599e2b85123979,1,1,0,1,20260718
zh_target_strict_cc_20e2bdb964e3bc04,1,2,0,2,20260718
zh_target_strict_cc_22709e967eba3940,3,3,0,3,20260718
zh_target_strict_cc_243bcb33a0c2e2b4,3,1,0,1,20260718
