pair_uid,row_kind,track,parent_pair_uid,review_label,seller_uid_left,seller_uid_right,split_name,component_id,fold,evidence_type,silver_train_only,training_sample_weight,seed,variant_index,transform,synthetic_train_only,synthetic_split_name,identifier_redacted_e5_cosine,clean_token_jaccard,clean_char3_jaccard,clean_title_token_jaccard,clean_description_token_jaccard,clean_category_token_jaccard,clean_text_length_gap_ratio,clean_segment_count_gap_ratio,clean_field_presence_match_fraction
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,public_contact_or_url_noise,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.946084141731,0.805860805861,0.589156626506,0.597014925373,0.823970037453,1.000000000000,0.203703703704,0.206896551724,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,same_controller_direct_identifier,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.936630785465,0.550264550265,0.346153846154,0.512000000000,0.523676880223,0.363636363636,0.548617305977,0.333333333333,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,public_contact_or_url_noise,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.956272840500,0.805860805861,0.589867310012,0.597014925373,0.823970037453,1.000000000000,0.203703703704,0.206896551724,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/positive/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,same_controller_direct_identifier,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.944846332073,0.550264550265,0.344827586207,0.512000000000,0.523676880223,0.363636363636,0.548300536673,0.333333333333,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:438221||market_item.xlsx|中文暗网交易市场|seller_raw:61106,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v00/right,train,zh_target_strict_cc_18a4e6bd2c1b0e47,2,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.938159883022,0.435897435897,0.284768211921,0.400000000000,0.422535211268,1.000000000000,0.281818181818,0.166666666667,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v00/right,train,zh_target_strict_cc_9991bf542ace4262,2,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.913472652435,0.617977528090,0.359281437126,0.200000000000,0.735294117647,1.000000000000,0.179389312977,0.166666666667,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:438221||market_item.xlsx|中文暗网交易市场|seller_raw:61106,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/negative/v01/right,train,zh_target_strict_cc_18a4e6bd2c1b0e47,2,ordinary_negative,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.936398983002,0.435897435897,0.267973856209,0.400000000000,0.422535211268,1.000000000000,0.281818181818,0.166666666667,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_001/positive/v01/right,train,zh_target_strict_cc_9991bf542ace4262,2,same_controller_style_structural_soft,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.925928771496,0.617977528090,0.359281437126,0.200000000000,0.735294117647,1.000000000000,0.179389312977,0.166666666667,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.854252517223,0.033898305085,0.007905138340,0.068965517241,0.017543859649,0.333333333333,0.914893617021,0.666666666667,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:264776||market_item.xlsx|茶马古道|seller_raw:/shop/385,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v00/right,train,zh_target_strict_cc_5d2591f16cbcd99a,0,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.914395034313,0.466926070039,0.259615384615,0.150000000000,0.460000000000,0.285714285714,0.324232081911,0.409090909091,1.000000000000
