synthetic_pair_uid,duplication_control_pair_uid,parent_pair_uid,parent_seller_uid_left,parent_seller_uid_right,component_id,fold,review_label,evidence_type,track,seed,variant_index,transform,left_profile_sha256,right_profile_sha256,parent_training_sample_weight,child_training_sample_weight,synthetic_train_only,benchmark_eligible
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_000/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_000/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_000/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,template_clone_not_controller,silver_sensitivity,20260322,0,section_order_rotation,8cb06c1c8946354731f6e2e2d63f75da604b21f27a30d1f8732d668d55b479fe,b4ac88e8434885e07d6df8a2fb84fc8019537e7a5ad1bded219bced0ef9d3deb,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_000/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_000/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_000/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:54210||market_item.xlsx|茶马古道|seller_raw:/shop/400997,market_item.xlsx|中文暗网交易市场|seller_raw:54210,market_item.xlsx|茶马古道|seller_raw:/shop/400997,zh_target_strict_cc_f7f70f2184be4bbd,0,positive,same_controller_direct_identifier,silver_sensitivity,20260322,0,section_order_rotation,13c473135ee87d2ff45e902b5edc2fc58df999f8f7b998119fe9a400fb6a52f9,b389cd7d5d62b52bf5fd63c7a666bfdf3422dd9d502ccdb1ab3f6bb6aea92f85,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_001/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_001/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_001/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:36073||market_item.xlsx|茶马古道|seller_raw:/shop/6101,market_item.xlsx|中文暗网交易市场|seller_raw:36073,market_item.xlsx|茶马古道|seller_raw:/shop/6101,zh_target_strict_cc_50c6ef9245347923,3,negative,template_clone_not_controller,silver_sensitivity,20260322,0,section_order_rotation,0ce1417fc5dadd4425bd10ce41223a1230a95e13f09a4cdc97f5dd947a354d66,686235f63543a3712006723a0cb9fa57ba4e565df2181be1350e5fe4233ffc2b,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_001/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_001/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_001/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:157835,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:157835,zh_target_strict_cc_8d579273f8d400c6,3,positive,same_controller_direct_identifier,silver_sensitivity,20260322,0,section_order_rotation,a68e914ab13d2b5bf882880f8c29d2b2f657619335b1295b912f6a2a24cb9e33,f723d180dbf903a51999f4d17b52aaae5b60f6eb8f32d6ae0318fc97307cf922,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_002/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_002/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_002/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:603220||market_item.xlsx|茶马古道|seller_raw:/shop/396767,market_item.xlsx|中文暗网交易市场|seller_raw:603220,market_item.xlsx|茶马古道|seller_raw:/shop/396767,zh_target_strict_cc_ccff1905755794ed,2,negative,template_clone_not_controller,silver_sensitivity,20260322,0,section_order_rotation,3aa0b939a97a485de4142fc1018be88dd68aadb2e2f69ac468ed56870b4c2d65,968b9b19fd52566b4f86d70ddef6ff2ccf48b9546225b52556472adc8386ebd6,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_002/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_002/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_002/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:45068,market_item.xlsx|中文暗网交易市场|seller_raw:361068,market_item.xlsx|中文暗网交易市场|seller_raw:45068,zh_target_strict_cc_540db623f3f9599c,2,positive,same_controller_direct_identifier,silver_sensitivity,20260322,0,section_order_rotation,44ae1d395fa2be834c07eb53283f6777af4b0eea55e0c7a29281ea56d719501d,88890ea48d1375c3ac913b92616a3167e85d3474e57a95138a173fda88cb91c3,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_003/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_003/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_003/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:546317||market_item.xlsx|茶马古道|seller_raw:/shop/404772,market_item.xlsx|中文暗网交易市场|seller_raw:546317,market_item.xlsx|茶马古道|seller_raw:/shop/404772,zh_target_strict_cc_3b05f980bd46ca48,2,negative,template_clone_not_controller,silver_sensitivity,20260322,0,section_order_rotation,899cf447c367788e9620e8e2edeff790c8ab4ce6f67c896d371bde12db13bf4b,2b78a97e71ade7060fe589554e621531464716abf55d500cc3a56a1e7f29e414,0.160000000000,0.080000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_003/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_003/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_003/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:596304,market_item.xlsx|中文暗网交易市场|seller_raw:361068,market_item.xlsx|中文暗网交易市场|seller_raw:596304,zh_target_strict_cc_540db623f3f9599c,2,positive,same_controller_direct_identifier,silver_sensitivity,20260322,0,section_order_rotation,30a4a52ae8943c5cefd92444599714993432f1035dcd786682af3f7b423fb19b,e95d3e96bf1924b8396dfbbb3885eb69dbd81b28ee608252eea680a9453b75bc,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_004/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_004/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_004/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:593428||market_item.xlsx|茶马古道|seller_raw:/shop/433481,market_item.xlsx|中文暗网交易市场|seller_raw:593428,market_item.xlsx|茶马古道|seller_raw:/shop/433481,zh_target_strict_cc_e01a2866bbaf02be,3,negative,template_clone_not_controller,silver_sensitivity,20260322,0,section_order_rotation,37bb7cf51cd0b8e7f8a04f34b3d48670bd0e4fa3a4de75e744971a7eb24241c1,beb1239d76d0d44ff663cff5b811d26b987f8174ed1619bf9e7d5f89d2fbb455,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_004/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_004/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_004/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:435064,market_item.xlsx|中文暗网交易市场|seller_raw:157835,market_item.xlsx|中文暗网交易市场|seller_raw:435064,zh_target_strict_cc_8d579273f8d400c6,3,positive,same_controller_direct_identifier,silver_sensitivity,20260322,0,section_order_rotation,7603fb16db3dbd206300894f98a6bec5e164a556f0421ebe90094f5f78231e5f,ab56d9fb9b09e3ab00f7f59433de7c8ea94ffc9f90a656bc5bbde2a5fc7628c9,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_005/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260322/silver_sensitivity_matched_005/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260322/silver_sensitivity_matched_005/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:536790||market_item.xlsx|茶马古道|seller_raw:/shop/397527,market_item.xlsx|中文暗网交易市场|seller_raw:536790,market_item.xlsx|茶马古道|seller_raw:/shop/397527,zh_target_strict_cc_5ccbcc47c3519a86,1,negative,template_clone_not_controller,silver_sensitivity,20260322,0,section_order_rotation,921276b3bd043f3f0c233272209ce725a467e02b38ccfc84bd8a41acbc53402d,9e3d35959ab4dfdc704218c04d4ae7f27ac50f2cbabaeef967cb1d8fb2f487e0,0.160000000000,0.080000000000,1,0
