opaque_pair_uid,m0_probability,c0_probability
pair_000402,0.0022692954465690007,0.0010874444768514365
pair_000403,0.0023476678809838556,0.0010929688947440893
pair_000404,0.0035321967401291568,0.0017595996060431331
pair_000405,0.0026983882950371838,0.0022026731922419351
pair_000406,0.0025908758695879094,0.0015713784753603405
pair_000407,0.61470326842185918,0.79887690633513286
pair_000408,0.99056210487217067,0.99318168944976548
pair_000409,0.98090904399225387,0.98660720221541698
pair_000410,0.98796478907567509,0.99038311261638368
pair_000411,0.0067141440066580795,0.0022585250302166147
pair_000412,0.98050845899847983,0.98122515164863433
pair_000413,0.56459280404257561,0.40754210498169008
pair_000414,0.93572968456891725,0.84954968210133763
pair_000415,0.96524460951948465,0.95487385472929909
pair_000416,0.018703150132960436,0.028167611261420162
pair_000417,0.046026580479379957,0.063988306491025868
pair_000418,0.06594897419965072,0.26633919955237306
pair_000419,0.43120924410772327,0.48256812070957156
pair_000420,0.031340450312988821,0.042180204603622755
pair_000421,0.41695776830085074,0.1515477893173065
pair_000422,0.066776447521258525,0.030771247122875257
pair_000423,0.35009288038954706,0.16360805990827787
pair_000424,0.033398040563285131,0.040115647853112849
pair_000425,0.016215552475774404,0.02070061516093601
pair_000426,0.30033155044960419,0.18125999484003247
pair_000427,0.030357912819209357,0.018522393931351352
pair_000428,0.010870249766812133,0.0045191346656458112
pair_000429,0.0074647250112879248,0.0054002928530326611
pair_000430,0.0021858410395454828,0.001110888024596125
pair_000431,0.09418770975533701,0.065129718311077514
pair_000432,0.99188333682302909,0.99380514502863859
pair_000433,0.019447002500343317,0.029881842949065505
pair_000434,0.98775445219192204,0.98073198541949036
pair_000435,0.99081340428786702,0.98638825681293052
pair_000436,0.98199064886392551,0.9603396497336375
pair_000437,0.99098949770330425,0.9959585312433249
pair_000438,0.0085505117346442137,0.024386541716557988
pair_000439,0.52123373908883819,0.19620400512895636
pair_000440,0.80665444809895326,0.53484162976847605
pair_000441,0.64151327741205211,0.11434058912893449
pair_000442,0.82047476181449219,0.78359778616426312
pair_000443,0.82047476181449219,0.78359778616426312
pair_000444,0.82047476181449219,0.78359778616426312
pair_000445,0.82047476181449219,0.78359778616426312
pair_000446,0.80644233417100286,0.85697573292809448
pair_000447,0.072180175403087701,0.036333420698476594
pair_000448,0.098267340643059392,0.33936893922061567
pair_000449,0.82047476181449219,0.78359778616426312
pair_000450,0.82047476181449219,0.78359778616426312
pair_000451,0.82047476181449219,0.78359778616426312
pair_000452,0.38211720876077093,0.7015953622040606
pair_000453,0.055790827025260156,0.030927041474683847
pair_000454,0.82047476181449219,0.78359778616426312
pair_000455,0.82047476181449219,0.78359778616426312
pair_000456,0.82047476181449219,0.78359778616426312
pair_000457,0.80644233417100286,0.85697573292809448
pair_000458,0.072180175403087701,0.036333420698476594
pair_000459,0.098267340643059392,0.33936893922061567
pair_000460,0.82047476181449219,0.78359778616426312
pair_000461,0.82047476181449219,0.78359778616426312
pair_000462,0.82047476181449219,0.78359778616426312
pair_000463,0.38211720876077093,0.7015953622040606
pair_000464,0.055790827025260156,0.030927041474683847
pair_000465,0.0026865211272888781,0.0018557948370891478
pair_000466,0.0039119195388708436,0.0020657828948704511
pair_000467,0.0022697197131065191,0.0014759600501358162
pair_000468,0.0027211275443807378,0.0018621566129288145
pair_000469,0.0034511560566792407,0.0024889306800070362
pair_000470,0.0021219233247943706,0.0030252805869432271
pair_000471,0.82047476181449219,0.78359778616426312
pair_000472,0.82047476181449219,0.78359778616426312
pair_000473,0.80644233417100286,0.85697573292809448
pair_000474,0.072180175403087701,0.036333420698476594
pair_000475,0.098267340643059392,0.33936893922061567
pair_000476,0.82047476181449219,0.78359778616426312
pair_000477,0.82047476181449219,0.78359778616426312
pair_000478,0.82047476181449219,0.78359778616426312
pair_000479,0.055790827025260156,0.030927041474683847
pair_000480,0.82047476181449219,0.78359778616426312
pair_000481,0.80644233417100286,0.85697573292809448
pair_000482,0.072180175403087701,0.036333420698476594
pair_000483,0.098267340643059392,0.33936893922061567
pair_000484,0.82047476181449219,0.78359778616426312
pair_000485,0.82047476181449219,0.78359778616426312
pair_000486,0.82047476181449219,0.78359778616426312
pair_000487,0.055790827025260156,0.030927041474683847
pair_000488,0.039218988017133416,0.0032132414723921375
pair_000489,0.0042578852405589099,0.0015805373353252911
pair_000490,0.17593773569434593,0.94215691246835009
pair_000491,0.060596519418434643,0.4567990687991631
pair_000492,0.27721296857445127,0.72108190150203466
pair_000493,0.12092041497837913,0.43557993478277912
pair_000494,0.14195585143846473,0.41730821899214016
pair_000495,0.50755482606304969,0.97099256964559943
pair_000496,0.0039858715862749255,0.0012090817589455985
pair_000497,0.0040036357264378311,0.0016506551213887333
pair_000498,0.80644233417100286,0.85697573292809448
pair_000499,0.072180175403087701,0.036333420698476594
pair_000500,0.098267340643059392,0.33936893922061567
pair_000501,0.82047476181449219,0.78359778616426312
pair_000502,0.82047476181449219,0.78359778616426312
pair_000503,0.82047476181449219,0.78359778616426312
pair_000504,0.055790827025260156,0.030927041474683847
pair_000505,0.0091886231478656034,0.068105631220763879
pair_000506,0.07262934019006409,0.38890044736366414
pair_000507,0.98507287584052683,0.99120665580481782
pair_000508,0.072180175403087701,0.036333420698476594
pair_000509,0.098267340643059392,0.33936893922061567
pair_000510,0.80644233417100286,0.85697573292809448
pair_000511,0.80644233417100286,0.85697573292809448
pair_000512,0.80644233417100286,0.85697573292809448
pair_000513,0.062066695484746144,0.037653854028296574
pair_000514,0.4454463316011083,0.052898105855210577
pair_000515,0.011423365077408733,0.27818429003871298
pair_000516,0.013853817568548523,0.0057483766252241462
pair_000517,0.053528092723063539,0.031853950904024909
pair_000518,0.19902841694316409,0.03598103351702233
pair_000519,0.080279914513742959,0.090563051132411129
pair_000520,0.098267340643059392,0.33936893922061567
pair_000521,0.098267340643059392,0.33936893922061567
pair_000522,0.098267340643059392,0.33936893922061567
pair_000523,0.0021792494945885219,0.001070958102895521
pair_000524,0.10669074210138271,0.042565370780431183
pair_000525,0.6180936005249551,0.76125642197378085
pair_000526,0.0092365024567702975,0.24912769929211859
pair_000527,0.82047476181449219,0.78359778616426312
pair_000528,0.82047476181449219,0.78359778616426312
pair_000529,0.38211720876077093,0.7015953622040606
pair_000530,0.055790827025260156,0.030927041474683847
pair_000531,0.011685510772131607,0.30549929315877589
pair_000532,0.0019912493049223387,0.00077324566952989018
pair_000533,0.0026120189531542637,0.0028674558738961574
pair_000534,0.025198026789653619,0.0020052188056976835
pair_000535,0.02627156094023338,0.0026666413377814924
pair_000536,0.037582949342801167,0.0067263071067131825
pair_000537,0.024787285733917003,0.0029409005339828985
pair_000538,0.045664069609487996,0.018655319755616614
pair_000539,0.82047476181449219,0.78359778616426312
pair_000540,0.055790827025260156,0.030927041474683847
pair_000541,0.055790827025260156,0.030927041474683847
pair_000542,0.0040036357264378311,0.0012090817589455985
pair_000543,0.0031823679562246543,0.0015805373353252911
pair_000544,0.0042578852405589099,0.0017276259197662022
pair_000545,0.0060137133305849478,0.0030549583206315773
pair_000546,0.0042578852405589099,0.0029926853847117392
pair_000547,0.043322891402127077,0.012757802441986233
pair_000548,0.0023674496171564737,0.0019726592717096507
pair_000549,0.0059123175122374333,0.005679224275442451
pair_000550,0.9199820425192603,0.95926728834960362
pair_000551,0.99055515775911107,0.9841204576213034
pair_000552,0.99090134765366356,0.98975170361437281
