rank,pair_uid,candidate_origins,new_outside_step4,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,alias_normalized_left,alias_normalized_right,source_cosine,frozen_source_score,unbounded_identity_logit_diagnostic,feature_bounded_identity_logit_diagnostic,identity_logit_correction,synthetic_scale_model_score,model_score_is_real_probability,synthetic_support_clipped,observable_state_hash,synthetic_train_development_support_status,synthetic_train_development_positive_support_count,synthetic_train_development_negative_support_count,synthetic_support_splits,synthetic_positive_support_repeated,synthetic_positive_support_in_both_splits,production_review_eligible,out_of_support_feature_count,out_of_support_feature_names,shared_token_count,shared_token_hashes,shared_identifier_types,strong_common_middle_count,weak_common_middle_count,step4_candidate_rule_hits,verified_direct_token_count_log1p,repeated_verified_token_count_log1p,bilateral_direct_item_count_log1p,shared_identifier_type_count_log1p,risky_token_count_log1p,support_token_count_log1p,high_frequency_token_count_log1p,risky_without_verified,support_without_verified,verified_x_risky,verified_x_support,shared_telegram_token_count_log1p,shared_email_token_count_log1p,shared_bat_token_count_log1p,shared_qq_token_count_log1p,shared_wechat_token_count_log1p,shared_phone_token_count_log1p,shared_crypto_wallet_token_count_log1p,shared_external_url_token_count_log1p,strong_rotation_path_count_log1p,corroborated_rotation_path_count_log1p,uncorroborated_rotation_path_count_log1p,weak_path_count_log1p,maximum_strong_middle_degree_log1p,rotation_telegram_edge_token_count_log1p,rotation_email_edge_token_count_log1p,rotation_bat_edge_token_count_log1p,rotation_qq_edge_token_count_log1p,rotation_wechat_edge_token_count_log1p,rotation_phone_edge_token_count_log1p,rotation_crypto_wallet_edge_token_count_log1p,verified_x_repeat,rotation_x_corroboration
1,market_item.xlsx|中文暗网交易市场|seller_raw:566597||market_item.xlsx|中文暗网交易市场|seller_raw:596616,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:566597,market_item.xlsx|中文暗网交易市场|seller_raw:596616,中文暗网交易市场,中文暗网交易市场,566597,596616,0.990348692994,0.646566906767,0.000000000000,0.000000000000,0.000000000000,0.646566906767,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2,market_item.xlsx|茶马古道|seller_raw:/shop/400128||market_item.xlsx|茶马古道|seller_raw:/shop/414687,existing_step4,0,market_item.xlsx|茶马古道|seller_raw:/shop/400128,market_item.xlsx|茶马古道|seller_raw:/shop/414687,茶马古道,茶马古道,/shop/400128,/shop/414687,0.990163049565,0.645570327956,0.000000000000,0.000000000000,0.000000000000,0.645570327956,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
3,market_item.xlsx|中文暗网交易市场|seller_raw:531087||market_item.xlsx|中文暗网交易市场|seller_raw:596616,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:531087,market_item.xlsx|中文暗网交易市场|seller_raw:596616,中文暗网交易市场,中文暗网交易市场,531087,596616,0.989911079789,0.644215670432,0.000000000000,0.000000000000,0.000000000000,0.644215670432,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
4,market_item.xlsx|中文暗网交易市场|seller_raw:565149||market_item.xlsx|中文暗网交易市场|seller_raw:596616,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:565149,market_item.xlsx|中文暗网交易市场|seller_raw:596616,中文暗网交易市场,中文暗网交易市场,565149,596616,0.989403418021,0.641479336633,0.000000000000,0.000000000000,0.000000000000,0.641479336633,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
5,market_item.xlsx|中文暗网交易市场|seller_raw:99981||market_item.xlsx|茶马古道|seller_raw:/shop/408791,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:99981,market_item.xlsx|茶马古道|seller_raw:/shop/408791,中文暗网交易市场,茶马古道,99981,/shop/408791,0.986262112520,0.624347739359,0.000000000000,0.000000000000,0.000000000000,0.624347739359,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|shared_description_clone,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
6,market_item.xlsx|茶马古道|seller_raw:/shop/420611||market_item.xlsx|茶马古道|seller_raw:/shop/649,existing_step4,0,market_item.xlsx|茶马古道|seller_raw:/shop/420611,market_item.xlsx|茶马古道|seller_raw:/shop/649,茶马古道,茶马古道,/shop/420611,/shop/649,0.986208527957,0.624052649224,0.000000000000,0.000000000000,0.000000000000,0.624052649224,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
7,market_item.xlsx|中文暗网交易市场|seller_raw:604051||market_item.xlsx|茶马古道|seller_raw:/shop/408791,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:604051,market_item.xlsx|茶马古道|seller_raw:/shop/408791,中文暗网交易市场,茶马古道,604051,/shop/408791,0.985614433171,0.620774840704,0.000000000000,0.000000000000,0.000000000000,0.620774840704,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|shared_description_clone,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
8,market_item.xlsx|中文暗网交易市场|seller_raw:565149||market_item.xlsx|中文暗网交易市场|seller_raw:566597,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:565149,market_item.xlsx|中文暗网交易市场|seller_raw:566597,中文暗网交易市场,中文暗网交易市场,565149,566597,0.983881502452,0.611151497039,0.000000000000,0.000000000000,0.000000000000,0.611151497039,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
9,market_item.xlsx|中文暗网交易市场|seller_raw:565149||market_item.xlsx|中文暗网交易市场|seller_raw:570690,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:565149,market_item.xlsx|中文暗网交易市场|seller_raw:570690,中文暗网交易市场,中文暗网交易市场,565149,570690,0.980348348407,0.591267768241,0.000000000000,0.000000000000,0.000000000000,0.591267768241,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
10,market_item.xlsx|中文暗网交易市场|seller_raw:596616||market_item.xlsx|中文暗网交易市场|seller_raw:596705,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:596616,market_item.xlsx|中文暗网交易市场|seller_raw:596705,中文暗网交易市场,中文暗网交易市场,596616,596705,0.979652212010,0.587312366645,0.000000000000,0.000000000000,0.000000000000,0.587312366645,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
11,market_item.xlsx|中文暗网交易市场|seller_raw:46626||market_item.xlsx|中文暗网交易市场|seller_raw:67272,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:46626,market_item.xlsx|中文暗网交易市场|seller_raw:67272,中文暗网交易市场,中文暗网交易市场,46626,67272,0.979499552734,0.586443438588,0.000000000000,0.000000000000,0.000000000000,0.586443438588,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
12,market_item.xlsx|中文暗网交易市场|seller_raw:42402||market_item.xlsx|中文暗网交易市场|seller_raw:57615,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:42402,market_item.xlsx|中文暗网交易市场|seller_raw:57615,中文暗网交易市场,中文暗网交易市场,42402,57615,0.979000754819,0.583600580941,0.000000000000,0.000000000000,0.000000000000,0.583600580941,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
13,market_item.xlsx|中文暗网交易市场|seller_raw:346677||market_item.xlsx|中文暗网交易市场|seller_raw:596616,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:346677,market_item.xlsx|中文暗网交易市场|seller_raw:596616,中文暗网交易市场,中文暗网交易市场,346677,596616,0.977883524190,0.577213070597,0.000000000000,0.000000000000,0.000000000000,0.577213070597,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
14,market_item.xlsx|茶马古道|seller_raw:/shop/240||market_item.xlsx|茶马古道|seller_raw:/shop/403756,existing_step4,0,market_item.xlsx|茶马古道|seller_raw:/shop/240,market_item.xlsx|茶马古道|seller_raw:/shop/403756,茶马古道,茶马古道,/shop/240,/shop/403756,0.977014531525,0.572226775841,0.000000000000,0.000000000000,0.000000000000,0.572226775841,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
15,market_item.xlsx|中文暗网交易市场|seller_raw:531087||market_item.xlsx|中文暗网交易市场|seller_raw:565149,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:531087,market_item.xlsx|中文暗网交易市场|seller_raw:565149,中文暗网交易市场,中文暗网交易市场,531087,565149,0.976413348266,0.568768505502,0.000000000000,0.000000000000,0.000000000000,0.568768505502,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
16,market_item.xlsx|中文暗网交易市场|seller_raw:23080||market_item.xlsx|中文暗网交易市场|seller_raw:47160,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:23080,market_item.xlsx|中文暗网交易市场|seller_raw:47160,中文暗网交易市场,中文暗网交易市场,23080,47160,0.976051819664,0.566685577842,0.000000000000,0.000000000000,0.000000000000,0.566685577842,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
17,market_item.xlsx|中文暗网交易市场|seller_raw:26455||market_item.xlsx|中文暗网交易市场|seller_raw:48851,existing_step4,0,market_item.xlsx|中文暗网交易市场|seller_raw:26455,market_item.xlsx|中文暗网交易市场|seller_raw:48851,中文暗网交易市场,中文暗网交易市场,26455,48851,0.976001121028,0.566393290127,0.000000000000,0.000000000000,0.000000000000,0.566393290127,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
18,market_item.xlsx|茶马古道|seller_raw:/shop/404336||market_item.xlsx|茶马古道|seller_raw:/shop/455391,existing_step4,0,market_item.xlsx|茶马古道|seller_raw:/shop/404336,market_item.xlsx|茶马古道|seller_raw:/shop/455391,茶马古道,茶马古道,/shop/404336,/shop/455391,0.975737723805,0.564874013685,0.000000000000,0.000000000000,0.000000000000,0.564874013685,0,0,5946c236e1cb8a45780546177e10b3118caf8df9be09e1332670a631665c1a6c,ambiguous,210,210,synthetic_development;synthetic_train,0,1,0,0,,0,,,0,0,profile_lexical_neighbor|structural_support,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
