evidence_uid,source_dataset,pgp_id_raw,alias_raw,alias_normalized,fingerprint_short_raw,fingerprint_raw,fingerprint_short_normalized,fingerprint_raw_normalized,vendor_ids_raw,vendor_id_count,user_hash_raw,review_count_raw,star_rate_raw
3z669jwe|pgp:1,3z669jwe.sql,1,Platinum Standard,platinum standard,0x04B63E9BA4772C78,483F3631151FBA4895F9FF8404B63E9BA4772C78,0x04B63E9BA4772C78,483F3631151FBA4895F9FF8404B63E9BA4772C78,"57,644,1935",3,,827,99.03
3z669jwe|pgp:2,3z669jwe.sql,2,lostheaven,lostheaven,0xC22A0762D6484CE1,181E6C48B8FC786DBFB4F0E7C22A0762D6484CE1,0xC22A0762D6484CE1,181E6C48B8FC786DBFB4F0E7C22A0762D6484CE1,"58,5827,2629,13041,13702",5,,880,98.95
3z669jwe|pgp:3,3z669jwe.sql,3,guns789,guns789,0x5C01DC039DC7B6E0,FA60B52B6DB1F6207AB7B34D5C01DC039DC7B6E0,0x5C01DC039DC7B6E0,FA60B52B6DB1F6207AB7B34D5C01DC039DC7B6E0,59,1,,0,0.00
3z669jwe|pgp:4,3z669jwe.sql,4,lynx industries,lynx industries,0x7D48DBF3FC64D451,998D0B64DDBEDA9C666D32147D48DBF3FC64D451,0x7D48DBF3FC64D451,998D0B64DDBEDA9C666D32147D48DBF3FC64D451,"60,895,3804,4817",4,,428,93.13
3z669jwe|pgp:5,3z669jwe.sql,5,fredthebaker,fredthebaker,0xD6D4F2D44B13EE03,D683D0D733502404FF1D4A19D6D4F2D44B13EE03,0xD6D4F2D44B13EE03,D683D0D733502404FF1D4A19D6D4F2D44B13EE03,"61,798,1885,3153,11255,10720,16418,27816",8,0fd374069fa6cd2d,1335,97.74
3z669jwe|pgp:6,3z669jwe.sql,6,Chemical Brothers,chemical brothers,0x91FBBAA3D7332D1C,7F35A8A939636DD9FBF68F9B91FBBAA3D7332D1C,0x91FBBAA3D7332D1C,7F35A8A939636DD9FBF68F9B91FBBAA3D7332D1C,"62,856,2148",3,,33,92.73
3z669jwe|pgp:7,3z669jwe.sql,7,aKid,akid,0xCBB53355DF5DD538,B04F0925DB6A2D5AEC0C9C57CBB53355DF5DD538,0xCBB53355DF5DD538,B04F0925DB6A2D5AEC0C9C57CBB53355DF5DD538,"63,1182",2,,391,67.72
3z669jwe|pgp:8,3z669jwe.sql,8,DrawkwarD,drawkward,0xA2A37DDE8E705FF9,F329BCDFAB02B4F54201F64CA2A37DDE8E705FF9,0xA2A37DDE8E705FF9,F329BCDFAB02B4F54201F64CA2A37DDE8E705FF9,"64,31,2081,12481,13401,15426,17771,25363,38011",9,,4193,99.48
3z669jwe|pgp:9,3z669jwe.sql,9,sniffsniff,sniffsniff,0x29F7C90B9F5CF3DC,700236AAB6013F4CBA94EAC829F7C90B9F5CF3DC,0x29F7C90B9F5CF3DC,700236AAB6013F4CBA94EAC829F7C90B9F5CF3DC,65,1,,505,90.10
3z669jwe|pgp:10,3z669jwe.sql,10,PCubeSensei,pcubesensei,0xD5E6BD2D2A1F70D0,3ADB881AA6EFD2A7286FB57ED5E6BD2D2A1F70D0,0xD5E6BD2D2A1F70D0,3ADB881AA6EFD2A7286FB57ED5E6BD2D2A1F70D0,"66,7976,15429",3,,541,94.97
3z669jwe|pgp:11,3z669jwe.sql,11,Saint Symbiosis,saint symbiosis,0x42155086AD90A3E3,BE0604F4E3750DED32365B8F42155086AD90A3E3,0x42155086AD90A3E3,BE0604F4E3750DED32365B8F42155086AD90A3E3,"67,536,2999,9674,12604,13455,17171,17407",8,,1652,98.78
3z669jwe|pgp:12,3z669jwe.sql,12,technohippy,technohippy,0xBB945E09CFCB531F,86911D012B86717B300A77F0BB945E09CFCB531F,0xBB945E09CFCB531F,86911D012B86717B300A77F0BB945E09CFCB531F,"70,852,5940,18047,22359,31711,25130,34211",8,c34ae1afa736ffb7,2166,99.22
3z669jwe|pgp:13,3z669jwe.sql,13,DaHBome,dahbome,0x6E977EE98CACBF3E,D2046E823E3C657EDE8A3CAC6E977EE98CACBF3E,0x6E977EE98CACBF3E,D2046E823E3C657EDE8A3CAC6E977EE98CACBF3E,"71,1200,7870,17382,21001",5,,1009,98.43
3z669jwe|pgp:14,3z669jwe.sql,14,ThePinkPanther,thepinkpanther,0x0B314C61DBA9F3FD,3D2F4C85934A40B1C023D2130B314C61DBA9F3FD,0x0B314C61DBA9F3FD,3D2F4C85934A40B1C023D2130B314C61DBA9F3FD,"77,4994,5540,827,11190,11957,11579,14887",8,,472,97.42
3z669jwe|pgp:16,3z669jwe.sql,16,Sukey,sukey,0xE54F50F182865401,B73CBBA38B0709673FB2CCFDE54F50F182865401,0xE54F50F182865401,B73CBBA38B0709673FB2CCFDE54F50F182865401,"80,1576,2025",3,,7,88.57
3z669jwe|pgp:17,3z669jwe.sql,17,haizenberg,haizenberg,0x8DCD12F8B1926D09,6014E7ACDF457582FF5FE9D18DCD12F8B1926D09,0x8DCD12F8B1926D09,6014E7ACDF457582FF5FE9D18DCD12F8B1926D09,90,1,,799,73.22
3z669jwe|pgp:18,3z669jwe.sql,18,haydenp,haydenp,0xAD96F512759D2E38,D36E33EDD58EAEF405BBA132AD96F512759D2E38,0xAD96F512759D2E38,D36E33EDD58EAEF405BBA132AD96F512759D2E38,"95,140",2,,0,0.00
3z669jwe|pgp:19,3z669jwe.sql,19,Bungee54,bungee54,0x5C9C1A9D9DEF3E14,08075A85429A8B7A2C98C4635C9C1A9D9DEF3E14,0x5C9C1A9D9DEF3E14,08075A85429A8B7A2C98C4635C9C1A9D9DEF3E14,"97,3919,4046,5423",4,0b5a045c861d0642,412,96.50
3z669jwe|pgp:20,3z669jwe.sql,20,gammagoblin,gammagoblin,0x948D159557111452,9265CA985E9E637D739907CC948D159557111452,0x948D159557111452,9265CA985E9E637D739907CC948D159557111452,"98,1120,6240,13631,11633,25062,35301",7,686aaab2376cd4c9,1745,99.56
3z669jwe|pgp:22,3z669jwe.sql,22,Angelina,angelina,0x6F9E81ACEBCAEA64,779A22284964CE89F160E46E6F9E81ACEBCAEA64,0x6F9E81ACEBCAEA64,779A22284964CE89F160E46E6F9E81ACEBCAEA64,"101,301,8054,10803,14175,17872,25418",7,0a77cc2b4971f98f,1431,98.45
