seller_uid,source_dataset,source_market_raw,source_seller_raw,source_seller_id_raw,alias_normalized,primary_data_bucket,seller_level_note,item_count_total,item_count_en_content_eligible,item_count_zh_target_strict,item_count_zh_target_aux,item_count_excluded_alias_overlap,item_count_excluded_pgp_overlap,item_count_excluded_contact_overlap,item_count_excluded_non_target_cjk,item_count_excluded_other
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:#NAME?,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,#NAME?,,#name?,en_content_train_pool,,5,5,0,0,0,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:-BIGG-BALLs-,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,-BIGG-BALLs-,,-bigg-balls-,excluded,alias_overlap_with_en_gold,9,0,0,0,9,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:-Euphoria-,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,-Euphoria-,,-euphoria-,excluded,alias_overlap_with_en_gold,13,0,0,0,13,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:-FliP-,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,-FliP-,,-flip-,excluded,alias_overlap_with_en_gold,3,0,0,0,3,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:-Inanna-,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,-Inanna-,,-inanna-,en_content_train_pool,,3,3,0,0,0,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:-TarNation-,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,-TarNation-,,-tarnation-,excluded,alias_overlap_with_en_gold,18,0,0,0,18,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:-ThePakistani-,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,-ThePakistani-,,-thepakistani-,excluded,alias_overlap_with_en_gold,14,0,0,0,14,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:.-.,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,.-.,,.-.,excluded,alias_overlap_with_en_gold,7,0,0,0,7,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:.Merkur,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,.Merkur,,.merkur,excluded,alias_overlap_with_en_gold,41,0,0,0,41,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:010manolo,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,010manolo,,010manolo,excluded,alias_overlap_with_en_gold,25,0,0,0,25,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:03welle,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,03welle,,03welle,excluded,alias_overlap_with_en_gold,67,0,0,0,67,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:0day,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,0day,,0day,excluded,alias_overlap_with_en_gold,17,0,0,0,17,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:1337TheBlackList1337,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,1337TheBlackList1337,,1337theblacklist1337,excluded,alias_overlap_with_en_gold,26,0,0,0,26,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:13ertrude,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,13ertrude,,13ertrude,excluded,alias_overlap_with_en_gold,4,0,0,0,4,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:187ACAB,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,187ACAB,,187acab,excluded,alias_overlap_with_en_gold,21,0,0,0,21,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:1dboladay,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,1dboladay,,1dboladay,excluded,alias_overlap_with_en_gold,22,0,0,0,22,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:1onestop,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,1onestop,,1onestop,excluded,alias_overlap_with_en_gold,17,0,0,0,17,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:2015MrClean,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,2015MrClean,,2015mrclean,excluded,alias_overlap_with_en_gold,40,0,0,0,40,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:24kpharma,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,24kpharma,,24kpharma,excluded,alias_overlap_with_en_gold,16,0,0,0,16,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:2cbking,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,2cbking,,2cbking,excluded,alias_overlap_with_en_gold,12,0,0,0,12,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:32dxbv!vrwndid,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,32dxbv!vrwndid,,32dxbv!vrwndid,excluded,alias_overlap_with_en_gold,7,0,0,0,7,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:3948756,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,3948756,,3948756,excluded,alias_overlap_with_en_gold,14,0,0,0,14,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:3dames,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,3dames,,3dames,excluded,alias_overlap_with_en_gold,22,0,0,0,22,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:3gents,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,3gents,,3gents,excluded,alias_overlap_with_en_gold,30,0,0,0,30,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:420,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,420,,420,en_content_train_pool,partial_item_exclusion,10,9,0,0,0,0,0,1,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:420DubeUK,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,420DubeUK,,420dubeuk,excluded,alias_overlap_with_en_gold,20,0,0,0,20,0,0,0,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:420GreenLife,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx,agora,420GreenLife,,420greenlife,excluded,alias_overlap_with_en_gold,80,0,0,0,80,0,0,0,0
