alias_normalized,from_tijkc3xx_count,from_suspected_strong_count,from_suspected_weak_count,from_suspected_imposter_count,source_presence_count,is_official_benchmark_alias,is_aux_graph_expanded_alias,linked_aux_fingerprint_count,linked_aux_fingerprints
!adderall,1,0,0,0,1,true,false,0,
"""deeko""",1,0,0,0,1,true,false,0,
$azilla,1,0,1,0,2,true,false,0,
$cotty,1,0,0,0,1,true,false,2,0xDB8A571CDF8AF16D || 651566A79DF87FC4C2BEE2CCDB8A571CDF8AF16D
&#101;xception,1,0,0,0,1,true,false,0,
&#114;ubymoonlight,1,0,0,0,1,true,false,0,
&#122;endym.,1,0,0,0,1,true,false,0,
&#87;indowsmoke,1,0,0,0,1,true,false,0,
+358918498374,1,1,1,0,3,true,false,0,
+holland+,1,0,4,0,2,true,false,2,0xCC34B89089BFB8D6 || 4AACF0CDC651FC6B782EEA2FCC34B89089BFB8D6
--euphoria--,1,0,1,0,2,true,false,0,
--gr33nm4ch1n3--,1,0,0,0,1,true,false,2,0576035D96C5C7D51C5B1934948A4E17D593B944 || 0x948A4E17D593B944
--hightimesaustralia,1,0,0,0,1,true,false,2,0x7A78989D5B782371 || 99353E0280A2E73C01649C517A78989D5B782371
--rebel-alliance--,1,0,1,0,2,true,false,0,
--strongweed--,2,0,5,0,2,true,false,2,0x889F46F935DA4032 || 64D983C35E00E98BDF4E70CF889F46F935DA4032
-acme-,1,0,3,0,2,true,false,2,0x1C67B1577683A075 || 73518CDFCEE36469CE9800ED1C67B1577683A075
-anomalya-,1,0,1,0,2,true,false,0,
-bangbros,1,0,1,0,2,true,false,0,
-bigboy,1,0,1,0,2,true,false,0,
-bigg-balls-,2,0,0,0,1,true,false,2,0xD89F562441459B54 || 5B0D148E70F6AB886805DF93D89F562441459B54
-blackdog-,1,0,0,0,1,true,false,2,0x6334941E71FF5E1D || 4541FDE5C2E6BE489A791A4A6334941E71FF5E1D
-cartelconnect-,1,0,3,0,2,true,false,2,0x757864F4C25CD896 || 69496A576112399A2BC62C10757864F4C25CD896
-charliebrownco-,1,0,1,0,2,true,false,0,
-corrupt-,1,0,0,0,1,true,false,2,0xDCF2C45A06270245 || C58359AEB429895B59E150AADCF2C45A06270245
-cr-,1,0,0,0,1,true,false,2,0x5A972A81F7EC511B || DD080BC0E6281F89E633C71F5A972A81F7EC511B
-disney-on-ice-,1,0,0,0,1,true,false,2,0x9FD30B9C7F2DF4C0 || 903B38DB366226A3E06D066A9FD30B9C7F2DF4C0
-dub-,1,0,0,0,1,true,false,0,
-dutchdynamite-,1,0,1,0,2,true,false,0,
-euphoria-,1,0,5,0,2,true,false,2,0x2421A7211F29B2F9 || 8184DAB9058FFC01EBCB35402421A7211F29B2F9
-flip-,1,0,1,0,2,true,false,0,
-helvetia-,1,0,0,0,1,true,false,2,0xD086321CFCD0BE3C || B8C0B3EDA84F4E0D34D76265D086321CFCD0BE3C
-marshall-,1,0,0,0,1,true,false,2,0xB8B6DB01A9839CD4 || 41F6EFDC43193C6C7DAAE019B8B6DB01A9839CD4
-nauttija-,1,0,0,0,1,true,false,2,0x615965454AB65ABD || C54EC189FAAD1E4845263847615965454AB65ABD
-nhs-,1,0,0,0,1,true,false,2,0xF7B361E497B0159A || A85D8A7A7675D68D29C2A36EF7B361E497B0159A
-oneking-,1,0,1,0,2,true,false,0,
-orientalfinesse-,1,0,0,0,1,true,false,2,0x37134C9F8B16EFD9 || 517AC8C5537C177CEE4117D337134C9F8B16EFD9
-pk,1,0,0,0,1,true,false,0,
-selfmadeweed-,1,1,1,0,3,true,false,0,
-stoneisland-,1,0,4,0,2,true,false,2,0x846D1AE0B688883F || 87AF713E24E7B59D9F019D4A846D1AE0B688883F
-tarnation-,1,0,0,0,1,true,false,2,0x6EC8325E5AD81B3C || CA60169E546BB5AF679894A46EC8325E5AD81B3C
-themaddabber-,1,0,0,0,1,true,false,2,0x2C5A69AE581CEAF3 || A9860206FCCCFAB554AB30FB2C5A69AE581CEAF3
-thepakistani-,2,0,0,0,1,true,false,2,0x48D150DC9CAF594F || 78848C98B822657F580FC59848D150DC9CAF594F
.-.,1,0,0,0,1,true,false,0,
