balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes
1,text_clone_primary,products_data.csv|__unknown__|seller_id:1880883||products_data.csv|__unknown__|seller_id:1889980,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,15.0,alias_missing,true,__unknown__,__unknown__,,,,VN_越南_Zalo_Business扫脸实名成品号VPN,帮扫脸实名认证 ： 15U 开Business，商家： 20U 成品号： 普通Zalo成品号＞7天 ： 3U（6个起步）：未实名，不是越南网容易死，避免造成纠纷，慎拍，死了不包赔 || 普通Zalo成品号＞30天： 6U（2个起步）：未实名，不是越南网容易死，避免造成纠纷，慎拍，死了不包赔 || 在我这里用号尽管放心） 【登电脑端极力推荐】 越南VPN 10U 一个IP （记录你为常用越南IP,常规服务与操作,,1.0,1.0,T: VN_越南_Zalo_Business扫脸实名成品号VPN || VN_越南_Zalo_Business扫脸实名成品号VPN | D: 【注意】 出号后半小时内要登录上去改密码，未实名号一旦被锁就凉，卡都是一次性的 固定一个老号作为陌生人，登录上去马上改密码，然后搜索这个陌生人跟他发消息，每天互发消息一次（一定要是互发消息，不是只单边发，3-5天） ZALO的风控比微信更严格 ---------------- 另有越南网购/快递数据一手出售，交易... | C: 常规服务与操作,T: VN_越南_Zalo_Business扫脸实名成品号VPN || VN_越南_Zalo_Business扫脸实名成品号VPN | D: 【注意】 出号后半小时内要登录上去改密码，未实名号一旦被锁就凉，卡都是一次性的 固定一个老号作为陌生人，登录上去马上改密码，然后搜索这个陌生人跟他发消息，每天互发消息一次（一定要是互发消息，不是只单边发，3-5天） ZALO的风控比微信更严格 ---------------- 另有越南网购/快递数据一手出售，交易... | C: 常规服务与操作,pending,,,
2,semantic_structural,products_data.csv|__unknown__|seller_id:570730||products_data.csv|__unknown__|seller_id:588456,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.996022,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,1.0,0.998011,"T: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金3 || 币圈外汇股民领英数据一美国新墨西哥州33万条33美金3 | D: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金3 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品","T: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 || 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 | D: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品",pending,,,
3,semantic_only,products_data.csv|__unknown__|seller_id:443620||products_data.csv|__unknown__|seller_id:565911,sockpuppet_primary,medium,profile_lexical_neighbor,4.78746,alias_missing,true,__unknown__,__unknown__,,,,,,,,0.632891,0.495057,T: 2019一对一直播平台源码高度二开裸播脱衣版无限制完美运营版 || 2019一对一直播平台源码高度二开裸播脱衣版无限制完美运营版 | D: ------------------------------------------------------------------------- 安卓+IOS+3级推广+VIP观看短视频+vip守护+进场坐骑+主播pk+互动连麦+直播间红包+直播间幸运礼物+商城+进场提醒+收费房间 --------------... | C: 技术服务[非教程],T: 2020直播APP三合一平台支持棋牌博彩直播无阉割博彩版 || 2020直播APP三合一平台支持棋牌博彩直播无阉割博彩版 | D: 单买源码无技术支持） 套餐二：安装搭建服务（搭建包安卓ios出包，不包苹果签名）=800刀 套餐三：老顾客搭建后期维护（维护保证系统正常运营，不提供修改服务）=1000刀/月 ---------------------------------------------------------------------... | C: 常规服务与操作,pending,,,
4,text_clone_primary,products_data.csv|__unknown__|seller_id:566317||products_data.csv|__unknown__|seller_id:588456,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,13.20314,alias_missing,true,__unknown__,__unknown__,,,,币圈外汇股民领英数据一美国新墨西哥州33万条33美金,"币圈外汇股民领英数据一美国新墨西哥州33万条33美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰",虚拟物品,,0.811196,0.667982,"T: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 || 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 | D: 澳大利亚币圈310万其一30万条300美金一14 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品","T: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 || 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 | D: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品",pending,,,
5,semantic_structural,products_data.csv|__unknown__|seller_id:524273||products_data.csv|__unknown__|seller_id:700071,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.62312,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.957129,0.940173,"T: 加拿大华人华侨女性1000条156美金2 || 加拿大华人华侨女性1000条156美金2 | D: 加拿大华人华侨女性1000条156美金2 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品","T: 加拿大华人华侨女性1000条120美金 || 加拿大华人华侨女性1000条120美金 | D: 加拿大华人华侨女性1000条120美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品",pending,,,
6,semantic_only,products_data.csv|__unknown__|seller_id:531338||products_data.csv|__unknown__|seller_id:707157,sockpuppet_primary,medium,profile_lexical_neighbor,4.648664,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.6387,0.408232,T: 币圈注册用户一美国一俄亥俄州一ohio一16万条160美金 || 币圈注册用户一美国一俄亥俄州一ohio一16万条160美金 | D: --------------------- ↓ 交易编号---45581-----收藏品圆明圆国宝十二生肖普首金1200条180美金 交易编号---46790-----河北承德市政府机构通讯录村长1万条150美金 交易编号---47675-----陕西_西安19401958年身份证1万条1560美金 交易编号--... | C: 虚拟物品,T: 首发美国暴雪娱乐公司魔兽世界投资人数据30万条200美金 || 高净值管理人员科威特440万条500美金 | D: 直接拍数据就可以，MEGA网盘下载，截图有换行，实际数据是文本标准格式，可以导入表格或直接打印，一行一条 | C: 私人专拍 || 虚拟物品,pending,,,
7,text_clone_primary,products_data.csv|__unknown__|seller_id:187565||products_data.csv|__unknown__|seller_id:49925,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support,12.825744,alias_missing,true,__unknown__,__unknown__,,,,,（PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），国际邮费自理） 拍下后留收货地址，联系电... || 3.银行可以指定(指定银行暂只支持中，农，建，工，邮政，交通，中信)，实名手机卡也可以指定运营商(会预留五十话费) || [订制附加费] 1.如需绑定支付宝 微信 加 2份 2.如需开通国际漫游 加 1份 3.如需延长保用时间，费用为每月/500￥(5份),实体发货商品,,0.976748,0.982628,T: 1500￥出定制四件套，无条件售后质保两个月(四大行任君选择，还可指定运营商可开国际漫游) || 1500￥出定制四件套，无条件售后质保两个月(四大行任君选择，还可指定运营商可开国际漫游) | D: （PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），... | C: 实体发货商品,T: 1800出定制四件套无条件售后质保两个月可开国际漫游 || 1800出定制四件套无条件售后质保两个月可开国际漫游 | D: （PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），... | C: 实体发货商品,pending,,,
8,semantic_structural,products_data.csv|__unknown__|seller_id:562273||products_data.csv|__unknown__|seller_id:633274,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.443596,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.984642,0.767872,"T: 币圈美国佛罗里达州迈阿密21万条200美金 || 币圈美国佛罗里达州迈阿密21万条200美金 | D: 币圈美国佛罗里达州迈阿密21万条200美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品","T: 币圈美国佛罗里达州迈阿密60万条2500美金 || 币圈美国佛罗里达州迈阿密60万条2500美金 | D: ""币圈美国佛罗里达州迈阿密60万条2500美金↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品",pending,,,
9,semantic_only,products_data.csv|__unknown__|seller_id:176839||products_data.csv|__unknown__|seller_id:86267,sockpuppet_primary,medium,profile_lexical_neighbor,4.330094,alias_missing,true,__unknown__,__unknown__,,,,,,技术服务[非教程],,0.622578,0.297313,T: 微盘二开版带余额宝功能期货数字火币交易完整数据k线正常 || 代考驾照c1b1免人到场45天就可以拿到驾照 | D: 请到【我的钱袋】申请积分【解决积分充值入口太深的提醒问题】 8、优化首页资源列表加载速度、其他页面数据加载速度 修复 后台VIP设置中会员权益没显示的问题 备注:本次更新需要更新小程序 适用范围 梦想贩卖机、资源变现、赚钱神器、知识社群、激励视频、微信小程序、小程序源码 运行环境 PHP+MYSQL+微擎+小程序... | C: 技术服务[非教程] || 教程与文档,T: 黑客渗透工具包，50+工具！！ || 黑客渗透工具包，50+工具！！ | D: 黑客渗透工具包，内含IIS提权，MD5在线破解器，网站后台目录扫描，旁注扫描，大马小马图片马，提权，盲注，链接嗅探，跳转拦截，注入中转，注入抓包，转码等多个实用工具，是您拿站的好帮手，付款后链接自动显示 | C: 技术服务[非教程],pending,,,
10,text_clone_primary,products_data.csv|__unknown__|seller_id:425820||products_data.csv|__unknown__|seller_id:665332,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support,12.464296,alias_missing,true,__unknown__,__unknown__,,,,,拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 || 只要打一个QQ电话，不管对方接还是拒接，或不接，都能就直接抓到对方IP,教程与文档,,0.930599,0.940351,T: QQ抓包查IP软件含使用教程 || QQ抓包查IP软件含使用教程 | D: 拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 | C: 教程与文档,T: qq抓包查ip工具包含使用教程 || qq抓包查ip工具包含使用教程 | D: 拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 | C: 教程与文档,pending,,,
