balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes,target_bucket,target_reason,target_action,suggested_label,suggested_confidence,source_step11_scorer_token,source_step11_graph_primary_threshold,source_step11_prob_positive,source_step11_score_rank_desc,source_step11_threshold_pass_bool,source_step11_graph_filter_retained_bool,embedding_cosine_bge_m3,structural_support_score_raw,profile_category_jaccard,style_gap_score,style_gap_feature_hit_count,boundary_distance_to_graph_threshold
1,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/405653||market_item.xlsx|茶马古道|seller_raw:/shop/442299,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/405653,/shop/442299,,,2、正真有价值的项目都是清清楚楚告诉你盈利模式，变现模式 3、越是说的玄乎，越是说的神秘的介绍，大家千万别碰 特别说明：此项目已经存活好几年，长期稳定项目 || 长期偏门正规全自动被动收入 判断一个项目能不能做主要看以下几点 1、敢不敢把项目是什么介绍清楚，而不是营造神秘感,技术,,0.449983,0.785593,"T: 独家蓝海项目,暴利长期,日赚千元 || 独家蓝海项目,暴利长期,日赚千元 | D: 完完全全模拟人工操作方式，安全稳定无后 顾之忧 无需电脑基础，全自动挂机模拟操作，细水长流，天天有肉吃，不提倡暴力操作 1、无限撸加油卡、话费卡思路及全套流程，每张100元面值 2、一套全自动算法，图片形式，需要自己去设置编辑 3、几套软件，有免费的 ，有收费的 ，自己甄选 4、购买后不支持退款，玻璃心勿扰，没有... | C: 技术","T: 全网独家,暴利长期项目,日赚千元 || 全网独家,暴利长期项目,日赚千元 | D: 为什么出售教程:平台玩的人越多平台越稳定越长久,因为撸的不是平台的羊毛 建议先熟悉一个号，然后再放大操作，长期项目，细水长流 此教程出售内容如下： 通过代码实现利用平台漏洞使充值的btc翻3-4倍 | C: 技术",reviewed,uncertain,codex_conservative_boundary_review_20260421,"codex_review: uncertain; graph-retained and strongly overlapping, but still lacks direct identity closure strong enough for a positive training label.",positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,25,1,1,0.909978,0.785593,1.0,0.598935,1,0.188921
2,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/442431||market_item.xlsx|茶马古道|seller_raw:/shop/462494,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/442431,/shop/462494,,,质量绝对有保障的，安全可靠，每一张卡保额2W人民币 ，司法冻结不保，正常的风控问题需要收取总额度的百分之30,实物,,0.551869,0.763174,"T: 纯 四 件 套 || 纯 四 件 套 | D: 15美金=100人民币，1份=100人民币，请根据需求拍下 纯四件套：银行卡+身份证正反面照片+实名预留手机卡,U盾 价格:2000元/套， 需实名注册微信加500 实名注册支付宝加500 实名注册交易平台加500 带手机加800 请根据需要拍下，留言写下具体要求 | C: 实物",T: 出售 纯四件套 || 出售 纯四件套 | D: 15美金=100人民币，1份=100人民币，请根据需求拍下 纯四件套：价格：3500元/套 需实名注册微信加500 实名注册支付宝加500 实名注册交易平台加500 带手机加800 60天质保期内出现挂失.销户等情况，由卖家进行补发，如卡内有资金导致买家损失，由卖家进行全权负责追回，并赔偿损失 | C: 实物,reviewed,uncertain,codex_conservative_boundary_review_20260421,"codex_review: uncertain; graph-retained and strongly overlapping, but still lacks direct identity closure strong enough for a positive training label.",positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,39,1,1,0.978121,0.763174,1.0,0.379377,1,0.188921
3,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/427291||market_item.xlsx|茶马古道|seller_raw:/shop/430060,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/427291,/shop/430060,,,兄弟我被骗过，只想弄个东西玩玩，尽遇到些骗子，该死的骗子，草,实物,,0.836938,0.742403,T: 求购进口枪械，再次提价 || 求购进口枪械，再次提价 | D: 卖家自留电话号码，接收物流信息暗网通知我，可给50美金辛苦费，拒绝线下交流，包括TG 5、以上价格均包含运费，包装费不算，但问我要包装费收货的时候裸妆，扣钱 | C: 实物,T: 手枪求购 大陆地区 || 手枪求购 大陆地区 | D: 5、拒绝预付款、快递单流程阶段性付款 可以提供的站内信联系，其他我没有考虑到的都可以谈 | C: 实物,reviewed,uncertain,codex_conservative_boundary_review_20260421,"codex_review: uncertain; graph-retained and strongly overlapping, but still lacks direct identity closure strong enough for a positive training label.",positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,35,1,1,0.936665,0.742403,1.0,0.928843,2,0.188921
4,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/408157||market_item.xlsx|茶马古道|seller_raw:/shop/422538,sockpuppet_primary,high,shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/408157,/shop/422538,,,1.数据格式：收货人姓名+收货地址+联系手机+订单创建时间 +订单付款时间+物流单号+物流公司,数据,,0.0,0.678694,T: 淘宝母婴女性网购数据 银行数据 || 求购淘宝~天猫~京东美妆网购资料 | D: 2银行数据： 姓名 电话 卡号 证号 3确保双方权益支持站内交易 | C: 数据,T: 求购短信通道稳定 价格合适长期bc || 提取微信QQ | D: 提供微信原始ID或者微信号QQ号即可，提取指定微信QQ好友列表--3500RMB一个五个起3200RMB欢迎大佬来询 | C: 数据,reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,28,1,1,0.864653,0.678694,1.0,1.325721,2,0.188921
5,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/408157||market_item.xlsx|茶马古道|seller_raw:/shop/418373,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/408157,/shop/418373,,,1.数据格式：收货人姓名+收货地址+联系手机+订单创建时间 +订单付款时间+物流单号+物流公司,数据,,0.478119,0.62056,T: 淘宝母婴女性网购数据 银行数据 || 求购淘宝~天猫~京东美妆网购资料 | D: 2银行数据： 姓名 电话 卡号 证号 3确保双方权益支持站内交易 | C: 数据,T: 一手网购快递茶叶数据 || 一手网购快递茶叶数据 | D: 2确保双方权益支持站内交易 3要先测试数据准确 不能测试不要联系 不要浪费时间 可TG 联系 | C: 数据,reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,27,1,1,0.908073,0.62056,1.0,1.485159,1,0.188921
6,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/433481||market_item.xlsx|茶马古道|seller_raw:/shop/455868,sockpuppet_primary,high,shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/433481,/shop/455868,,,MEGA网盘自动发货，虚拟物品不接受任何理由退款，白嫖投诉到底！,技术 || 虚拟,,0.0,0.609205,T: 匿名注册接收短信验证码，长期稳定国内接码平台+国外接码平台支持120多个国内外平台APP各种邮箱匿名注册撸羊毛 || 支付宝跑分项目，支付宝跑分渠道，成人直播平台跑分，黄播平台跑分，不是跑杀猪盘和诈骗高风险资金 | D: 共6个平台，2款手机APP，2个网站，2个黄播APP， 后期还会更新更多平台，之前买过的可以私聊我获取新增的 手机APP和网站这些性息资源平台都是收费的 不想花钱获取资源可以发布自己知道的资源赚积分 也可以加群看看有没有狼友帮忙解锁 黄播APP看直播是免费的，如果要约主播要刷礼物才能获取联系方式 自动发货，虚拟物... | C: 技术 || 虚拟,T: 原价几百美金的资料包，包含各种资料数据，各种灰黑项目，各种药品配方 || 黄网最全集合只售一刀 | D: 这份教程讲的很全面 操作系统包括(WIN+OSX+安卓+苹果)还会教你怎么去设置 教程会让你学到如何安全的进行通讯 防止你的设备离开你的时候 有效的保证不会被敌人找到证据 关于密码的保护 怎么做才能不被社工 如何安全的去使用浏览器以及避免泄露历史痕迹 从网上下载过来的文件正确的去保存 访问敏感信息的时候使有效避免... | C: 技术 || 虚拟,reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,37,1,1,0.883259,0.609205,0.666667,1.421994,1,0.188921
7,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/405657||market_item.xlsx|茶马古道|seller_raw:/shop/413435,sockpuppet_primary,high,shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/405657,/shop/413435,,,在政策高压下，很多色站长在引流上面遇到困难，此方法简单操作，每天花一两小时即可，长期累积，长期操作下来月破5万不是问题，我自己也在操作，操作简单，无需其他任何投入,技术 || 数据,,0.0,0.608968,T: 长期收购彩票历史数据，支持免测的来，长久合作黑人勿扰！骗子绕道！ || 实操不过时的网赚项目，无风险，单人可操作 | D: 不过时的网赚项目，无风险，担任可操作 首先项目需投资200~500左右，当天回本一点不难 众所周知，现在很多博彩站为了吸引顾客都要送钱 本教程就是教你如何找到这些送钱的网站（这个简单说一些，避免围攻同一个网站不好套）、如何完成提款要求、以及如果被卡款了如何提款 拍下自动发货 | C: 数据 || 技术,T: APP搭建，博彩，棋牌，X站，跑分，抢单，时时彩，直播+棋牌+菠菜，仿站钓鱼等各种灰色网站搭建 || 20套营业执照➕法人手持身份证➕公司门店➕工商户银行卡数据 自动发货 | D: 本项目提供了整套网站源码，可以直接上传服务器使用 并配备了文字教案和视频讲解，相当于手把手教你使用本套源码搭建属于你自己的网站 就算你是新手小白，按照教程一步一步操作也能搭建出自己的网站 黄网从来都不缺流量，有人通过收会员费变现，有人通过接广告变现， 只要你找到适合自己的变现手段，日入过千过万是很正常的事情 | C: 服务 || 技术,reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,26,1,1,0.876693,0.608968,0.333333,0.967656,1,0.188921
8,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/418373||market_item.xlsx|茶马古道|seller_raw:/shop/422538,sockpuppet_primary,high,shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/418373,/shop/422538,,,1.数据格式：收货人姓名+收货地址+联系手机+订单创建时间 +订单付款时间+物流单号+物流公司,数据,,0.0,0.57755,T: 一手网购快递茶叶数据 || 一手网购快递茶叶数据 | D: 2确保双方权益支持站内交易 3要先测试数据准确 不能测试不要联系 不要浪费时间 可TG 联系 | C: 数据,T: 求购短信通道稳定 价格合适长期bc || 提取微信QQ | D: 提供微信原始ID或者微信号QQ号即可，提取指定微信QQ好友列表--3500RMB一个五个起3200RMB欢迎大佬来询 | C: 数据,reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,32,1,1,0.868085,0.57755,1.0,1.357306,2,0.188921
9,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/412039||market_item.xlsx|茶马古道|seller_raw:/shop/413435,sockpuppet_primary,high,shared_description_clone|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.748921,different_alias,true,茶马古道,茶马古道,/shop/412039,/shop/413435,,,在政策高压下，很多色站长在引流上面遇到困难，此方法简单操作，每天花一两小时即可，长期累积，长期操作下来月破5万不是问题，我自己也在操作，操作简单，无需其他任何投入,数据,,0.0,0.502377,T: 2020.5 本人黄网实操经验：色站引流方法实操方法，坚持一个月下来日流量破5万不是问题 || 【出售料站】老牌CVV料站_轨道料站 绝对100%的实惠便宜【送靠谱cvv教程】 | D: 再来说一说收入的情况： 一万IP 月入7000—11000+ 五万IP 月入20000—40000+ 十万IP 月入100000+ 讲到方法都很简单，并且实操有效，非常容易简单学习，拍下概不退款，有疑问发信解答 | C: 虚拟 || 数据,T: APP搭建，博彩，棋牌，X站，跑分，抢单，时时彩，直播+棋牌+菠菜，仿站钓鱼等各种灰色网站搭建 || 20套营业执照➕法人手持身份证➕公司门店➕工商户银行卡数据 自动发货 | D: 本项目提供了整套网站源码，可以直接上传服务器使用 并配备了文字教案和视频讲解，相当于手把手教你使用本套源码搭建属于你自己的网站 就算你是新手小白，按照教程一步一步操作也能搭建出自己的网站 黄网从来都不缺流量，有人通过收会员费变现，有人通过接广告变现， 只要你找到适合自己的变现手段，日入过千过万是很正常的事情 | C: 服务 || 技术,reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.748921,30,1,1,0.864041,0.502377,0.142857,0.75038,0,0.188921
10,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/397527||market_item.xlsx|茶马古道|seller_raw:/shop/411341,sockpuppet_primary,high,shared_description_clone|structural_support|boundary_expansion|high_semantic_high_structure|zero_shot_bge,0.741693,different_alias,true,茶马古道,茶马古道,/shop/397527,/shop/411341,,,---------------------------------------- 注：出售的是网站地址，以网站能打开为准， 不提供其他咨询教学，网站使用非常简单，和其他料站在使用上是类似的,技术 || 数据,,0.0,0.674062,T: K12教育培训学生学员家长数据207000万条小学初中高中 || 短信接码平台_20年3月份仍然正常用的优质平台 | D: 20年3月份仍然正常用的_优质短信接码平台 能短信接码的项目比较多，具体查看附图 注册，充值方式，包含国家，接码界面等，都有附图 平台客服咨询非常细心负责 需要翻墙，电脑端使用 没有固定充值要求，可充随意金额 平台使用方法和其他接码平台类似： 选择需要的接码项目-->获取手机号-->填入到你的项目-->等待接收短... | C: 数据 || 虚拟,"T: 博彩搭建，完整源码搭建博彩网站，60种接口游戏，AG,真人视讯，体育，彩票，棋牌，接口全部结好，直接运营版！ || 百家乐套利团队10年的经验带自动下注软件及方案 | D: 不管是什麼料站，料的價格都是跟質量成正比的，一條料的價格是由料的類型、新鮮度、等級和大概額度（信用卡是不可能知道準確額度）來決定的，所以不要一味的追求低價，如果是新手，建議購買亞洲國家和歐洲國家的料（例如台灣和日本料），項目不夠成熟的話，先不要碰美國料，不要問我為什麼，經驗而已 | C: 数据 || 服务",reviewed,uncertain,codex_conservative_boundary_review_20260421,codex_review: uncertain; overlap is review-relevant but not strong enough for a defensible positive/negative training label without direct identity closure.,positive_probe_high_semantic_high_structure,boundary_expansion|high_semantic_high_structure|zero_shot_bge,review_existing_pending_queue_row,positive_candidate,medium,core_zero_shot_bge_m3,0.56,0.741693,52,1,1,0.822744,0.674062,0.4,1.25875,1,0.181693
