balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes,positive_anchor_queue_rank,target_bucket,target_reason,target_action,suggested_label,suggested_confidence,anchor_token,anchor_type,anchor_frequency,anchor_evidence_level,left_anchor_context,right_anchor_context,source_existing_active_bool,source_existing_step4_bool,source_positive_component_id,source_positive_component_size,closure_source_pair_uids,candidate_language,data_bucket,seller_uid_left,seller_uid_right,alias_normalized_left,alias_normalized_right,item_count_left,item_count_right,shared_contact_count,shared_contact_types,shared_title_count,shared_description_count,shared_category_count,item_count_ratio,price_median_ratio,style_distance_l1,shared_pgp_fingerprint_count,pgp_alias_hit_count_left,pgp_alias_hit_count_right,candidate_rule_count
3869,identifier_primary,market_item.xlsx|中文暗网交易市场|seller_raw:636288||market_item.xlsx|中文暗网交易市场|seller_raw:636666,sockpuppet_primary,high,shared_contact_exact|structural_support|supplemental_contact_exact,8.441122,different_alias,true,中文暗网交易市场,中文暗网交易市场,636288,636666,email:shipeijie_001@163.com,,,数据资源,,0.088698,0.954467,T: 118W个人信息_四要素_社工库_姓名身份证手机号 || 最新女性数据7800条_女士数据_高学历 | D: 姓名 性别 身份证号 出生年月 电话 学历 家庭住址 封冬雪 女 340123199601163147 1996-01-16 180****6143 硕士研究生 安徽省合肥市瑶海区新蚌埠路徽州家园小区 尹琪 女 342601199206036229 1992-06-03 158****3016 硕士研究生 安徽省... | C: 数据资源,T: 30多万女性数据_女性数据_女士数据_个人信息 || 30多万女性数据_女性数据_女士数据_个人信息 | D: 一共8964条数据 绝大部分是湖北省的 姓名 证件号码 地区 电话 黄宇 女 42900519940819876X 湖北省省直辖县级行政单位潜江市 136****4418 黄雅丽 女 422823199512271146 湖北省恩施土家族苗族自治州巴东县 183****5370 胡柳 女 421181199508... | C: 数据资源,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; the shared token may come from product/victim-data text rather than seller-facing contact evidence.,1,rare_identity_with_text_overlap,positive_anchor_expansion|rare_identity_with_text_overlap,append_candidate_then_review,positive_candidate,medium,email:shipeijie_001@163.com,email,2,plain_email,32 本科 安徽省宣城市宣州区狸桥镇东云村 || 表格格式 序号 邮箱 姓名 年龄 身份证 手机号 107638416 shipeijie_001@163.com 史培杰 1984-03-01 370902198403264812 1|137****4415 105588298 w,ail 姓名 生日 身份证 手机 学历 收入 行业代码 工作时间 字段15 hangye memo 107638416 shipeijie_001@163.com 史培杰 1984-03-01 370902198403264812 1|137****4415 5 NULL NULL,0,0,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:636288,market_item.xlsx|中文暗网交易市场|seller_raw:636666,636288,636666,4,4,1,email,0,0,1,1.0,0.890805,0.145871,0,0,0,3
3857,identifier_primary,market_item.xlsx|中文暗网交易市场|seller_raw:556868||market_item.xlsx|茶马古道|seller_raw:/shop/6982,sockpuppet_primary,high,shared_contact_exact|supplemental_contact_exact,6.643928,different_alias,false,中文暗网交易市场,茶马古道,556868,/shop/6982,email:8268545@qq.com,,,,,0.025379,0.245827,T: 7亿2千万条_腾讯QQ手机号码绑定_社工库必备 || 3亿QQ数据含部分手机绑定 | D: 安能物流：55692166（条） 测试数据： 100005714921 已签收 2018-06-07 17:31:59 王红 18058255716 唐正金 安徽省滁州市全椒县南屏大道宝柿派出所 15695501088 配件 78.00 100005714945 已签收 2018-06-07 17:36:42 V... | C: 数据资源 || 私人专拍,T: 2000套中国kyc身份材料打包身份证正面+反面+本人手持身份证白纸 || 十万条信用卡数据 | D: 本贴介绍：1.出售数据的数据量 2.测试数据 3.反注册查询数据地址 1.数据量5.3万 2.直接给数据 直接去验证吧 施国英 320625196309042420 13912899438 35455.13 ****567890 海门解放东路证券营业部 陆文仙 330425197111093623 1342289... | C: 数据 || 服务,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared email may be copied customer/victim/product data rather than a seller identity anchor.,2,rare_identity_with_text_overlap,positive_anchor_expansion|rare_identity_with_text_overlap,append_candidate_then_review,positive_candidate,medium,email:8268545@qq.com,email,2,plain_email,--------------------------------------------- 历史泄露-测试数据： 吴健 8268545@qq.com 596088wu 140107198803284535 18636608658 TYwujian8268545 姜东旭,| 19830619 叶茂戌 330328198305305012 13989994900 历史泄露-测试数据： 吴健 8268545@qq.com 596088wu 140107198803284535 18636608658 TYwujian8268545 姜东旭,0,0,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:556868,market_item.xlsx|茶马古道|seller_raw:/shop/6982,556868,/shop/6982,8,38,1,email,0,0,0,0.210526,1.6e-05,0.454471,0,0,0,2
86,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:465763||market_item.xlsx|中文暗网交易市场|seller_raw:499990,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,13.12155,different_alias,true,中文暗网交易市场,中文暗网交易市场,465763,499990,,4月份网购数据打包低价出（自动发货） || 63万菠菜数据 可在线验证（自动发货）,数据平台包含 淘宝 拼多多 各大网购平台，其他平台不透露 数据格式如下： 李小荣 13734486518 2019-02-09 15:41:51 河北省沧州市任丘市吕公堡北罗村 冰丝加绒秋季高腰不起球大码女士外穿弹力休闲打底 踩脚黑色长裤子 圆通快递 804327894743393027 4月份的有600万左右，去重复后大概有3-4百万 || 数据平台包含 淘宝 拼多多 各大网购平台，其他平台不透露 数据格式如下： 李小荣 13734486518 2019-02-09 15:41:51 河北省沧州市任丘市吕公堡北罗村 冰丝加绒秋季高腰不起球大码女士外穿弹力休闲打底 踩脚黑色长裤子 圆通快递 804327894743393027 4月份的有600万左右，去重复后大概有3-4百万。具体数目没统计...,数据资源,,0.398559,0.865098,T: 中金在线股票证卷网站25万数据自动发货 || 23万棋牌数据 7月份出库（自动发货） | D: 数据平台包含 淘宝 拼多多 各大网购平台，其他平台不透露 数据格式如下： 李小荣 13734486518 2019-02-09 15:41:51 河北省沧州市任丘市吕公堡北罗村 冰丝加绒秋季高腰不起球大码女士外穿弹力休闲打底 踩脚黑色长裤子 圆通快递 804327894743393027 4月份的有600万左右，... | C: 数据资源,T: 证券股民5万股民 支持在线验证(自动发货） || 唯品会5月-8月网购数据10.8万条（自动发货） | D: 数据平台包含 淘宝 拼多多 各大网购平台，其他平台不透露 数据格式如下： 李小荣 13734486518 2019-02-09 15:41:51 河北省沧州市任丘市吕公堡北罗村 冰丝加绒秋季高腰不起球大码女士外穿弹力休闲打底 踩脚黑色长裤子 圆通快递 804327894743393027 4月份的有600万左右，... | C: 数据资源,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,3,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:5bc08.com,external_url,2,bare_domain,机号码去注册会显示存在的手机号码 不存在假的 不以质量问题退货，自动发货 购买后24小时内确认放款送3万股民数据 || 5bc08.com 彩票数据4.3万条 5月份拖库 数据格式如下： ak47ai 刘建伟 500 1 500 0 0 新会员层级 (1),-8月 非一手 各种类目网购数据 数据格式可看图片 下单后自动发货，打包价格158美金 扯皮者勿扰，保证真实数据 || 5bc08.com 彩票数据4.3万条 5月份拖库 数据格式如下： ak47ai 刘建伟 500 1 500 0 0 新会员层级 (1),1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:465763,market_item.xlsx|中文暗网交易市场|seller_raw:499990,465763,499990,17,10,0,,2,2,1,0.588235,0.885246,0.026178,0,0,0,4
137,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:562015||market_item.xlsx|茶马古道|seller_raw:/shop/414257,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,11.786804,different_alias,false,中文暗网交易市场,茶马古道,562015,/shop/414257,,拍拍贷豆豆钱捷信最新网贷贷款数据实时隔夜周内月内可验证,购买之前请先留言咨询，阐述自己的用途之类的，以免数据不合适影响效果，因为数据每天都更新，所以未设置自动发货 价格：【测试买1份】得500条（请先咨询后再拍，否则不发货） 数据易复制，拍后不接受任何理由的退款，介意者勿拍 || 拍拍贷最新网贷贷款数据，开发选择的都是移动的，因为客户定制的时候只要移动的发短信，全国地区屏蔽了（北京，上海，重庆，湖北，西藏，新疆，云南），请看清楚，这些是屏蔽地区，所以除开这些地区，其他全国地区的都有 || 因为客户现在没有继续在拿了，所以也停止了半个月时间没有做了，现在启动做数据来暗网出售，所出数据都是周内数据，电销效果可能不是很好，但是短信还是可以的，因为定制的客户也是发短信使用的,,,0.674569,0.369695,T: 拍拍贷豆豆钱捷信最新网贷贷款数据实时隔夜周内月内可验证 || 拍拍贷豆豆钱捷信最新网贷贷款数据实时隔夜周内月内可验证 | D: 因不想卖太多次而影响数据使用效果，所以价格稍有门槛，谢绝还价，先拍先用 价格：【买1份】得80W条（MEGA自动发货），24小时内放款送20W条（补发链接） ，总计100W条 价格：【买2份】得160W条，24小时内放款送40W条，总计200W条（80W条自动发货 ，其他补发链接） 以此类推 价格：【买6份】得6... | C: 数据资源 || 私人专拍,T: 拍拍贷豆豆钱捷信最新网贷贷款数据实时隔夜周内月内可验证 || 拍拍贷豆豆钱捷信最新网贷贷款数据实时隔夜周内月内可验证 | D: 德州扑克全新数据 数量：10万条+ 时间：21年2月2日提货数据 地址：前台地址拍下后自动发出前台地址和数据下载地址 注意：本数据清一色纯微信号数据，适合微信云控开发，微信号有少量电话，所有客户都为优质玩家，固定玩家，多次充值的平台维护客户，适合同类型游戏开发，市面没出过，这是第一次出，有稳定微信云控的可以直接拿货赚钱 | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,4,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:www.ppdai.com,external_url,2,plain_url,电销效果可能不是很好，但是短信还是可以的，因为定制的客户也是发短信使用的 || 备注：详细验证方法：打开怕拍贷官网首页（https://www.ppdai.com/），也可以百度拍拍贷自己找到官网，点击右上角登入/注册→点击免费注册→输入号码→点击密码输入的时候，您输入的号码上方会显,电销效果可能不是很好，但是短信还是可以的，因为定制的客户也是发短信使用的 || 备注：详细验证方法：打开怕拍贷官网首页（https://www.ppdai.com/），也可以百度拍拍贷自己找到官网，点击右上角登入/注册→点击免费注册→输入号码→点击密码输入的时候，您输入的号码上方会显,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:562015,market_item.xlsx|茶马古道|seller_raw:/shop/414257,562015,/shop/414257,3,2,0,,1,7,0,0.666667,4e-06,0.37578,0,0,0,3
170,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:596059||market_item.xlsx|茶马古道|seller_raw:/shop/446570,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,11.370136,different_alias,false,中文暗网交易市场,茶马古道,596059,/shop/446570,,最新出库凤凰棋牌25000条注册用户数据,最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据 || 最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据； 数据是通过技术手段监听短信验证码平台接口截获的； 数据格式为：手机号码|所在省|所在市|运营商； 数据非常精准，数据截图不遮不掩，请自行验证； 注：拍下后自动发货，用后觉得有效果可以留言长期合作。 ——————————————...,,,0.60538,0.368928,T: 最新出库凤凰棋牌25000条注册用户数据 || 最新出库凤凰棋牌25000条注册用户数据 | D: 最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据 | C: 数据资源,T: 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 || 最新出库凤凰棋牌25000条注册用户数据 | D: 最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据 | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,5,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:3376.com,external_url,2,bare_domain,库凤凰棋牌25000条注册用户数据 最新出库凤凰棋牌25000条注册用户数据 最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据 || 数据是通过技术手段监听短信验证码平台接口截获的,000条注册用户数据 || 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据 || 暗网首发 数据格式：账号|密码|用户等级|账号,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:596059,market_item.xlsx|茶马古道|seller_raw:/shop/446570,596059,/shop/446570,1,2,0,,1,2,0,0.5,9e-06,0.048595,0,0,0,3
200,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:605912||market_item.xlsx|茶马古道|seller_raw:/shop/446569,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,10.973382,different_alias,false,中文暗网交易市场,茶马古道,605912,/shop/446569,,最新脱库彩票数据34922条玩彩带网址可验证,最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|reg_ip|省份|城市|运营商 数据可以通过在线验证，在首页点击“注册”，在注册页面输入账号即可验证数据的真实性 稀缺资源，贵...,,,0.559926,0.306913,T: 最新脱库彩票数据34922条玩彩带网址可验证 || 最新脱库彩票数据34922条玩彩带网址可验证 | D: 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|reg_ip|省份|城市|运营商 数据可以通过在线验证，在首页点击“注册”，在注册页面输... | C: 数据资源,T: 最新稀缺实名彩票数据74922条_中彩网活跃玩家 || 最新脱库彩票数据16236条信彩带网址可验证 | D: 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|reg_ip|省份|城市|运营商 数据可以通过在线验证，在首页点击“注册”，在注册页面输... | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,6,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:wcai06.com,external_url,2,plain_url,最新脱库彩票数据34922条玩彩带网址可验证 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|,新稀缺实名彩票数据74922条_中彩网活跃玩家 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:605912,market_item.xlsx|茶马古道|seller_raw:/shop/446569,605912,/shop/446569,1,4,0,,1,1,0,0.25,2.4e-05,0.044744,0,0,0,3
221,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:605607||market_item.xlsx|茶马古道|seller_raw:/shop/446569,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,10.841056,different_alias,false,中文暗网交易市场,茶马古道,605607,/shop/446569,,最新脱库彩票数据16236条信彩带网址可验证,数据格式：账号|手机号码|电子邮箱|QQ|返点|余额|IP|所在地区 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号或者手机号即可验证数据的真实性 || 最新脱库彩票数据16236条信彩带网址可验证 信彩网https://xc832.com/，是以彩票为主的综合博彩平台 || 最新脱库彩票数据16236条信彩带网址可验证 信彩网https://xc832.com/，是以彩票为主的综合博彩平台。 一手数据，最新脱库共16236条。 数据格式：账号|手机号码|电子邮箱|QQ|返点|余额|IP|所在地区 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号或者手机号即可验证数据的真实性。 拍下MEGA网盘自动发货，虚拟...,,,0.537813,0.307089,T: 最新脱库彩票数据16236条信彩带网址可验证 || 最新脱库彩票数据16236条信彩带网址可验证 | D: 数据格式：账号|手机号码|电子邮箱|QQ|返点|余额|IP|所在地区 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号或者手机号即可验证数据的真实性 | C: 数据资源,T: 最新稀缺实名彩票数据74922条_中彩网活跃玩家 || 最新脱库彩票数据16236条信彩带网址可验证 | D: 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|reg_ip|省份|城市|运营商 数据可以通过在线验证，在首页点击“注册”，在注册页面输... | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,7,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:xc832.com,external_url,2,bare_domain,册页面输入账号或者手机号即可验证数据的真实性 || 最新脱库彩票数据16236条信彩带网址可验证 信彩网https://xc832.com/，是以彩票为主的综合博彩平台 || 拍下MEGA网盘自动发货，虚拟产品，拍下不接受退款 || 一手数据，最新脱库共16,电子邮箱和QQ只有少部分数据，其他字段都完整 || 最新脱库彩票数据16236条信彩带网址可验证 信彩网https://xc832.com/，是以彩票为主的综合博彩平台 || 需要验证请官网下载APP用手机号码进行反向注册验证（网页端不支持验证） || 也可,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:605607,market_item.xlsx|茶马古道|seller_raw:/shop/446569,605607,/shop/446569,1,4,0,,1,3,0,0.25,1.2e-05,0.043309,0,0,0,3
242,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:606038||market_item.xlsx|茶马古道|seller_raw:/shop/453234,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,10.595882,different_alias,false,中文暗网交易市场,茶马古道,606038,/shop/453234,,最新综合菠菜数据16759条盈丰国际带网址可验证,最新综合菠菜数据16759条盈丰国际带网址可验证 最新脱库盈丰国际娱乐城共16759条，网址：ys6699.com 格式：帐号|等级VIP|姓名|电话号码|电子邮箱|QQ|余额 数据保真，可登陆网站验证 精品数据，懂的老板来 拍下自动发货，数据具有可复制性，一经售出，概不退款 ———————————————————————— —————————————...,,,0.50248,0.290501,T: 最新综合菠菜数据16759条盈丰国际带网址可验证 || 最新综合菠菜数据16759条盈丰国际带网址可验证 | D: 最新综合菠菜数据16759条盈丰国际带网址可验证 最新脱库盈丰国际娱乐城共16759条，网址：ys6699.com 格式：帐号|等级VIP|姓名|电话号码|电子邮箱|QQ|余额 数据保真，可登陆网站验证 精品数据，懂的老板来 拍下自动发货，数据具有可复制性，一经售出，概不退款 ——————————————————... | C: 数据资源,T: 最新综合菠菜数据16759条盈丰国际带网址可验证 || 最新脱库博彩数据_39480条esball带网址可验证 | D: 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向... | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,8,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:ys6699.com,external_url,2,bare_domain,9条盈丰国际带网址可验证 最新综合菠菜数据16759条盈丰国际带网址可验证 最新脱库盈丰国际娱乐城共16759条，网址：ys6699.com 格式：帐号|等级VIP|姓名|电话号码|电子邮箱|QQ|余额 数据保真，可登陆网站验证 精品数据，懂的老板来 拍下自动,问清楚，拍下不退款 || 最新综合菠菜数据16759条盈丰国际带网址可验证 最新脱库盈丰国际娱乐城共16759条，网址：ys6699.com 格式：帐号|等级VIP|姓名|电话号码|电子邮箱|QQ|余额 数据保真，可登陆网站验证 精品数据，懂的老板来 拍下自动,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:606038,market_item.xlsx|茶马古道|seller_raw:/shop/453234,606038,/shop/453234,1,5,0,,1,1,0,0.2,1.5e-05,0.076018,0,0,0,3
245,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:605878||market_item.xlsx|茶马古道|seller_raw:/shop/446570,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,10.591242,different_alias,false,中文暗网交易市场,茶马古道,605878,/shop/446570,,一手棋牌数据_15wJJ比赛1月脱库含密码可验证,暗网首发 数据格式：账号|密码|用户等级|账号金币|当前经验值|手机号码|运营商|所在地区 数据真实 || 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 JJ比赛，网址：http://www.jj.cn，积分充值游戏平台，有斗地主、升级、麻将等棋牌游戏，捕鱼、消消乐等游戏 2021年1月最新脱库，共有15.5w条，一手数据，暗网首发 数据格式：账号|密码|用户等级|账号金币|当前经验值|手机号码|运营商|所在地区 数据真实，可以通过注册页反向注册验证，在...,,,0.475563,0.368932,T: 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 || 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 | D: 暗网首发 数据格式：账号|密码|用户等级|账号金币|当前经验值|手机号码|运营商|所在地区 数据真实 | C: 数据资源,T: 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 || 最新出库凤凰棋牌25000条注册用户数据 | D: 最新出库凤凰棋牌25000条注册用户数据 3376.com凤凰棋牌，平台正常运营中，可用手机浏览器打开网址下载app验证数据 | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,9,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:www.jj.cn,external_url,5,plain_url,可用于撞库 低价打包出 || 先拍先得 拍下自动发货 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 JJ比赛，网址：http://www.jj.cn，积分充值游戏平台，有斗地主、升级、麻将等棋牌游戏，捕鱼、消消乐等游戏 2021年1月最新脱库，共有15.5w条，一手数,——————————————————————— || 一手棋牌数据_15wJJ比赛1月脱库含密码可验证 JJ比赛，网址：http://www.jj.cn，积分充值游戏平台，有斗地主、升级、麻将等棋牌游戏，捕鱼、消消乐等游戏 2021年1月最新脱库，共有15.5w条，一手数,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:605878,market_item.xlsx|茶马古道|seller_raw:/shop/446570,605878,/shop/446570,1,2,0,,1,2,0,0.5,2.8e-05,0.048597,0,0,0,3
269,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:605928||market_item.xlsx|茶马古道|seller_raw:/shop/453234,sockpuppet_primary,medium,profile_lexical_neighbor|shared_description_clone|shared_title_clone,10.35385,different_alias,false,中文暗网交易市场,茶马古道,605928,/shop/453234,,综合菠菜_20285条姚记娱乐城带网址可验证,综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向验证 数据自动发货，拍下即时发货，一经售... || 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向验证 数据自动发货，拍下即时发货，一经售...,,,0.460944,0.294093,T: 综合菠菜_20285条姚记娱乐城带网址可验证 || 综合菠菜_20285条姚记娱乐城带网址可验证 | D: 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向... | C: 数据资源,T: 最新综合菠菜数据16759条盈丰国际带网址可验证 || 最新脱库博彩数据_39480条esball带网址可验证 | D: 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向... | C: 数据,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared URL appears compatible with product/data content rather than seller-operated identity infrastructure.,10,rare_external_url_with_text_overlap,positive_anchor_expansion|rare_external_url_with_text_overlap,review_existing_pending_queue_row,positive_candidate,low,external_url:yj0666.com,external_url,3,plain_url,菜_20285条姚记娱乐城带网址可验证 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话,365亚洲版21410条博彩数据可验证 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话,1,1,,,,zh,zh_target_strict,market_item.xlsx|中文暗网交易市场|seller_raw:605928,market_item.xlsx|茶马古道|seller_raw:/shop/453234,605928,/shop/453234,1,5,0,,1,2,0,0.2,1.5e-05,0.047287,0,0,0,3
