balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes,target_bucket,target_reason,source_step11_cluster_rank,source_step11_cluster_id,source_step11_prob_positive,source_step11_graph_primary_threshold,source_step11_scorer_token,suggested_label,suggested_confidence,existing_boundary_source,existing_review_status,existing_review_label,existing_reviewer_id,existing_review_notes,target_action
1,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:347765||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.609019,different_alias,false,中文暗网交易市场,茶马古道,347765,/shop/2417,,,shared_description_count_capped=1,,,0.268645,0.367285,T: 1200RMB出银行卡四件套绝对一手货源质保60天可定制 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) 价格1200RMB（标价15美元折合人民币100元） || 实名手机卡也可以指定运营商(会预留五十话费) 银行卡质保60天 | C: 实体物品,T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.609019,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v2_cleanup_20260415,"Step 5 v2 targeted cleanup: retained in the final Step 11 four-piece template clique, but cross-market with no shared contact anchor. Treat as a template-copy uncertainty rather than supervision.",rereview_existing_frozen_label
2,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:506844||market_item.xlsx|茶马古道|seller_raw:/shop/8264,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.606606,different_alias,false,中文暗网交易市场,茶马古道,506844,/shop/8264,,,shared_description_count_capped=2,,,0.0,0.176003,T: 一手资源银行卡全套自己工厂工人开的900RMB整套 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 || 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 | C: 实体物品,"T: 1000四件套。洗钱专业黑卡，一手开卡渠道，开卡源可控，无条件售后两个月 || 服务器渗透/挂马 域名劫持（境外博彩网站） DDOS攻击 黑产中最大暴利 || 实力付定金500验货,银行卡四件套 大学生开户 当天开户当天寄 | D: 售后：保卡2W额度 货到你手保2个半月 保质期间任何情况无条件更换货物 货源全部新开户无任何第三方 货源：本团队对接公司渠道 学生渠道 月出900 保质保量 主打批量老板 本单不支持还价，真心团队求真心老板，鸽子勿扰 注意：标准四件套的请直接拍下，本人每天都会上线，拍下隔天发货，国外的老板请联系国内中转站，货直发中转站，所有货物默认顺丰，拍下隔天发货，请及时放币 注：购买的老总们都知道，资金快进快去，不要把余额停留在卡内 || 誓做暗网四件套第一诚信四件套商家 长期生意 不搞坑蒙拐骗 可看我其他的帖子评价 口... | C: 四件套号卡 || 实物 || 数据",reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.606606,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v2_cleanup_20260415,"Step 5 v2 targeted cleanup: retained in the final Step 11 four-piece template clique, but cross-market with no shared contact anchor. Keep out of supervision until business review establishes a same-controller claim.",rereview_existing_frozen_label
3,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:528850||market_item.xlsx|茶马古道|seller_raw:/shop/8264,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.594729,different_alias,false,中文暗网交易市场,茶马古道,528850,/shop/8264,,,shared_description_count_capped=1,,,0.0,0.230117,T: 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 || 一手全新银行卡无记录1200顺丰送货到家 || 一手银行卡全新无记录1200顺丰送到家 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租300每月 || (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租500每月 | C: 实体物品,"T: 1000四件套。洗钱专业黑卡，一手开卡渠道，开卡源可控，无条件售后两个月 || 服务器渗透/挂马 域名劫持（境外博彩网站） DDOS攻击 黑产中最大暴利 || 实力付定金500验货,银行卡四件套 大学生开户 当天开户当天寄 | D: 售后：保卡2W额度 货到你手保2个半月 保质期间任何情况无条件更换货物 货源全部新开户无任何第三方 货源：本团队对接公司渠道 学生渠道 月出900 保质保量 主打批量老板 本单不支持还价，真心团队求真心老板，鸽子勿扰 注意：标准四件套的请直接拍下，本人每天都会上线，拍下隔天发货，国外的老板请联系国内中转站，货直发中转站，所有货物默认顺丰，拍下隔天发货，请及时放币 注：购买的老总们都知道，资金快进快去，不要把余额停留在卡内 || 誓做暗网四件套第一诚信四件套商家 长期生意 不搞坑蒙拐骗 可看我其他的帖子评价 口... | C: 四件套号卡 || 实物 || 数据",reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.594729,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
4,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:50649||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.593958,different_alias,false,中文暗网交易市场,茶马古道,50649,/shop/2417,,,shared_description_count_capped=1,,,0.0,0.367719,T: 支付宝 微信账号 已实名 已过人脸 出货急速 || 洗钱 洗币 收款套餐 火币网+支付宝+微信 || 1600￥ 四件套/本人亲自带队(可定制各种服务） | D: 【火币账号价格】450元/个，高级认证账号，过人脸 【支付宝号价格】450元/个，实名过人脸 【微信号号价格】450元/个，实名过人脸 【套餐1价格】1000元，火币号+支付宝号，两号实名相同 【套餐2价格】1000元，火币号+微信账号，两号实名相同 【套餐3价格】1500元，火币号+支付宝号+微信号，三号实名相同（大力推荐） 标价一美金，为方便客户直接购买 || 一套包含如下内容： - 1张身份证正反照片（复印件，扫描件均可） 注：不备注，默认发复印件 - 1张银行卡，可指定开通哪家银行 - 1张手机卡，可... | C: 虚拟物品 || 实体物品,T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.593958,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v2_cleanup_20260415,"Step 5 v2 targeted cleanup: retained in the final Step 11 four-piece template clique, but cross-market with no shared contact anchor. This edge sits near the template family and should stay outside supervision.",rereview_existing_frozen_label
5,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:238938||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.593222,different_alias,false,中文暗网交易市场,茶马古道,238938,/shop/2417,,,shared_description_count_capped=2,,,0.0,0.491503,"T: 1800 四件套。洗钱专业黑卡，一手开卡渠道，开卡源可控，无条件售后两个月 || 专业团队代办四件套,为你解决一切安全隐患和后顾之忧。 | D: 1.标准四件套：银行卡+身份证正反面照片+实名预留手机卡+U盾或者密码器 价格：普通四件套1800元/套 （拍18件商品） 2.需要认证支付宝或微信的每样加200（加拍2件商品） 3.需要高级火币网认证加300（加拍3样商品） 4.开通国际漫游的加100 （加拍1件商品） 5.微信加一件商品加100（加拍一件商品） [售后] 1.所有出售的商品售后服务期为60天 || 或者 密码器一个 价格说明： -1800元 一套，购买请拍18份数. 火币号加3份，300一个 支付宝加2份，200一个 微信加2份， 200... | C: 实体物品",T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.593222,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v2_cleanup_20260415,"Step 5 v2 targeted cleanup: retained in the final Step 11 four-piece template clique, but cross-market with no shared contact anchor. Do not freeze as positive or negative at this stage.",rereview_existing_frozen_label
6,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:331162||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.58952,different_alias,false,中文暗网交易市场,茶马古道,331162,/shop/2417,,,shared_description_count_capped=1,,,0.173256,0.367557,T: 1500R出最稳四件套，一手开卡 各种定制！！！！！保质期两个月！ | D: 2.银行可以指定(指定银行暂只支持 中，农，建，工，邮政，信用社，交通，中信)，实名手机卡也可以指定运营商 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器 [价格] 1500元 一套，购买请拍15份 | C: 实体物品,T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.58952,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v2_cleanup_20260415,"Step 5 v2 targeted cleanup: retained in the final Step 11 four-piece template clique, but cross-market with no shared contact anchor. Dense template-copy evidence alone is not enough to freeze as a positive.",rereview_existing_frozen_label
7,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:493430||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.585588,different_alias,false,中文暗网交易市场,茶马古道,493430,/shop/2417,,,shared_description_count_capped=1,,,0.192345,0.365367,"T: 1500RMB四件套一手渠道可定制可压人在校学生卡懂的来 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格1500RMB（标价14美元折合人民币100元） 如果需要我这边注册好支付宝或微信,交易所，请多拍2份， 如需开通国际漫游 请多拍1份， 可以指定银行开卡,实名手机卡也可以指定运营商(会预留五十话费) 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，开卡人都是学生，随时都能找到本人，所以卡内资金无需担心 || 如果出现盗卡内资金全程负责找到本人追回资金72小时内没追回资金，本人全额赔偿 | C: 实体物品",T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.585588,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v2_cleanup_20260415,"Step 5 v2 targeted cleanup: retained in the final Step 11 four-piece template clique, but cross-market with no shared contact anchor. Keep as uncertain pending deeper business verification.",rereview_existing_frozen_label
8,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:117631||market_item.xlsx|中文暗网交易市场|seller_raw:506844,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.617747,different_alias,true,中文暗网交易市场,中文暗网交易市场,117631,506844,,,shared_description_count_capped=1,profile_category_jaccard=0.25,,0.0,0.31057,T: 2000R出最稳四件套，对公账户，一手开卡 ，交易所实名，微信支付宝可绑 || 十四个裸条女，都是本人私放的，带资料，可操作空间很大 || 出亿信云审核后台账号一个，一共三百多条客户数据。 | D: 三百多条数据，其中九十八条客户未提交只能看见姓名 手机号 身份证号 其余两百多条都能看见客户全部资料包含姓名 身份证号 QQ 号微信号 银行卡号 银行卡预留手机号码 身份证正反加手持 淘宝购物记录加收货地址 运营商详单和通讯录 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) [价格] 2000元 一套，购买请拍20份 | C: 实体物品 || 技术技能 || 数据资源,T: 一手资源银行卡全套自己工厂工人开的900RMB整套 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 || 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 | C: 实体物品,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.617747,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
9,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:528850||market_item.xlsx|中文暗网交易市场|seller_raw:563186,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.608483,different_alias,true,中文暗网交易市场,中文暗网交易市场,528850,563186,,,shared_description_count_capped=1,profile_category_jaccard=1.0,,0.31953,0.550012,T: 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 || 一手全新银行卡无记录1200顺丰送货到家 || 一手银行卡全新无记录1200顺丰送到家 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租300每月 || (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租500每月 | C: 实体物品,T: 1000RMB出售一手银行卡四件套全网最低价 | D: 商品：四件套有：身份证复印件或者照片，银行卡，手机号码卡，U盾 15美元/份=100元人民币，要几份就拍几个 四件套盾卡：银行卡+手机卡+U盾+身份证照片或者复印件=1000元 拍10个 一手卡源，小白开卡，安全放心，全新开户没交易记录 || 质量有保证（不会出现黑吃黑，取现，网银转账） 发货：拍下后请留下收货地址和联系方式，一般当天中午十二点前下单当天发，十二点过后下单隔天发 | C: 实体物品,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.608483,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
10,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:506844||market_item.xlsx|中文暗网交易市场|seller_raw:528850,sockpuppet_primary,high,step11_cluster1_v3|fourpiece_template_clique_representative,0.607773,different_alias,true,中文暗网交易市场,中文暗网交易市场,506844,528850,,,shared_description_count_capped=4,profile_category_jaccard=1.0,,0.151999,0.78378,T: 一手资源银行卡全套自己工厂工人开的900RMB整套 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 || 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 | C: 实体物品,T: 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 || 一手全新银行卡无记录1200顺丰送货到家 || 一手银行卡全新无记录1200顺丰送到家 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租300每月 || (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租500每月 | C: 实体物品,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",cluster1_fourpiece_template_clique,step11_cluster1_v3|fourpiece_template_clique_representative,1,zh_target_strict_core_few_shot_bge_m3_ratio_10pct_seed_20260320_thr_0457259_c0001,0.607773,0.457259,core_few_shot_bge_m3_ratio_10pct_seed_20260320,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
