balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes,target_bucket,target_reason,source_step11_cluster_rank,source_step11_cluster_id,source_step11_prob_positive,source_step11_graph_primary_threshold,source_step11_scorer_token,suggested_label,suggested_confidence,existing_boundary_source,existing_review_status,existing_review_label,existing_reviewer_id,existing_review_notes,target_action
1,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/5592,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.727433,different_alias,true,茶马古道,茶马古道,/shop/449035,/shop/5592,,,shared_description_count_capped=3,profile_category_jaccard=0.6,,0.0,0.725868,"T: 2020 超实用网页机器人工具 自动点击 自动填写 高效稳定 || 2020最新千万条真实浏览器UA出售!!!配合911工具,搭建真实环境 || 2021最新邮件群发软件 高效 稳定 购买后找我要激活码@brofish8 | D: 2021综合博彩_24785条金沙娱乐城带网址可验证 2021年1月脱库金沙娱乐城，网址：5312u.com，24785条 数据格式：account|full_name|phone|balance|reg_ip|address 数据可在线验证，保真不保效果，拍下自动发货 数量不多，稀缺资源，贵在真实 数据具有可复制性，一经售出，概不退款 || 此商品价格包含软件+激活码 注意：激活码绑定设备，所以不能多台电脑公用一个激活码 | C: 数据 || 技术 || 其它 | Contact: telegram:brofish8","T: (小白到大神）1740G实用零基础渗透教程+黑客资料（实战视频PPT资料）附送工具包 || 暗网市场网址清单，可信赖的市场清单，骗子网站清单,CVV实物通道等等，提供更新服务 || 全网最新最全的过人脸认证，挺火的过APP人脸CrazyTalk教程，白菜价格放送，赠送高清私房课！ | D: 本资源包括（星天乐最新教程+集成系统、拿破仑教程、北美华人团队J3教程、CC国际CPA【内部课程】）共27.57G 系统 ：用VM虚拟机直接导入，里面软件工具 通道、cvv料站、等等都是齐全的，对照教程直接操作就可以 大小18+G || 第三：骗子和钓鱼网站清单 第四：提供一些CVV实物通道，一些可以刷卡的网站 第五：提供一个基于可信赖的大型综合市场的卖家信用查询网站，可以在此网站查询一些卖家信誉情况 | C: 技术 || 数据 || 虚拟",reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.727433,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
2,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/461222||market_item.xlsx|茶马古道|seller_raw:/shop/5592,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.727433,different_alias,true,茶马古道,茶马古道,/shop/461222,/shop/5592,,,shared_description_count_capped=1,profile_category_jaccard=0.4,,0.0,0.593565,T: 2021最新邮件群发软件 高效 稳定 购买后找我要激活码@brofish8 || 最新，最全面，挑选最好看的裸贷女。包含联系方式。 || 企业邮局出租 域名随机 邮件营销必备 | D: 亚马逊购买者邮箱，附带抓取地址，都是真实购买者，可群发做营销 钓鱼等等自己开发 || 此商品价格包含软件+激活码 注意：激活码绑定设备，所以不能多台电脑公用一个激活码 | C: 数据 || 技术 || 洗车精洗 | Contact: telegram:brofish8,"T: (小白到大神）1740G实用零基础渗透教程+黑客资料（实战视频PPT资料）附送工具包 || 暗网市场网址清单，可信赖的市场清单，骗子网站清单,CVV实物通道等等，提供更新服务 || 全网最新最全的过人脸认证，挺火的过APP人脸CrazyTalk教程，白菜价格放送，赠送高清私房课！ | D: 本资源包括（星天乐最新教程+集成系统、拿破仑教程、北美华人团队J3教程、CC国际CPA【内部课程】）共27.57G 系统 ：用VM虚拟机直接导入，里面软件工具 通道、cvv料站、等等都是齐全的，对照教程直接操作就可以 大小18+G || 第三：骗子和钓鱼网站清单 第四：提供一些CVV实物通道，一些可以刷卡的网站 第五：提供一个基于可信赖的大型综合市场的卖家信用查询网站，可以在此网站查询一些卖家信誉情况 | C: 技术 || 数据 || 虚拟",reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.727433,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
3,text_clone_primary,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/453234,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.678179,different_alias,true,茶马古道,茶马古道,/shop/449035,/shop/453234,,,shared_description_count_capped=1,profile_category_jaccard=0.25,,0.0,0.370375,"T: 2020 超实用网页机器人工具 自动点击 自动填写 高效稳定 || 2020最新千万条真实浏览器UA出售!!!配合911工具,搭建真实环境 || 2021最新邮件群发软件 高效 稳定 购买后找我要激活码@brofish8 | D: 2021综合博彩_24785条金沙娱乐城带网址可验证 2021年1月脱库金沙娱乐城，网址：5312u.com，24785条 数据格式：account|full_name|phone|balance|reg_ip|address 数据可在线验证，保真不保效果，拍下自动发货 数量不多，稀缺资源，贵在真实 数据具有可复制性，一经售出，概不退款 || 此商品价格包含软件+激活码 注意：激活码绑定设备，所以不能多台电脑公用一个激活码 | C: 数据 || 技术 || 其它 | Contact: telegram:brofish8",T: 最新综合菠菜数据16759条盈丰国际带网址可验证 || 2021综合博彩_24785条金沙娱乐城带网址可验证 || 综合菠菜_20285条姚记娱乐城带网址可验证 | D: 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向验证 数据自动发货，拍下即时发货，一经售出，概不退款 || 最新脱库bet365亚洲版21410条博彩数据可验证 bet365欧洲著名博彩平台，运营20多年的实力见证，网址：365-288.com 刚... | C: 数据,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.678179,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
4,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:149940||market_item.xlsx|中文暗网交易市场|seller_raw:605912,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.638238,different_alias,true,中文暗网交易市场,中文暗网交易市场,149940,605912,,,,profile_category_jaccard=1.0,,0.204315,0.687552,T: 2020年一季度_博彩数据_9830条_众发娱乐最新脱库带网址可验证 || 博彩数据2019-3月bc数据合集 自动发货 | D: 数据格式：账号|手机号码|电子邮箱|Q Q|IP|所在地区|返点|余额 除了电子邮箱和QQ只有少部分数据，其他字段都完整 || 数据可以通过在线验证，在首页点击“免费注册” 在注册页面输入账号，系统提示“用户名已存在” | C: 数据资源,T: 最新脱库彩票数据34922条玩彩带网址可验证 | D: 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|reg_ip|省份|城市|运营商 数据可以通过在线验证，在首页点击“注册”，在注册页面输入账号即可验证数据的真实性 稀缺资源，贵在真实，一分钱一分货，不议价，懂的老板来 拍下MEGA网盘自动发货，虚拟产品，拍下不接受退款 | C: 数据资源,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.638238,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
5,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:596096||market_item.xlsx|中文暗网交易市场|seller_raw:605912,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.610486,different_alias,true,中文暗网交易市场,中文暗网交易市场,596096,605912,,,,profile_category_jaccard=1.0,,0.447433,0.885099,T: 2021最新脱库彩票数据12560条杏彩168可验证 | D: 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号即可验证数据的真实性 || 数据格式：账号|手机号码|QQ|余额|IP|所在地区 除了电子邮箱和QQ只有少部分数据，其他字段都完整 | C: 数据资源,T: 最新脱库彩票数据34922条玩彩带网址可验证 | D: 最新脱库彩票数据34922条玩彩带网址可验证 外围彩票平台，玩彩，网址：http://wcai06.com，新脱库34922条 数据格式：user_id|account|password|full_name|phone|qq|reg_ip|省份|城市|运营商 数据可以通过在线验证，在首页点击“注册”，在注册页面输入账号即可验证数据的真实性 稀缺资源，贵在真实，一分钱一分货，不议价，懂的老板来 拍下MEGA网盘自动发货，虚拟产品，拍下不接受退款 | C: 数据资源,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.610486,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
6,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:603737||market_item.xlsx|茶马古道|seller_raw:/shop/453234,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.606565,different_alias,false,中文暗网交易市场,茶马古道,603737,/shop/453234,,shared_title_count_capped=1,shared_description_count_capped=2,,,0.31108,0.293184,T: 最新脱库博彩数据_39480条esball带网址可验证 | D: 最新脱库博彩数据_39480条esball带网址可验证 最新脱库老牌娱乐城esball，网址：esb1788.org，共39480条 格式：账号|姓名|手机号码|电子邮箱|QQ|余额|存款总额|提款总额|状态 数据保真，可登陆网站反向注册验证，都是平台的活跃用户，非常稀缺 懂的老板来，中介屌丝请绕道 | C: 数据资源,T: 最新综合菠菜数据16759条盈丰国际带网址可验证 || 2021综合博彩_24785条金沙娱乐城带网址可验证 || 综合菠菜_20285条姚记娱乐城带网址可验证 | D: 综合菠菜_20285条姚记娱乐城带网址可验证 老牌实力菠菜平台姚记娱乐城，网址：https://yj0666.com 最新脱库数据20285条，数量不多，但属精品 数据格式：帐号|姓名|余额|存款次数|提款次数|存款总数|提款总数|电话号码|运营商|电子邮箱|QQ|省份|城市 数据保真，可以自行登陆网站注册页反向验证 数据自动发货，拍下即时发货，一经售出，概不退款 || 最新脱库bet365亚洲版21410条博彩数据可验证 bet365欧洲著名博彩平台，运营20多年的实力见证，网址：365-288.com 刚... | C: 数据,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.606565,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
7,semantic_structural,market_item.xlsx|茶马古道|seller_raw:/shop/432473||market_item.xlsx|茶马古道|seller_raw:/shop/436862,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.601213,different_alias,true,茶马古道,茶马古道,/shop/432473,/shop/436862,,,,profile_category_jaccard=1.0,,0.271927,0.606952,"T: 北上广深高尔夫会员信息17W高端人群 || 祥游棋牌156000今年新数据菠菜博彩 || 股票雪球网股民12万条今年新上 | D: 北上广深高尔夫会员信息 17.9万条会员各种信息，非常详细 具体内容格式： 会员卡级别-姓名-性别-会员生日-会员身份-喜欢的运动-喜欢的社交方式-喜欢的活动形式- 平时闲暇时间-打高尔夫球的目的-加入球会渠道-消费积分-手机-会员地址 参考附图 高端优质人群，消费能力强，适合多种用途开发 自动发货 || 今年新出的12万条雪球网股民数据 雪球网是炒股知名度最大的社区平台之一 姓名,性别,手机号,持股前1,持股前2,持股前3,持股数,交易风格,身份证,省份,地区,邮箱 数据有12万多条，拍下后，全部自动发货... | C: 数据",T: 受私拍私拍私拍私拍私拍 | D: 私拍私拍私拍私拍私拍私拍 | C: 数据,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.601213,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
8,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:149940||market_item.xlsx|中文暗网交易市场|seller_raw:596096,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.592568,different_alias,true,中文暗网交易市场,中文暗网交易市场,149940,596096,,,,profile_category_jaccard=1.0,,0.331744,0.751636,T: 2020年一季度_博彩数据_9830条_众发娱乐最新脱库带网址可验证 || 博彩数据2019-3月bc数据合集 自动发货 | D: 数据格式：账号|手机号码|电子邮箱|Q Q|IP|所在地区|返点|余额 除了电子邮箱和QQ只有少部分数据，其他字段都完整 || 数据可以通过在线验证，在首页点击“免费注册” 在注册页面输入账号，系统提示“用户名已存在” | C: 数据资源,T: 2021最新脱库彩票数据12560条杏彩168可验证 | D: 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号即可验证数据的真实性 || 数据格式：账号|手机号码|QQ|余额|IP|所在地区 除了电子邮箱和QQ只有少部分数据，其他字段都完整 | C: 数据资源,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.592568,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
9,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:596096||market_item.xlsx|中文暗网交易市场|seller_raw:605607,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.592568,different_alias,true,中文暗网交易市场,中文暗网交易市场,596096,605607,,,,profile_category_jaccard=1.0,,0.46149,0.963772,T: 2021最新脱库彩票数据12560条杏彩168可验证 | D: 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号即可验证数据的真实性 || 数据格式：账号|手机号码|QQ|余额|IP|所在地区 除了电子邮箱和QQ只有少部分数据，其他字段都完整 | C: 数据资源,T: 最新脱库彩票数据16236条信彩带网址可验证 | D: 数据格式：账号|手机号码|电子邮箱|QQ|返点|余额|IP|所在地区 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号或者手机号即可验证数据的真实性 || 最新脱库彩票数据16236条信彩带网址可验证 信彩网https://xc832.com/，是以彩票为主的综合博彩平台 | C: 数据资源,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.592568,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
10,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:603737||market_item.xlsx|中文暗网交易市场|seller_raw:605607,sockpuppet_primary,high,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,0.592568,different_alias,true,中文暗网交易市场,中文暗网交易市场,603737,605607,,,,profile_category_jaccard=1.0,,0.170115,0.855965,T: 最新脱库博彩数据_39480条esball带网址可验证 | D: 最新脱库博彩数据_39480条esball带网址可验证 最新脱库老牌娱乐城esball，网址：esb1788.org，共39480条 格式：账号|姓名|手机号码|电子邮箱|QQ|余额|存款总额|提款总额|状态 数据保真，可登陆网站反向注册验证，都是平台的活跃用户，非常稀缺 懂的老板来，中介屌丝请绕道 | C: 数据资源,T: 最新脱库彩票数据16236条信彩带网址可验证 | D: 数据格式：账号|手机号码|电子邮箱|QQ|返点|余额|IP|所在地区 数据可以通过在线验证，在首页点击“免费注册”，在注册页面输入账号或者手机号即可验证数据的真实性 || 最新脱库彩票数据16236条信彩带网址可验证 信彩网https://xc832.com/，是以彩票为主的综合博彩平台 | C: 数据资源,reviewed,negative,codex_step5_v3_corrected_cleanup_20260420,"Corrected Step 5 v3 cleanup: calibrated-BGE data/betting/resource-package clique with no shared contact or PGP anchor. The overlaps are public data/resource listings and formulaic resale copy, including copied dataset descriptions, not seller-specific identity evidence. Freeze as template/resource-package false-positive negatives.",cluster1_data_betting_template_clique,step11_calibrated_bge_cluster1_v3|data_betting_template_clique,1,zh_target_strict_core_calibrated_bge_m3_thr_0500000_c0001,0.592568,0.5,core_calibrated_bge_m3,negative_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
