balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes,target_bucket,target_reason,source_step11_cluster_rank,source_step11_cluster_id,source_step11_prob_positive,source_step11_graph_primary_threshold,source_step11_scorer_token,suggested_label,suggested_confidence,existing_boundary_source,existing_review_status,existing_review_label,existing_reviewer_id,existing_review_notes,target_action
1,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:238938||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.893808,different_alias,false,中文暗网交易市场,茶马古道,238938,/shop/2417,,,shared_description_count_capped=2,,,0.0,0.491503,"T: 1800 四件套。洗钱专业黑卡，一手开卡渠道，开卡源可控，无条件售后两个月 || 专业团队代办四件套,为你解决一切安全隐患和后顾之忧。 | D: 1.标准四件套：银行卡+身份证正反面照片+实名预留手机卡+U盾或者密码器 价格：普通四件套1800元/套 （拍18件商品） 2.需要认证支付宝或微信的每样加200（加拍2件商品） 3.需要高级火币网认证加300（加拍3样商品） 4.开通国际漫游的加100 （加拍1件商品） 5.微信加一件商品加100（加拍一件商品） [售后] 1.所有出售的商品售后服务期为60天 || 或者 密码器一个 价格说明： -1800元 一套，购买请拍18份数. 火币号加3份，300一个 支付宝加2份，200一个 微信加2份， 200... | C: 实体物品",T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.893808,0.8,core_calibrated_default,uncertain_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",rereview_existing_frozen_label
2,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:354172||market_item.xlsx|中文暗网交易市场|seller_raw:506844,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.880888,different_alias,true,中文暗网交易市场,中文暗网交易市场,354172,506844,,,shared_description_count_capped=2,profile_category_jaccard=0.5,,0.0,0.517726,"T: 火币,okex,可盈可乐,otcbtc等交易所高级实名认证 || 完美四件套1500，一手开卡，可定制，质保60天 | D: (不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) 标价为15美元折合人民币100元 纯四件套请拍15份 需绑定支付宝过人脸加拍4份 需交易所高级实名认证加拍5份(交易所任选一个) 可指定银行指定运营商 质保两个月过后如还需要的话可续租7份每月 || 附送身份证正反面照片和手持身份证照片 一般2个小时左右搞定 因为需要随时接验证码，请安排好时间 使用中遇到风控可付费找到实名人刷人脸 需要准备资料：注册好的账号，最好用手机号注册 也可代为注册... | C: 实体物品 || 虚拟物品",T: 一手资源银行卡全套自己工厂工人开的900RMB整套 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 || 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 | C: 实体物品,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.880888,0.8,core_calibrated_default,uncertain_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
3,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:117631||market_item.xlsx|中文暗网交易市场|seller_raw:354172,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.86993,different_alias,true,中文暗网交易市场,中文暗网交易市场,117631,354172,,,shared_description_count_capped=1,profile_category_jaccard=0.5,,0.0,0.676983,T: 2000R出最稳四件套，对公账户，一手开卡 ，交易所实名，微信支付宝可绑 || 十四个裸条女，都是本人私放的，带资料，可操作空间很大 || 出亿信云审核后台账号一个，一共三百多条客户数据。 | D: 三百多条数据，其中九十八条客户未提交只能看见姓名 手机号 身份证号 其余两百多条都能看见客户全部资料包含姓名 身份证号 QQ 号微信号 银行卡号 银行卡预留手机号码 身份证正反加手持 淘宝购物记录加收货地址 运营商详单和通讯录 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) [价格] 2000元 一套，购买请拍20份 | C: 实体物品 || 技术技能 || 数据资源,"T: 火币,okex,可盈可乐,otcbtc等交易所高级实名认证 || 完美四件套1500，一手开卡，可定制，质保60天 | D: (不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) 标价为15美元折合人民币100元 纯四件套请拍15份 需绑定支付宝过人脸加拍4份 需交易所高级实名认证加拍5份(交易所任选一个) 可指定银行指定运营商 质保两个月过后如还需要的话可续租7份每月 || 附送身份证正反面照片和手持身份证照片 一般2个小时左右搞定 因为需要随时接验证码，请安排好时间 使用中遇到风控可付费找到实名人刷人脸 需要准备资料：注册好的账号，最好用手机号注册 也可代为注册... | C: 实体物品 || 虚拟物品",reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.86993,0.8,core_calibrated_default,uncertain_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
4,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:331162||market_item.xlsx|中文暗网交易市场|seller_raw:506844,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.866848,different_alias,true,中文暗网交易市场,中文暗网交易市场,331162,506844,,,shared_description_count_capped=1,profile_category_jaccard=1.0,,0.0,0.583638,T: 1500R出最稳四件套，一手开卡 各种定制！！！！！保质期两个月！ | D: 2.银行可以指定(指定银行暂只支持 中，农，建，工，邮政，信用社，交通，中信)，实名手机卡也可以指定运营商 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器 [价格] 1500元 一套，购买请拍15份 | C: 实体物品,T: 一手资源银行卡全套自己工厂工人开的900RMB整套 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 || 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 | C: 实体物品,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.866848,0.8,core_calibrated_default,uncertain_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",rereview_existing_frozen_label
5,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:331162||market_item.xlsx|茶马古道|seller_raw:/shop/2417,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.862211,different_alias,false,中文暗网交易市场,茶马古道,331162,/shop/2417,,,shared_description_count_capped=1,,,0.173256,0.367557,T: 1500R出最稳四件套，一手开卡 各种定制！！！！！保质期两个月！ | D: 2.银行可以指定(指定银行暂只支持 中，农，建，工，邮政，信用社，交通，中信)，实名手机卡也可以指定运营商 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器 [价格] 1500元 一套，购买请拍15份 | C: 实体物品,T: 900RMB出银行卡四件套绝对一手货源质保60天可定制 || 900最后一批，银行卡四件套，一手货源，大量现货 | D: 商品包括：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器 价格900RMB 如需开通国际漫游 可以指定银行开卡(指定银行暂只支持中，农，建，工，交通，中信、招商)，实名手机卡也可以指定运营商 银行卡质保60天，60天内保手机卡，银行卡不会出现挂失，本人亲自带队开卡，开完卡身份证全部我保存，而且开卡人都是工厂里的工人，都能找到本人，所以卡内资金无需担心 || 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款/外汇，送礼各种商业用途，保护自己的隐私 | C: 四件套号卡,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.862211,0.8,core_calibrated_default,uncertain_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",rereview_existing_frozen_label
6,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:331162||market_item.xlsx|中文暗网交易市场|seller_raw:375149,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.855822,different_alias,true,中文暗网交易市场,中文暗网交易市场,331162,375149,,,shared_description_count_capped=1,profile_category_jaccard=1.0,,0.180769,0.992178,T: 1500R出最稳四件套，一手开卡 各种定制！！！！！保质期两个月！ | D: 2.银行可以指定(指定银行暂只支持 中，农，建，工，邮政，信用社，交通，中信)，实名手机卡也可以指定运营商 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器 [价格] 1500元 一套，购买请拍15份 | C: 实体物品,"T: 完美四件套1300,一手开卡,质保60天 | D: 不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片或复印件+实名手机卡一张+U盾或者密码器. 标价为15美元折合人民币100元 纯四件套请拍13份 可指定银行 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为学生，出现资金问题可追回 || 通常情况下，四件套的质保期为一到两个月，意思是一个月内无条件质保，两个月内尽全力协助，超过二个月不做任何主观承诺 | C: 实体物品",reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.855822,0.8,core_calibrated_default,uncertain_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
7,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:375149||market_item.xlsx|中文暗网交易市场|seller_raw:506844,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.848122,different_alias,true,中文暗网交易市场,中文暗网交易市场,375149,506844,,,shared_description_count_capped=2,profile_category_jaccard=1.0,,0.329725,0.584886,"T: 完美四件套1300,一手开卡,质保60天 | D: 不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片或复印件+实名手机卡一张+U盾或者密码器. 标价为15美元折合人民币100元 纯四件套请拍13份 可指定银行 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为学生，出现资金问题可追回 || 通常情况下，四件套的质保期为一到两个月，意思是一个月内无条件质保，两个月内尽全力协助，超过二个月不做任何主观承诺 | C: 实体物品",T: 一手资源银行卡全套自己工厂工人开的900RMB整套 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 || 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 | C: 实体物品,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.848122,0.8,core_calibrated_default,uncertain_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
8,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:238938||market_item.xlsx|中文暗网交易市场|seller_raw:331162,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.844097,different_alias,true,中文暗网交易市场,中文暗网交易市场,238938,331162,,,shared_description_count_capped=1,profile_category_jaccard=1.0,,0.0,0.867849,"T: 1800 四件套。洗钱专业黑卡，一手开卡渠道，开卡源可控，无条件售后两个月 || 专业团队代办四件套,为你解决一切安全隐患和后顾之忧。 | D: 1.标准四件套：银行卡+身份证正反面照片+实名预留手机卡+U盾或者密码器 价格：普通四件套1800元/套 （拍18件商品） 2.需要认证支付宝或微信的每样加200（加拍2件商品） 3.需要高级火币网认证加300（加拍3样商品） 4.开通国际漫游的加100 （加拍1件商品） 5.微信加一件商品加100（加拍一件商品） [售后] 1.所有出售的商品售后服务期为60天 || 或者 密码器一个 价格说明： -1800元 一套，购买请拍18份数. 火币号加3份，300一个 支付宝加2份，200一个 微信加2份， 200... | C: 实体物品",T: 1500R出最稳四件套，一手开卡 各种定制！！！！！保质期两个月！ | D: 2.银行可以指定(指定银行暂只支持 中，农，建，工，邮政，信用社，交通，中信)，实名手机卡也可以指定运营商 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器 [价格] 1500元 一套，购买请拍15份 | C: 实体物品,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.844097,0.8,core_calibrated_default,uncertain_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
9,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:117631||market_item.xlsx|中文暗网交易市场|seller_raw:375149,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.826208,different_alias,true,中文暗网交易市场,中文暗网交易市场,117631,375149,,,shared_description_count_capped=1,profile_category_jaccard=0.25,,0.0,0.492275,T: 2000R出最稳四件套，对公账户，一手开卡 ，交易所实名，微信支付宝可绑 || 十四个裸条女，都是本人私放的，带资料，可操作空间很大 || 出亿信云审核后台账号一个，一共三百多条客户数据。 | D: 三百多条数据，其中九十八条客户未提交只能看见姓名 手机号 身份证号 其余两百多条都能看见客户全部资料包含姓名 身份证号 QQ 号微信号 银行卡号 银行卡预留手机号码 身份证正反加手持 淘宝购物记录加收货地址 运营商详单和通讯录 || [商品] 银行卡一张+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) [价格] 2000元 一套，购买请拍20份 | C: 实体物品 || 技术技能 || 数据资源,"T: 完美四件套1300,一手开卡,质保60天 | D: 不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片或复印件+实名手机卡一张+U盾或者密码器. 标价为15美元折合人民币100元 纯四件套请拍13份 可指定银行 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为学生，出现资金问题可追回 || 通常情况下，四件套的质保期为一到两个月，意思是一个月内无条件质保，两个月内尽全力协助，超过二个月不做任何主观承诺 | C: 实体物品",reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.826208,0.8,core_calibrated_default,uncertain_candidate,medium,active_frozen_labels,reviewed,uncertain,codex_step5_v3_cleanup_20260416,"Step 5 v3 targeted cleanup: dense four-piece template-copy clique with no shared contact or PGP anchor. Public template reuse is plausible, but the edge is not reliable enough to freeze as either positive or negative supervision.",rereview_existing_frozen_label
10,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:354172||market_item.xlsx|中文暗网交易市场|seller_raw:375149,sockpuppet_primary,high,step11_calibrated_default_v3|template_clone_edge,0.821846,different_alias,true,中文暗网交易市场,中文暗网交易市场,354172,375149,,,shared_description_count_capped=2,profile_category_jaccard=0.5,,0.232123,0.68284,"T: 火币,okex,可盈可乐,otcbtc等交易所高级实名认证 || 完美四件套1500，一手开卡，可定制，质保60天 | D: (不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片+实名手机卡一张+U盾或者密码器(有需要可提供手持照片) 标价为15美元折合人民币100元 纯四件套请拍15份 需绑定支付宝过人脸加拍4份 需交易所高级实名认证加拍5份(交易所任选一个) 可指定银行指定运营商 质保两个月过后如还需要的话可续租7份每月 || 附送身份证正反面照片和手持身份证照片 一般2个小时左右搞定 因为需要随时接验证码，请安排好时间 使用中遇到风控可付费找到实名人刷人脸 需要准备资料：注册好的账号，最好用手机号注册 也可代为注册... | C: 实体物品 || 虚拟物品","T: 完美四件套1300,一手开卡,质保60天 | D: 不可控的司法冻结不在售后范围) 商品：银行卡+身份证正反面照片或复印件+实名手机卡一张+U盾或者密码器. 标价为15美元折合人民币100元 纯四件套请拍13份 可指定银行 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为学生，出现资金问题可追回 || 通常情况下，四件套的质保期为一到两个月，意思是一个月内无条件质保，两个月内尽全力协助，超过二个月不做任何主观承诺 | C: 实体物品",reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision.",calibrated_default_template_clone,step11_calibrated_default_v3|template_clone_edge,1,zh_target_strict_core_calibrated_default_thr_0800000_c0001,0.821846,0.8,core_calibrated_default,uncertain_candidate,medium,active_review_queue,pending,,,,review_existing_pending_queue_row
