pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs
market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/449035,market_item.xlsx|茶马古道|seller_raw:/shop/461222,茶马古道,茶马古道,1,1,high,pending,,0.4,1,1,1,0,4,5,2,1,0,0.0,0.0,0.0,0.0,33.751964,33.464282,8.437991,8.36607,0,4,4,4,0.710652,0.546737,2629,2629,0.055175,0.128996,0.187214,0.052131,0.238584,0.236302,0.0,0.0,0.0,0.206241,5.0,10.0,5.5,17.5,0.044407,0.025437,0.0,0.0,0.0,0.02293
market_item.xlsx|茶马古道|seller_raw:/shop/454497||market_item.xlsx|茶马古道|seller_raw:/shop/454507,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/454497,market_item.xlsx|茶马古道|seller_raw:/shop/454507,茶马古道,茶马古道,1,1,high,pending,,1.0,1,1,1,0,1,1,2,1,0,0.0,0.0,0.0,0.0,8.437991,8.437991,8.437991,8.437991,0,1,1,5,0.817098,0.839189,2629,2629,0.14688,0.0,0.0,0.004946,0.017884,0.001142,0.005708,0.0,0.0,0.065069,2.0,0.0,0.0,0.5,0.003912,0.000978,0.25,0.0,0.0,0.031599
market_item.xlsx|中文暗网交易市场|seller_raw:167147||market_item.xlsx|中文暗网交易市场|seller_raw:65684,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:167147,market_item.xlsx|中文暗网交易市场|seller_raw:65684,中文暗网交易市场,中文暗网交易市场,1,1,high,pending,,1.0,1,1,0,0,5,5,2,0,0,0.0,0.0,0.0,0.0,50.340264,71.859999,8.390044,7.984444,0,9,6,4,0.872602,0.999537,2468,2468,0.0,0.0,0.0,0.0,0.012161,0.000405,0.0,0.0,0.0,0.029185,0.0,0.0,0.0,0.0,0.002008,1e-06,0.0,0.0,0.0,0.001696
market_item.xlsx|中文暗网交易市场|seller_raw:564088||market_item.xlsx|茶马古道|seller_raw:/shop/9636,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|中文暗网交易市场|seller_raw:564088,market_item.xlsx|茶马古道|seller_raw:/shop/9636,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,1,0,1,1,0,3,0,0.0,0.0,0.0,0.0,8.437991,16.875982,8.437991,8.437991,0,2,1,4,0.698233,0.275666,2468,2629,0.353565,0.19702,0.065759,0.029022,0.152752,0.014611,0.015536,0.06753,0.0,0.05274,2.0,49.99917,0.0,111.0,0.077526,0.012596,0.0,0.333333,0.0,0.037913
market_item.xlsx|茶马古道|seller_raw:/shop/402037||market_item.xlsx|茶马古道|seller_raw:/shop/6332,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/402037,market_item.xlsx|茶马古道|seller_raw:/shop/6332,茶马古道,茶马古道,1,1,high,pending,,0.5,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,8.437991,16.875982,8.437991,8.437991,0,2,1,4,0.609375,0.339512,2629,2629,0.320016,0.455099,0.0,0.034628,0.011415,0.248858,0.0,0.060502,0.733638,0.094749,3.0,496.0,0.0,102.5,0.001489,0.039393,0.0,0.5,0.25,0.009018
market_item.xlsx|中文暗网交易市场|seller_raw:597091||market_item.xlsx|茶马古道|seller_raw:/shop/439316,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:597091,market_item.xlsx|茶马古道|seller_raw:/shop/439316,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,2,5,0,0,0,0.0,0.0,0.0,0.0,16.875982,65.606809,8.437991,8.200851,0,8,2,3,1.0,0.499756,2468,2629,0.08277,0.253369,0.062292,0.100142,0.157619,0.064469,0.015536,0.028717,0.0,0.014592,0.0,14.99972,0.0,0.5,0.000197,0.001794,0.0,0.0,0.0,0.0
market_item.xlsx|中文暗网交易市场|seller_raw:595944||market_item.xlsx|茶马古道|seller_raw:/shop/439854,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:595944,market_item.xlsx|茶马古道|seller_raw:/shop/439854,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,16.875982,8.437991,8.437991,8.437991,0,1,2,3,0.64306,0.417318,2468,2629,0.016429,0.001811,0.072127,0.25679,0.102637,0.232445,0.015536,0.023853,0.707002,0.048464,7.0,82.99704,1.5,6.0,0.013428,0.018123,0.0,0.052632,0.038462,0.000417
market_item.xlsx|茶马古道|seller_raw:/shop/410559||market_item.xlsx|茶马古道|seller_raw:/shop/413373,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/410559,market_item.xlsx|茶马古道|seller_raw:/shop/413373,茶马古道,茶马古道,1,1,high,pending,,0.2,0,1,1,0,0,5,1,1,0,0.0,0.0,0.0,0.0,0,42.189955,0.0,8.437991,0,5,0,4,0.558081,0.627667,2629,2629,0.015982,0.0,0.00723,0.00038,0.039955,0.121385,0.0,0.017884,0.024733,0.015221,23.0,0.0,0.5,1.0,0.009115,0.013346,0.0,0.073935,0.185463,0.001563
market_item.xlsx|茶马古道|seller_raw:/shop/397616||market_item.xlsx|茶马古道|seller_raw:/shop/398592,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|茶马古道|seller_raw:/shop/397616,market_item.xlsx|茶马古道|seller_raw:/shop/398592,茶马古道,茶马古道,1,1,high,pending,,0.6,1,1,0,0,3,3,3,0,0,0.0,0.0,0.0,0.0,16.875982,8.437991,8.437991,8.437991,0,1,2,4,0.500249,0.688281,2629,2629,0.062024,0.030441,0.252283,0.014459,0.020928,0.093987,0.0,0.0,0.0,0.189118,10.0,10.0,16.0,198.5,0.004861,0.010306,0.0,0.0,0.0,0.028583
market_item.xlsx|中文暗网交易市场|seller_raw:573258||market_item.xlsx|茶马古道|seller_raw:/shop/455140,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:573258,market_item.xlsx|茶马古道|seller_raw:/shop/455140,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,4,3,0,0,0,0.0,0.0,0.0,0.0,16.875982,16.875982,8.437991,8.437991,0,2,2,3,0.573733,0.437685,2468,2629,0.010913,0.0942,0.087593,0.007551,0.020989,0.135643,0.015536,0.028717,0.755327,0.100935,1.0,97.998155,0.5,389.5,0.053368,0.019873,0.0,0.0,0.294118,0.013555
