pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3
market_item.xlsx|apollon market|seller_raw:Bestbars (100%)||market_item.xlsx|apollon market|seller_raw:keranvends (100%),en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|apollon market|seller_raw:Bestbars (100%),market_item.xlsx|apollon market|seller_raw:keranvends (100%),apollon market,apollon market,1,1,high,pending,,0.625,1,1,1,0,5,5,5,3,0,0.0,0.0,0.0,0.0,17.654216,44.13554,8.827108,8.827108,0,5,2,5,0.754679,0.836521,1823,1823,0.036773,0.0,0.021406,0.050494,0.006586,0.00988,0.0,0.0,0.181119,0.002745,9.0,0.0,1.0,64.5,0.000932,0.000471,0.0,0.0,0.203081,0.00041,0.991405,0.965181,0.968933,0.9701,0.963014,0.910569,0.526008
market_item.xlsx|agartha market|seller_raw:Rodrigomendez||market_item.xlsx|agartha market|seller_raw:truu00,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|agartha market|seller_raw:Rodrigomendez,market_item.xlsx|agartha market|seller_raw:truu00,agartha market,agartha market,1,1,high,pending,,0.666667,1,1,1,0,5,3,5,1,0,0.0,0.0,0.0,0.0,8.827108,25.970498,8.827108,8.656833,0,3,1,5,0.552489,0.744102,252,252,0.19522,0.047809,0.0,0.015936,0.023904,0.075698,0.031873,0.08765,0.051793,0.131474,85.0,0.000146,0.0,67.0,0.002875,0.005629,0.031385,0.07777,0.109156,0.059109,0.986588,0.94667,0.961315,0.968617,0.906959,0.899381,0.537523
market_item.xlsx|apollon market|seller_raw:MrSoSa (95%)||market_item.xlsx|darkfox market|seller_raw:MrSoSa,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|apollon market|seller_raw:MrSoSa (95%),market_item.xlsx|darkfox market|seller_raw:MrSoSa,apollon market,darkfox market,0,1,high,pending,,0.0,1,1,1,0,5,1,0,2,0,0.0,0.0,0.0,0.0,8.539426,8.827108,8.539426,8.827108,0,1,1,4,0.573376,0.493981,1823,504,0.197999,0.219264,0.17835,0.090361,0.165153,0.019456,0.013226,0.161098,0.073727,0.084701,26.0,12.49,8.5,66.5,0.028175,0.025089,0.092593,0.015873,0.222222,0.034927,0.98585,0.914813,0.950725,0.93539,0.921443,0.891811,0.744599
market_item.xlsx|apollon market|seller_raw:Crownstar (100%)||market_item.xlsx|apollon market|seller_raw:Shan (100%),en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|apollon market|seller_raw:Crownstar (100%),market_item.xlsx|apollon market|seller_raw:Shan (100%),apollon market,apollon market,1,1,high,pending,,1.0,1,1,1,0,5,5,3,2,0,0.0,0.0,0.0,0.0,34.445386,17.366534,8.611347,8.683267,0,2,4,5,0.361152,0.937317,1823,1823,0.0,0.068057,0.019209,0.021405,0.024149,0.047201,0.0,0.0,0.065862,0.032931,0.0,17.5,1.0,50.0,0.015247,0.008641,0.0,0.0,0.071429,0.027772,0.99246,0.940934,0.953831,0.956083,0.966301,0.727391,0.196753
market_item.xlsx|Cartel|seller_raw:mr_dough||market_item.xlsx|darkfox market|seller_raw:mrdough,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Cartel|seller_raw:mr_dough,market_item.xlsx|darkfox market|seller_raw:mrdough,Cartel,darkfox market,0,1,high,pending,,0.0,1,1,1,0,3,3,0,1,0,0.0,0.0,0.0,0.0,26.481324,8.827108,8.827108,8.827108,0,1,3,4,0.425936,0.335314,219,504,0.116156,0.893574,0.477812,0.083919,0.038311,0.070758,0.051398,0.02227,0.114296,0.16263,4.0,674.0,23.0,27.5,0.004312,0.013334,0.2,0.2,0.066667,0.036138,0.988617,0.908295,0.928896,0.938968,0.907705,0.830054,0.72057
market_item.xlsx|versus market|seller_raw:TheBodyShops||market_item.xlsx|vice city|seller_raw:TheBodyShop,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|versus market|seller_raw:TheBodyShops,market_item.xlsx|vice city|seller_raw:TheBodyShop,versus market,vice city,0,1,high,pending,,0.125,1,1,1,0,5,5,1,1,0,0.0,0.0,0.0,0.0,0,35.02075,0.0,8.755187,0,4,0,4,0.327799,0.595221,199,225,0.021465,,0.209371,0.0,0.011634,0.033053,0.13677,0.001759,0.132756,0.011273,16.0,,5.0,933.0,0.000433,0.00171,0.0,0.010249,0.120221,0.003687,0.984988,0.940369,0.952384,0.971855,0.953906,0.932168,0.567512
market_item.xlsx|Lime|seller_raw:dongreenplug||market_item.xlsx|Lime|seller_raw:thimoty99,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Lime|seller_raw:dongreenplug,market_item.xlsx|Lime|seller_raw:thimoty99,Lime,Lime,1,1,high,pending,,0.428571,1,1,1,0,5,2,5,2,0,0.0,0.0,0.0,0.0,8.827108,17.654216,8.827108,8.827108,0,2,1,5,0.294222,0.657404,110,110,0.055046,0.073395,0.174311,0.036698,0.018348,0.027523,0.146789,0.146789,0.220184,0.064221,4204.0,50.0,6.0,7.0,0.002746,0.001132,0.065282,0.029463,0.079196,0.030672,0.982837,0.938949,0.949407,0.965558,0.963528,0.714138,0.234132
market_item.xlsx|agartha market|seller_raw:Daha2020||market_item.xlsx|agartha market|seller_raw:wolfhon66,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|agartha market|seller_raw:Daha2020,market_item.xlsx|agartha market|seller_raw:wolfhon66,agartha market,agartha market,1,1,high,pending,,0.111111,1,1,1,0,5,1,2,1,0,0.0,0.0,0.0,0.0,26.193642,0,8.731214,0.0,0,0,3,4,0.352122,0.356671,252,252,0.61753,0.167331,0.051793,0.095617,0.023904,0.051793,0.5498,0.625498,0.151395,0.099602,364.0,0.009,2.0,122.0,0.003425,0.002771,0.500884,0.471033,0.037885,0.043071,0.983705,0.944036,0.944734,0.972802,0.976987,0.918299,0.767654
market_item.xlsx|silk road 3.1|seller_raw:Pfizer||market_item.xlsx|silk road 3.1|seller_raw:kennedybrown,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|silk road 3.1|seller_raw:Pfizer,market_item.xlsx|silk road 3.1|seller_raw:kennedybrown,silk road 3.1,silk road 3.1,1,1,high,pending,,0.764706,1,1,1,0,2,5,5,1,0,0.0,0.0,0.0,0.0,8.827108,33.480305,8.827108,8.370076,0,4,1,5,0.574621,0.641026,2609,2609,0.032592,0.0,0.0,0.067101,0.310199,0.33819,0.016488,0.031442,0.006518,0.029142,131.0,0.0,0.0,414.0,0.025293,0.034489,0.410747,0.065686,0.036771,0.018219,0.984871,0.941148,0.963167,0.961809,0.919447,0.735843,0.795677
market_item.xlsx|Cartel|seller_raw:dddprovider||market_item.xlsx|tor2door market|seller_raw:ddprovider,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Cartel|seller_raw:dddprovider,market_item.xlsx|tor2door market|seller_raw:ddprovider,Cartel,tor2door market,0,1,high,pending,,0.0,1,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,8.827108,25.788177,8.827108,8.596059,0,3,1,5,0.792305,0.637212,219,146,0.366277,0.006897,0.156406,0.061246,0.066846,0.059981,0.632395,0.239355,0.0,0.033218,4.0,0.0,16.0,73.5,0.003151,0.001117,0.0,0.066667,0.0,0.031366,0.97672,0.900931,0.929927,0.931326,0.861703,0.74086,0.289165
