pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3
products_data.csv|__unknown__|seller_id:1880883||products_data.csv|__unknown__|seller_id:1889980,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:1880883,products_data.csv|__unknown__|seller_id:1889980,__unknown__,__unknown__,1,1,high,pending,,1.0,1,1,0,0,1,5,1,0,0,0.0,0.0,0.0,0.0,6.414618,57.731562,6.414618,6.414618,0,0,0,4,1.0,1.0,673,673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99997,0.999228,0.99964,0.999655,0.999614,0.758198,0.53268
products_data.csv|__unknown__|seller_id:566317||products_data.csv|__unknown__|seller_id:588456,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:566317,products_data.csv|__unknown__|seller_id:588456,__unknown__,__unknown__,1,1,high,pending,,1.0,1,1,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,6.414618,6.414618,6.414618,6.414618,0,0,0,4,0.811196,0.667982,673,673,0.172619,0.180059,0.043155,0.007441,0.215773,0.010417,0.0,0.0,0.0,0.035715,1.0,133.5,1.0,1.0,0.047073,0.002182,0.0,0.0,0.0,0.003286,0.982163,0.952567,0.956339,0.976003,0.926708,0.636438,0.177233
products_data.csv|__unknown__|seller_id:187565||products_data.csv|__unknown__|seller_id:49925,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:187565,products_data.csv|__unknown__|seller_id:49925,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,35.422752,0.0,5.903792,0,0,0,3,0.976748,0.982628,673,673,0.0,0.074405,0.122024,0.0,0.007441,0.008929,0.0,0.0,0.0,0.004464,0.0,1.0,19.0,0.0,0.001553,0.003856,0.0,0.0,0.0,0.000233,0.998763,0.976528,0.991261,0.989197,0.978539,0.811279,0.510292
products_data.csv|__unknown__|seller_id:425820||products_data.csv|__unknown__|seller_id:665332,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:425820,products_data.csv|__unknown__|seller_id:665332,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0,11.981938,0.0,5.990969,0,0,0,3,0.930599,0.940351,673,673,0.0,0.026786,0.0625,0.032738,0.014881,0.011905,0.0,0.0,0.0,0.433036,0.0,4.0,1.0,29.0,0.00106,0.00053,0.0,0.0,0.0,0.05455,0.99633,0.982671,0.977008,0.994161,0.951074,0.914124,0.206001
products_data.csv|__unknown__|seller_id:342919||products_data.csv|__unknown__|seller_id:75066,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:342919,products_data.csv|__unknown__|seller_id:75066,__unknown__,__unknown__,1,1,high,pending,,0.25,1,1,0,0,1,2,1,0,0,0.0,0.0,0.0,0.0,5.903792,5.903792,5.903792,5.903792,0,0,0,4,0.609926,0.605601,673,673,0.028273,0.098214,0.488095,0.028274,0.037202,0.33631,0.0,0.0,0.007441,0.041667,3.0,11.9,10.0,8.5,0.003373,0.039302,0.0,0.0,0.055555,0.005537,0.983324,0.844977,0.925769,0.913234,0.790474,0.645887,0.03313
products_data.csv|__unknown__|seller_id:506844||products_data.csv|__unknown__|seller_id:528850,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:506844,products_data.csv|__unknown__|seller_id:528850,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,3,1,0,0,0.555556,0.428571,0.555556,0.126985,0,27.318224,0.0,5.463645,3,0,0,3,0.819613,0.937903,673,673,0.0,0.025297,0.159226,0.068452,0.096726,0.047619,0.0,0.0,0.0,0.125,0.0,39.0,4.0,64.0,0.011474,0.010065,0.0,0.0,0.0,0.008175,0.995738,0.937928,0.951326,0.979987,0.970913,0.777648,0.72737
products_data.csv|__unknown__|seller_id:319180||products_data.csv|__unknown__|seller_id:65684,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:319180,products_data.csv|__unknown__|seller_id:65684,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,34.328826,0.0,5.721471,0,0,0,3,0.867791,0.743621,673,673,0.172619,0.138393,0.458333,0.142857,0.089286,0.013393,0.0,0.0,0.0,0.139881,1.0,4.1,16.0,454.5,0.013583,0.001406,0.0,0.0,0.0,0.011042,0.995429,0.984117,0.989052,0.996349,0.974282,0.752391,0.288612
products_data.csv|__unknown__|seller_id:28409||products_data.csv|__unknown__|seller_id:697110,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:28409,products_data.csv|__unknown__|seller_id:697110,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,6.126936,0.0,6.126936,0,0,0,3,0.68582,0.957579,673,673,0.0,0.019345,0.044642,0.056548,0.004464,0.0625,0.0,0.0,0.0,0.002976,0.0,3.0,2.0,135.0,0.001181,0.004673,0.0,0.0,0.0,0.000178,0.984501,0.924611,0.957026,0.968948,0.882266,0.765506,0.322122
products_data.csv|__unknown__|seller_id:569984||products_data.csv|__unknown__|seller_id:640120,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:569984,products_data.csv|__unknown__|seller_id:640120,__unknown__,__unknown__,1,1,high,pending,,0.5,0,1,0,0,0,1,1,0,0,0.333333,0.6,0.6,0.266667,0,16.301367,0.0,5.433789,3,0,0,2,0.830905,0.411161,673,673,0.245536,0.614584,0.427083,0.379465,0.0,0.141369,0.0,0.0,0.837798,0.230655,2.0,880.0,10.0,117.0,0.0,0.01929,0.0,0.0,0.333333,0.042772,0.984408,0.920366,0.937375,0.979247,0.926644,0.694035,0.270699
products_data.csv|__unknown__|seller_id:504679||products_data.csv|__unknown__|seller_id:569161,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:504679,products_data.csv|__unknown__|seller_id:569161,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,5.903792,0.0,5.903792,0,0,0,3,0.743846,0.618374,673,673,0.172619,0.44494,0.063989,0.071428,0.145833,0.126489,0.0,0.0,0.0,0.150298,1.0,225.0,2.5,24.0,0.021643,0.024313,0.0,0.0,0.0,0.092156,0.982747,0.868907,0.940498,0.972851,0.895307,0.859353,0.158228
products_data.csv|__unknown__|seller_id:523073||products_data.csv|__unknown__|seller_id:523216,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:523073,products_data.csv|__unknown__|seller_id:523216,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.25,0.166667,0.25,0.083333,0,11.037476,0.0,5.518738,1,0,0,3,0.723876,0.647863,673,673,0.172619,0.110119,0.544642,0.037202,0.040179,0.040179,0.0,0.0,0.0,0.263393,1.0,1080.0,11.0,1068.0,0.080005,0.031329,0.0,0.0,0.0,0.018264,0.996726,0.942618,0.98004,0.986009,0.979651,0.751309,0.229177
