pair_uid,review_label,evidence_type,component_id,identity_rule_control_score
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),negative,ordinary_negative,en_content_train_pool_cc_50481108a33b850d,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,negative,ordinary_negative,en_content_train_pool_cc_be967b90d809ceb9,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,positive,same_controller_style_structural_soft,en_content_train_pool_cc_5a9aa11e23a4c0b6,0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,negative,ordinary_negative,en_content_train_pool_cc_ebbaa123eebf6ca0,0
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,negative,ordinary_negative,en_content_train_pool_cc_f4386d4b56023e8a,0
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,negative,public_contact_or_url_noise,en_content_train_pool_cc_5d852c7834259fe8,0
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,positive,same_controller_direct_identifier,en_content_train_pool_cc_f9371bc9b3ce6d7d,1
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,negative,template_clone_not_controller,en_content_train_pool_cc_10c6c1093b6829a3,0
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),negative,public_contact_or_url_noise,en_content_train_pool_cc_69a17117c0da140c,0
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),negative,template_clone_not_controller,en_content_train_pool_cc_4632283115d6aed9,0
market_item.xlsx|Cartel|seller_raw:theword1||market_item.xlsx|dark0de|seller_raw:mensguru,positive,same_controller_style_structural_soft,en_content_train_pool_cc_561b30415036492a,0
market_item.xlsx|Lime|seller_raw:BossAmerica||market_item.xlsx|agartha market|seller_raw:Bestplug,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Darkhackman||market_item.xlsx|Lime|seller_raw:Gerybell,negative,ordinary_negative,en_content_train_pool_cc_f5e987aedb012243,0
market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:Ortegameds,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:carlosjuan,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:chrisstore24,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:Namara||market_item.xlsx|apollon market|seller_raw:mydeals (100%),negative,semantic_topic_not_controller,en_content_train_pool_cc_8fd57e6732d14d04,0
market_item.xlsx|Lime|seller_raw:USADRUGLORD||market_item.xlsx|agartha market|seller_raw:willson99,positive,same_controller_direct_identifier,en_content_train_pool_cc_29f6fc6f6a43956f,1
market_item.xlsx|Lime|seller_raw:darklord||market_item.xlsx|Lime|seller_raw:tomandjerry1,negative,ordinary_negative,en_content_train_pool_cc_67c904aef061fe88,0
market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|Lime|seller_raw:ketplug,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|agartha market|seller_raw:truu00,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:jennifer||market_item.xlsx|agartha market|seller_raw:labdoctor,negative,ordinary_negative,en_content_train_pool_cc_4860f601af2761a3,0
market_item.xlsx|Lime|seller_raw:ketplug||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:ketplug||market_item.xlsx|agartha market|seller_raw:Lordpharma,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:maxmann||market_item.xlsx|darkfox market|seller_raw:opportunity,positive,same_controller_direct_identifier,en_content_train_pool_cc_2acc45f6f7ed75bb,1
market_item.xlsx|Lime|seller_raw:methking||market_item.xlsx|agartha market|seller_raw:dreamboss,positive,same_controller_direct_identifier,en_content_train_pool_cc_f6e9f85c637f9ea0,1
market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:CannaCare,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:Legitsales,positive,same_controller_direct_identifier,en_content_train_pool_cc_f337d7958a98c59b,1
