pair_uid,chunk_gte_multilingual_base__all_chunk_mean_cosine,chunk_gte_multilingual_base__field_equal_mean_cosine,chunk_gte_multilingual_base__symmetric_top3_block_cosine,chunk_gte_multilingual_base__category_mean_cosine,chunk_gte_multilingual_base__title_mean_cosine,chunk_gte_multilingual_base__description_mean_cosine
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),0.859554451529,0.804459868535,0.782821724086,0.773710665423,0.848818969374,0.775475369253
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,0.706773411858,0.546141400317,0.537163441313,0.579238290714,0.551448266240,0.502430778073
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,0.957860768456,0.902827370921,0.777260681159,1.000000000000,0.936401192151,0.897291000083
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,0.745017757557,0.610725668890,0.615778826614,0.852527236265,0.502746184225,0.625209515709
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,0.669608502844,0.615947278692,0.596361762834,0.822794747413,0.514422095082,0.628458676696
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,0.900535338071,0.759409656826,0.768360143891,0.844162859959,0.652696328999,0.913305169056
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,0.919958849452,0.800381040831,0.761006125368,0.918848726848,0.881432370578,0.731645819423
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,0.829458980844,0.675899508445,0.650626348181,0.710143782639,0.657590054330,0.752640129684
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),0.920657525413,0.754950093786,0.649259072418,0.857611926246,0.730724012754,0.898730864954
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),0.922041114543,0.844392931307,0.792135361116,0.734931909016,0.887054697976,0.889683417715
market_item.xlsx|Cartel|seller_raw:theword1||market_item.xlsx|dark0de|seller_raw:mensguru,0.935748399772,0.846435482486,0.768658248250,0.868541284317,0.837065995127,0.897630559035
market_item.xlsx|Lime|seller_raw:BossAmerica||market_item.xlsx|agartha market|seller_raw:Bestplug,0.918485170952,0.797759611281,0.717264174260,0.804812945330,0.810087752364,0.889918816496
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,0.937097506361,0.826821619616,0.759088509039,0.848579633005,0.811371961570,0.927869544984
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,0.947929086727,0.832045401534,0.768765442524,0.848906062304,0.838386043751,0.933371513010
market_item.xlsx|Lime|seller_raw:Darkhackman||market_item.xlsx|Lime|seller_raw:Gerybell,0.941298774984,0.874672977147,0.799496293679,0.963807303216,0.928940198079,0.857697869838
market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:Ortegameds,0.866696463042,0.714301920221,0.673796083337,0.801101675269,0.672426858861,0.827403434666
market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,0.877863772640,0.761430878547,0.707043404381,0.755444218088,0.813890049193,0.821040794833
market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:carlosjuan,0.931969819312,0.823649438446,0.748931437876,0.771549059470,0.815772209157,0.902489880500
market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:chrisstore24,0.909730061830,0.798408456287,0.738649449079,0.824534982406,0.829035926042,0.859318554541
market_item.xlsx|Lime|seller_raw:Namara||market_item.xlsx|apollon market|seller_raw:mydeals (100%),0.916601807324,0.781436159651,0.757778303127,0.793073672425,0.725074092040,0.847543001258
market_item.xlsx|Lime|seller_raw:USADRUGLORD||market_item.xlsx|agartha market|seller_raw:willson99,0.956186454740,0.858569105694,0.795717652239,0.870929870835,0.861898318813,0.941164690894
market_item.xlsx|Lime|seller_raw:darklord||market_item.xlsx|Lime|seller_raw:tomandjerry1,0.903756406834,0.784813911209,0.749749350095,0.849669903463,0.732527282868,0.873846199162
market_item.xlsx|Lime|seller_raw:grandmaster||market_item.xlsx|Lime|seller_raw:ketplug,0.932329557990,0.824852978701,0.712602907971,0.929637568549,0.832455260569,0.893042042370
