pair_uid,chunk_paraphrase_multilingual_mpnet__all_chunk_mean_cosine,chunk_paraphrase_multilingual_mpnet__field_equal_mean_cosine,chunk_paraphrase_multilingual_mpnet__symmetric_top3_block_cosine,chunk_paraphrase_multilingual_mpnet__category_mean_cosine,chunk_paraphrase_multilingual_mpnet__title_mean_cosine,chunk_paraphrase_multilingual_mpnet__description_mean_cosine
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),0.686008695666,0.634028303557,0.556570442441,0.785361172463,0.768685786977,0.423704385684
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,0.332420250896,0.194835902956,0.209665201534,0.087722384812,0.313150212233,0.065320802548
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,0.920491362300,0.828845958526,0.596546758434,1.000000000000,0.848271424467,0.870773067857
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,0.543336527360,0.405393851837,0.442035894703,0.839733546268,0.204623523251,0.411790374214
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,0.542858125944,0.515722196468,0.418621613472,0.892868597701,0.354957647424,0.470232027446
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,0.875818412184,0.708251434530,0.703564186379,0.800103500434,0.551999972958,0.925373656585
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,0.890257038848,0.781961649470,0.654446419236,0.961507371338,0.885157389330,0.691706054331
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,0.696747108929,0.520876351310,0.500140148096,0.233152940609,0.639002556241,0.630424187913
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),0.838932850456,0.645417273294,0.549223282332,0.846032676134,0.596762578616,0.773864632069
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),0.883998770232,0.793397061493,0.687001160055,0.566436753756,0.902892780507,0.850258823301
market_item.xlsx|Cartel|seller_raw:theword1||market_item.xlsx|dark0de|seller_raw:mensguru,0.853871270755,0.778546959131,0.622642947856,0.921631420654,0.842654609387,0.726771678379
market_item.xlsx|Lime|seller_raw:BossAmerica||market_item.xlsx|agartha market|seller_raw:Bestplug,0.908142315180,0.787278420538,0.650283353180,0.861558776691,0.760122807339,0.893447451647
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:CITYSHOP92,0.925316315444,0.714630492339,0.659243364074,0.787421504878,0.629198422899,0.912520287236
market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,0.938940033496,0.761914723129,0.670949619781,0.809932279845,0.688700603214,0.937049144359
market_item.xlsx|Lime|seller_raw:Darkhackman||market_item.xlsx|Lime|seller_raw:Gerybell,0.868022292808,0.793082038644,0.641123645039,0.952632766876,0.910590449578,0.710216173250
market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:Ortegameds,0.877828987159,0.708675832875,0.636157219750,0.683311389203,0.715670763138,0.858183035522
market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,0.826349464458,0.705190304134,0.628712260894,0.720201015093,0.809303513669,0.744748018390
market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:carlosjuan,0.877801027805,0.664428480452,0.641864345878,0.780941390562,0.468291953877,0.885910232437
market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:chrisstore24,0.847189672126,0.654889709215,0.620680110048,0.775570446563,0.526181876311,0.849936338363
