pair_uid,seller_uid_left,seller_uid_right
pair_000001,seller_000001,seller_000180
pair_000002,seller_000002,seller_000729
pair_000003,seller_000003,seller_000005
pair_000004,seller_000007,seller_000640
pair_000005,seller_000010,seller_000016
pair_000006,seller_000011,seller_000378
pair_000007,seller_000013,seller_000382
pair_000008,seller_000014,seller_000843
pair_000009,seller_000025,seller_000225
pair_000010,seller_000026,seller_000211
pair_000011,seller_000029,seller_000299
pair_000012,seller_000033,seller_000066
pair_000013,seller_000035,seller_000068
pair_000014,seller_000035,seller_000107
pair_000015,seller_000037,seller_000038
pair_000016,seller_000040,seller_000086
pair_000017,seller_000040,seller_000091
pair_000018,seller_000041,seller_000106
pair_000019,seller_000041,seller_000107
pair_000020,seller_000043,seller_000235
pair_000021,seller_000045,seller_000142
pair_000022,seller_000047,seller_000063
pair_000023,seller_000051,seller_000054
pair_000024,seller_000051,seller_000068
pair_000025,seller_000051,seller_000138
pair_000026,seller_000052,seller_000122
pair_000027,seller_000054,seller_000068
pair_000028,seller_000054,seller_000083
pair_000029,seller_000055,seller_000371
pair_000030,seller_000056,seller_000111
pair_000031,seller_000057,seller_000069
pair_000032,seller_000057,seller_000081
pair_000033,seller_000057,seller_000110
pair_000034,seller_000057,seller_000120
pair_000035,seller_000057,seller_000126
pair_000036,seller_000057,seller_000133
pair_000037,seller_000057,seller_000137
pair_000038,seller_000059,seller_000385
pair_000039,seller_000060,seller_000254
pair_000040,seller_000064,seller_000124
pair_000041,seller_000065,seller_000112
pair_000042,seller_000066,seller_000069
pair_000043,seller_000066,seller_000075
pair_000044,seller_000066,seller_000077
pair_000045,seller_000066,seller_000082
pair_000046,seller_000066,seller_000104
pair_000047,seller_000066,seller_000132
pair_000048,seller_000067,seller_000087
pair_000049,seller_000067,seller_000091
pair_000050,seller_000067,seller_000112
pair_000051,seller_000069,seller_000075
pair_000052,seller_000069,seller_000077
pair_000053,seller_000069,seller_000082
pair_000054,seller_000069,seller_000120
pair_000055,seller_000069,seller_000133
pair_000056,seller_000069,seller_000137
pair_000057,seller_000070,seller_000143
pair_000058,seller_000071,seller_000080
pair_000059,seller_000071,seller_000105
pair_000060,seller_000071,seller_000124
pair_000061,seller_000072,seller_000123
pair_000062,seller_000073,seller_000088
pair_000063,seller_000075,seller_000077
pair_000064,seller_000075,seller_000132
pair_000065,seller_000076,seller_000110
pair_000066,seller_000076,seller_000124
pair_000067,seller_000077,seller_000082
pair_000068,seller_000077,seller_000093
pair_000069,seller_000077,seller_000132
pair_000070,seller_000080,seller_000098
pair_000071,seller_000081,seller_000120
pair_000072,seller_000081,seller_000137
pair_000073,seller_000082,seller_000085
pair_000074,seller_000082,seller_000132
pair_000075,seller_000086,seller_000134
pair_000076,seller_000087,seller_000110
pair_000077,seller_000087,seller_000112
pair_000078,seller_000087,seller_000116
pair_000079,seller_000087,seller_000129
pair_000080,seller_000089,seller_000129
pair_000081,seller_000090,seller_000118
pair_000082,seller_000091,seller_000110
pair_000083,seller_000091,seller_000112
pair_000084,seller_000091,seller_000124
pair_000085,seller_000091,seller_000137
pair_000086,seller_000091,seller_000139
pair_000087,seller_000092,seller_000138
pair_000088,seller_000093,seller_000096
pair_000089,seller_000093,seller_000106
pair_000090,seller_000093,seller_000132
pair_000091,seller_000093,seller_000141
pair_000092,seller_000095,seller_000129
pair_000093,seller_000096,seller_000106
pair_000094,seller_000096,seller_000141
pair_000095,seller_000097,seller_000138
pair_000096,seller_000098,seller_000105
pair_000097,seller_000098,seller_000120
pair_000098,seller_000100,seller_000143
pair_000099,seller_000104,seller_000110
pair_000100,seller_000106,seller_000141
pair_000101,seller_000109,seller_000120
pair_000102,seller_000110,seller_000120
pair_000103,seller_000110,seller_000126
pair_000104,seller_000110,seller_000137
pair_000105,seller_000112,seller_000129
pair_000106,seller_000112,seller_000130
pair_000107,seller_000120,seller_000126
pair_000108,seller_000120,seller_000129
pair_000109,seller_000120,seller_000133
pair_000110,seller_000120,seller_000137
pair_000111,seller_000120,seller_000143
pair_000112,seller_000121,seller_000128
pair_000113,seller_000124,seller_000128
pair_000114,seller_000126,seller_000137
pair_000115,seller_000129,seller_000139
pair_000116,seller_000133,seller_000137
pair_000117,seller_000144,seller_000319
pair_000118,seller_000145,seller_000165
pair_000119,seller_000146,seller_000172
pair_000120,seller_000147,seller_000292
pair_000121,seller_000148,seller_000149
pair_000122,seller_000149,seller_000152
pair_000123,seller_000150,seller_000204
pair_000124,seller_000151,seller_000199
pair_000125,seller_000153,seller_000229
pair_000126,seller_000154,seller_000226
pair_000127,seller_000155,seller_000186
pair_000128,seller_000156,seller_000196
pair_000129,seller_000157,seller_000183
pair_000130,seller_000158,seller_000161
pair_000131,seller_000159,seller_000327
pair_000132,seller_000162,seller_000200
pair_000133,seller_000163,seller_000190
pair_000134,seller_000164,seller_000171
pair_000135,seller_000164,seller_000222
pair_000136,seller_000166,seller_000169
pair_000137,seller_000167,seller_000453
pair_000138,seller_000168,seller_000284
pair_000139,seller_000170,seller_000341
pair_000140,seller_000173,seller_000285
pair_000141,seller_000174,seller_000258
pair_000142,seller_000175,seller_000287
pair_000143,seller_000176,seller_000253
pair_000144,seller_000177,seller_000724
pair_000145,seller_000178,seller_000208
pair_000146,seller_000179,seller_000195
pair_000147,seller_000181,seller_000762
pair_000148,seller_000184,seller_000205
pair_000149,seller_000185,seller_000223
pair_000150,seller_000185,seller_000250
pair_000151,seller_000188,seller_000205
pair_000152,seller_000189,seller_000340
pair_000153,seller_000192,seller_000516
pair_000154,seller_000193,seller_000194
pair_000155,seller_000197,seller_000732
pair_000156,seller_000198,seller_000803
pair_000157,seller_000201,seller_000312
pair_000158,seller_000202,seller_000574
pair_000159,seller_000206,seller_000244
pair_000160,seller_000207,seller_000436
pair_000161,seller_000209,seller_000651
pair_000162,seller_000210,seller_000217
pair_000163,seller_000213,seller_000368
pair_000164,seller_000215,seller_000221
pair_000165,seller_000215,seller_000274
pair_000166,seller_000216,seller_000227
pair_000167,seller_000218,seller_000282
pair_000168,seller_000219,seller_000248
pair_000169,seller_000224,seller_000240
pair_000170,seller_000227,seller_000231
pair_000171,seller_000228,seller_000243
pair_000172,seller_000232,seller_000233
pair_000173,seller_000234,seller_000246
pair_000174,seller_000236,seller_000313
pair_000175,seller_000237,seller_000670
pair_000176,seller_000238,seller_000782
pair_000177,seller_000242,seller_000265
pair_000178,seller_000245,seller_000374
pair_000179,seller_000251,seller_000278
pair_000180,seller_000254,seller_000821
pair_000181,seller_000255,seller_000852
pair_000182,seller_000258,seller_000332
pair_000183,seller_000262,seller_000381
pair_000184,seller_000263,seller_000266
pair_000185,seller_000264,seller_000317
pair_000186,seller_000267,seller_000783
pair_000187,seller_000267,seller_000784
pair_000188,seller_000267,seller_000795
pair_000189,seller_000269,seller_000322
pair_000190,seller_000270,seller_000823
pair_000191,seller_000272,seller_000436
pair_000192,seller_000273,seller_000307
pair_000193,seller_000276,seller_000791
pair_000194,seller_000279,seller_000360
pair_000195,seller_000280,seller_000364
pair_000196,seller_000281,seller_000829
pair_000197,seller_000282,seller_000830
pair_000198,seller_000283,seller_000314
pair_000199,seller_000289,seller_000715
pair_000200,seller_000290,seller_000296
pair_000201,seller_000291,seller_000336
pair_000202,seller_000293,seller_000809
pair_000203,seller_000301,seller_000853
pair_000204,seller_000303,seller_000313
pair_000205,seller_000304,seller_000355
pair_000206,seller_000305,seller_000342
pair_000207,seller_000306,seller_000391
pair_000208,seller_000308,seller_000818
pair_000209,seller_000309,seller_000515
pair_000210,seller_000309,seller_000611
pair_000211,seller_000311,seller_000390
pair_000212,seller_000313,seller_000318
pair_000213,seller_000315,seller_000377
pair_000214,seller_000323,seller_000670
pair_000215,seller_000324,seller_000343
pair_000216,seller_000325,seller_000339
pair_000217,seller_000330,seller_000831
pair_000218,seller_000333,seller_000754
pair_000219,seller_000335,seller_000715
pair_000220,seller_000337,seller_000383
pair_000221,seller_000346,seller_000847
pair_000222,seller_000350,seller_000357
pair_000223,seller_000350,seller_000610
pair_000224,seller_000351,seller_000365
pair_000225,seller_000351,seller_000380
pair_000226,seller_000352,seller_000381
pair_000227,seller_000356,seller_000389
pair_000228,seller_000358,seller_000633
pair_000229,seller_000367,seller_000785
pair_000230,seller_000369,seller_000387
pair_000231,seller_000372,seller_000808
pair_000232,seller_000373,seller_000817
pair_000233,seller_000375,seller_000723
pair_000234,seller_000386,seller_000702
pair_000235,seller_000388,seller_000834
pair_000236,seller_000392,seller_000509
pair_000237,seller_000393,seller_000748
pair_000238,seller_000397,seller_000558
pair_000239,seller_000397,seller_000571
pair_000240,seller_000399,seller_000479
pair_000241,seller_000400,seller_000439
pair_000242,seller_000400,seller_000634
pair_000243,seller_000401,seller_000464
pair_000244,seller_000402,seller_000458
pair_000245,seller_000403,seller_000710
pair_000246,seller_000405,seller_000416
pair_000247,seller_000409,seller_000437
pair_000248,seller_000411,seller_000733
pair_000249,seller_000412,seller_000718
pair_000250,seller_000415,seller_000726
pair_000251,seller_000414,seller_000726
pair_000252,seller_000416,seller_000688
pair_000253,seller_000416,seller_000825
pair_000254,seller_000417,seller_000623
pair_000255,seller_000419,seller_000677
pair_000256,seller_000420,seller_000658
pair_000257,seller_000423,seller_000632
pair_000258,seller_000425,seller_000765
pair_000259,seller_000427,seller_000609
pair_000260,seller_000428,seller_000743
pair_000261,seller_000429,seller_000430
pair_000262,seller_000432,seller_000474
pair_000263,seller_000432,seller_000475
pair_000264,seller_000434,seller_000435
pair_000265,seller_000434,seller_000550
pair_000266,seller_000438,seller_000605
pair_000267,seller_000442,seller_000479
pair_000268,seller_000446,seller_000693
pair_000269,seller_000447,seller_000742
pair_000270,seller_000448,seller_000680
pair_000271,seller_000449,seller_000645
pair_000272,seller_000449,seller_000717
pair_000273,seller_000450,seller_000513
pair_000274,seller_000452,seller_000533
pair_000275,seller_000454,seller_000531
pair_000276,seller_000455,seller_000470
pair_000277,seller_000457,seller_000728
pair_000278,seller_000459,seller_000674
pair_000279,seller_000460,seller_000518
pair_000280,seller_000461,seller_000589
pair_000281,seller_000462,seller_000708
pair_000282,seller_000467,seller_000750
pair_000283,seller_000468,seller_000504
pair_000284,seller_000469,seller_000690
pair_000285,seller_000471,seller_000486
pair_000286,seller_000473,seller_000543
pair_000287,seller_000474,seller_000524
pair_000288,seller_000474,seller_000525
pair_000289,seller_000475,seller_000524
pair_000290,seller_000475,seller_000525
pair_000291,seller_000477,seller_000559
pair_000292,seller_000478,seller_000682
pair_000293,seller_000480,seller_000699
pair_000294,seller_000482,seller_000484
pair_000295,seller_000485,seller_000632
pair_000296,seller_000487,seller_000644
pair_000297,seller_000489,seller_000632
pair_000298,seller_000491,seller_000496
pair_000299,seller_000492,seller_000714
pair_000300,seller_000493,seller_000763
pair_000301,seller_000497,seller_000732
pair_000302,seller_000498,seller_000600
pair_000303,seller_000498,seller_000706
pair_000304,seller_000498,seller_000707
pair_000305,seller_000502,seller_000689
pair_000306,seller_000503,seller_000619
pair_000307,seller_000506,seller_000553
pair_000308,seller_000506,seller_000692
pair_000309,seller_000507,seller_000617
pair_000310,seller_000507,seller_000642
pair_000311,seller_000508,seller_000585
pair_000312,seller_000510,seller_000833
pair_000313,seller_000511,seller_000679
pair_000314,seller_000512,seller_000555
pair_000315,seller_000512,seller_000660
pair_000316,seller_000514,seller_000703
pair_000317,seller_000517,seller_000671
pair_000318,seller_000520,seller_000751
pair_000319,seller_000521,seller_000529
pair_000320,seller_000521,seller_000592
pair_000321,seller_000521,seller_000631
pair_000322,seller_000523,seller_000759
pair_000323,seller_000523,seller_000776
pair_000324,seller_000523,seller_000778
pair_000325,seller_000526,seller_000527
pair_000326,seller_000527,seller_000551
pair_000327,seller_000528,seller_000536
pair_000328,seller_000528,seller_000608
pair_000329,seller_000529,seller_000592
pair_000330,seller_000533,seller_000711
pair_000331,seller_000534,seller_000601
pair_000332,seller_000535,seller_000601
pair_000333,seller_000539,seller_000540
pair_000334,seller_000541,seller_000640
pair_000335,seller_000542,seller_000735
pair_000336,seller_000543,seller_000730
pair_000337,seller_000544,seller_000567
pair_000338,seller_000544,seller_000587
pair_000339,seller_000544,seller_000770
pair_000340,seller_000545,seller_000677
pair_000341,seller_000545,seller_000725
pair_000342,seller_000548,seller_000722
pair_000343,seller_000556,seller_000690
pair_000344,seller_000557,seller_000744
pair_000345,seller_000558,seller_000571
pair_000346,seller_000561,seller_000615
pair_000347,seller_000562,seller_000592
pair_000348,seller_000565,seller_000677
pair_000349,seller_000568,seller_000661
pair_000350,seller_000569,seller_000665
pair_000351,seller_000569,seller_000720
pair_000352,seller_000570,seller_000760
pair_000353,seller_000575,seller_000767
pair_000354,seller_000576,seller_000697
pair_000355,seller_000579,seller_000672
pair_000356,seller_000580,seller_000638
pair_000357,seller_000583,seller_000595
pair_000358,seller_000584,seller_000780
pair_000359,seller_000587,seller_000770
pair_000360,seller_000593,seller_000669
pair_000361,seller_000594,seller_000612
pair_000362,seller_000596,seller_000652
pair_000363,seller_000597,seller_000696
pair_000364,seller_000598,seller_000614
pair_000365,seller_000600,seller_000654
pair_000366,seller_000600,seller_000706
pair_000367,seller_000611,seller_000778
pair_000368,seller_000613,seller_000687
pair_000369,seller_000620,seller_000621
pair_000370,seller_000626,seller_000636
pair_000371,seller_000632,seller_000635
pair_000372,seller_000639,seller_000652
pair_000373,seller_000644,seller_000668
pair_000374,seller_000645,seller_000717
pair_000375,seller_000646,seller_000656
pair_000376,seller_000647,seller_000681
pair_000377,seller_000659,seller_000678
pair_000378,seller_000660,seller_000766
pair_000379,seller_000663,seller_000676
pair_000380,seller_000672,seller_000673
pair_000381,seller_000677,seller_000709
pair_000382,seller_000684,seller_000777
pair_000383,seller_000685,seller_000774
pair_000384,seller_000698,seller_000749
pair_000385,seller_000704,seller_000745
pair_000386,seller_000708,seller_000716
pair_000387,seller_000719,seller_000736
pair_000388,seller_000731,seller_000753
pair_000389,seller_000740,seller_000741
pair_000390,seller_000746,seller_000776
pair_000391,seller_000746,seller_000778
pair_000392,seller_000759,seller_000776
pair_000393,seller_000759,seller_000778
pair_000394,seller_000768,seller_000779
pair_000395,seller_000776,seller_000778
pair_000396,seller_000800,seller_000804
pair_000397,seller_000805,seller_000811
pair_000398,seller_000810,seller_000819
pair_000399,seller_000812,seller_000850
pair_000400,seller_000818,seller_000849
pair_000401,seller_000824,seller_000846
pair_000402,seller_000004,seller_000443
pair_000403,seller_000004,seller_000655
pair_000404,seller_000006,seller_000239
pair_000405,seller_000008,seller_000426
pair_000406,seller_000008,seller_000431
pair_000407,seller_000009,seller_000353
pair_000408,seller_000019,seller_000023
pair_000409,seller_000019,seller_000331
pair_000410,seller_000019,seller_000349
pair_000411,seller_000021,seller_000249
pair_000412,seller_000023,seller_000349
pair_000413,seller_000031,seller_000801
pair_000414,seller_000034,seller_000036
pair_000415,seller_000046,seller_000376
pair_000416,seller_000049,seller_000058
pair_000417,seller_000049,seller_000094
pair_000418,seller_000049,seller_000125
pair_000419,seller_000050,seller_000320
pair_000420,seller_000058,seller_000125
pair_000421,seller_000079,seller_000135
pair_000422,seller_000094,seller_000230
pair_000423,seller_000099,seller_000113
pair_000424,seller_000103,seller_000125
pair_000425,seller_000103,seller_000822
pair_000426,seller_000125,seller_000230
pair_000427,seller_000203,seller_000220
pair_000428,seller_000214,seller_000259
pair_000429,seller_000214,seller_000828
pair_000430,seller_000241,seller_000310
pair_000431,seller_000247,seller_000384
pair_000432,seller_000286,seller_000807
pair_000433,seller_000288,seller_000334
pair_000434,seller_000310,seller_000347
pair_000435,seller_000310,seller_000848
pair_000436,seller_000321,seller_000379
pair_000437,seller_000331,seller_000349
pair_000438,seller_000345,seller_000835
pair_000439,seller_000361,seller_000366
pair_000440,seller_000366,seller_000379
pair_000441,seller_000376,seller_000384
pair_000442,seller_000398,seller_000410
pair_000443,seller_000398,seller_000445
pair_000444,seller_000398,seller_000456
pair_000445,seller_000398,seller_000530
pair_000446,seller_000398,seller_000560
pair_000447,seller_000398,seller_000578
pair_000448,seller_000398,seller_000581
pair_000449,seller_000398,seller_000622
pair_000450,seller_000398,seller_000648
pair_000451,seller_000398,seller_000653
pair_000452,seller_000398,seller_000712
pair_000453,seller_000398,seller_000756
pair_000454,seller_000410,seller_000445
pair_000455,seller_000410,seller_000456
pair_000456,seller_000410,seller_000530
pair_000457,seller_000410,seller_000560
pair_000458,seller_000410,seller_000578
pair_000459,seller_000410,seller_000581
pair_000460,seller_000410,seller_000622
pair_000461,seller_000410,seller_000648
pair_000462,seller_000410,seller_000653
pair_000463,seller_000410,seller_000712
pair_000464,seller_000410,seller_000756
pair_000465,seller_000424,seller_000481
pair_000466,seller_000424,seller_000494
pair_000467,seller_000426,seller_000431
pair_000468,seller_000440,seller_000481
pair_000469,seller_000440,seller_000494
pair_000470,seller_000443,seller_000655
pair_000471,seller_000445,seller_000456
pair_000472,seller_000445,seller_000530
pair_000473,seller_000445,seller_000560
pair_000474,seller_000445,seller_000578
pair_000475,seller_000445,seller_000581
pair_000476,seller_000445,seller_000622
pair_000477,seller_000445,seller_000648
pair_000478,seller_000445,seller_000653
pair_000479,seller_000445,seller_000756
pair_000480,seller_000456,seller_000530
pair_000481,seller_000456,seller_000560
pair_000482,seller_000456,seller_000578
pair_000483,seller_000456,seller_000581
pair_000484,seller_000456,seller_000622
pair_000485,seller_000456,seller_000648
pair_000486,seller_000456,seller_000653
pair_000487,seller_000456,seller_000756
pair_000488,seller_000466,seller_000637
pair_000489,seller_000466,seller_000691
pair_000490,seller_000476,seller_000488
pair_000491,seller_000476,seller_000747
pair_000492,seller_000488,seller_000572
pair_000493,seller_000488,seller_000618
pair_000494,seller_000488,seller_000625
pair_000495,seller_000488,seller_000757
pair_000496,seller_000500,seller_000675
pair_000497,seller_000500,seller_000691
pair_000498,seller_000530,seller_000560
pair_000499,seller_000530,seller_000578
pair_000500,seller_000530,seller_000581
pair_000501,seller_000530,seller_000622
pair_000502,seller_000530,seller_000648
pair_000503,seller_000530,seller_000653
pair_000504,seller_000530,seller_000756
pair_000505,seller_000552,seller_000572
pair_000506,seller_000552,seller_000627
pair_000507,seller_000554,seller_000649
pair_000508,seller_000560,seller_000578
pair_000509,seller_000560,seller_000581
pair_000510,seller_000560,seller_000622
pair_000511,seller_000560,seller_000648
pair_000512,seller_000560,seller_000653
pair_000513,seller_000560,seller_000756
pair_000514,seller_000572,seller_000627
pair_000515,seller_000572,seller_000747
pair_000516,seller_000577,seller_000637
pair_000517,seller_000577,seller_000675
pair_000518,seller_000577,seller_000691
pair_000519,seller_000577,seller_000771
pair_000520,seller_000581,seller_000622
pair_000521,seller_000581,seller_000648
pair_000522,seller_000581,seller_000653
pair_000523,seller_000581,seller_000756
pair_000524,seller_000607,seller_000649
pair_000525,seller_000618,seller_000625
pair_000526,seller_000618,seller_000757
pair_000527,seller_000622,seller_000648
pair_000528,seller_000622,seller_000653
pair_000529,seller_000622,seller_000712
pair_000530,seller_000622,seller_000756
pair_000531,seller_000625,seller_000757
pair_000532,seller_000629,seller_000737
pair_000533,seller_000629,seller_000757
pair_000534,seller_000637,seller_000675
pair_000535,seller_000637,seller_000691
pair_000536,seller_000637,seller_000695
pair_000537,seller_000637,seller_000739
pair_000538,seller_000637,seller_000771
pair_000539,seller_000648,seller_000653
pair_000540,seller_000648,seller_000756
pair_000541,seller_000653,seller_000756
pair_000542,seller_000675,seller_000691
pair_000543,seller_000675,seller_000713
pair_000544,seller_000691,seller_000695
pair_000545,seller_000691,seller_000713
pair_000546,seller_000691,seller_000739
pair_000547,seller_000691,seller_000771
pair_000548,seller_000737,seller_000757
pair_000549,seller_000787,seller_000845
pair_000550,seller_000797,seller_000828
pair_000551,seller_000799,seller_000851
pair_000552,seller_000807,seller_000832
pair_000553,seller_000012,seller_000836
pair_000554,seller_000015,seller_000463
pair_000555,seller_000017,seller_000348
pair_000556,seller_000018,seller_000344
pair_000557,seller_000020,seller_000300
pair_000558,seller_000020,seller_000573
pair_000559,seller_000022,seller_000295
