pair_uid,same_market_bool,same_source_dataset_bool,clean_category_jaccard,clean_shared_title_bool,clean_shared_description_bool,clean_shared_title_count_capped,clean_shared_description_count_capped,clean_shared_category_count_capped,clean_shared_title_idf_sum,clean_shared_description_idf_sum,clean_shared_title_idf_mean,clean_shared_description_idf_mean,item_count_train_percentile_gap_abs,title_length_median_train_percentile_gap_abs,description_length_median_train_percentile_gap_abs,digit_ratio_mean_train_percentile_gap_abs,punct_ratio_mean_train_percentile_gap_abs,repeated_title_share_train_percentile_gap_abs,repeated_description_share_train_percentile_gap_abs,max_category_share_train_percentile_gap_abs
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1606529209621993,0.07130584192439862,0.1855670103092783,0.6950171821305842,0.0,0.0,0.0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09450171821305842,0.2422680412371134,0.2534364261168385,0.0781786941580756,0.0,0.0,0.0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,1,1,1.0,1,1,2,5,1,12.539149795364766,50.156599181459065,6.269574897682383,6.269574897682383,0.04295532646048106,0.014604810996563522,0.0,0.008591065292096217,0.01718213058419238,0.0,0.0,0.0
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.24312714776632305,0.5163230240549828,0.018900343642611686,0.3221649484536082,0.06443298969072164,0.0,0.0,0.0
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.16838487972508592,0.1477663230240549,0.15979381443298968,0.4037800687285223,0.49828178694158076,0.0,0.0,0.4604810996563574
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,0,1,0.09523809523809523,1,0,1,0,2,5.422277037295179,0.0,5.422277037295179,0.0,0.1469072164948454,0.0,0.3848797250859106,0.359106529209622,0.28350515463917536,0.5180412371134021,0.06443298969072164,0.10824742268041238
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,0,1,0.26666666666666666,1,0,4,0,4,24.385152410169585,0.0,6.096288102542396,0.0,0.03865979381443296,0.007731958762886598,0.5790378006872852,0.0068728522336769515,0.4810996563573883,0.429553264604811,0.01632302405498276,0.11769759450171823
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,0,1,0.0,0,1,0,1,0,0.0,6.269574897682383,0.0,6.269574897682383,0.3831615120274914,0.1958762886597939,0.3470790378006873,0.10137457044673537,0.061855670103092786,0.0,0.01632302405498276,0.693298969072165
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15292096219931273,0.19501718213058428,0.12027491408934704,0.17353951890034364,0.32989690721649484,0.0,0.2534364261168385,0.2156357388316151
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),0,1,0.0,0,1,0,1,0,0.0,6.269574897682383,0.0,6.269574897682383,0.05240549828178692,0.004295532646048095,0.18041237113402064,0.28865979381443296,0.22164948453608246,0.0,0.07903780068728516,0.11426116838487971
