pair_uid,split_name,component_id,seller_uid_left,seller_uid_right
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian||market_item.xlsx|apollon market|seller_raw:Made_man (100%),train,en_content_train_pool_cc_50481108a33b850d,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian,market_item.xlsx|apollon market|seller_raw:Made_man (100%)
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb||market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad,train,en_content_train_pool_cc_be967b90d809ceb9,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb,market_item.xlsx|silk road 3.1|seller_raw:robthesilkroad
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard||2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,train,en_content_train_pool_cc_5a9aa11e23a4c0b6,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine||market_item.xlsx|silk road 3.1|seller_raw:however,train,en_content_train_pool_cc_ebbaa123eebf6ca0,2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine,market_item.xlsx|silk road 3.1|seller_raw:however
market_item.xlsx|Cartel|seller_raw:Dr_Heizen||market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1,train,en_content_train_pool_cc_f4386d4b56023e8a,market_item.xlsx|Cartel|seller_raw:Dr_Heizen,market_item.xlsx|Cartel|seller_raw:MAGICMOVERS1
market_item.xlsx|Cartel|seller_raw:Drugsking||market_item.xlsx|darkfox market|seller_raw:rinyus,train,en_content_train_pool_cc_5d852c7834259fe8,market_item.xlsx|Cartel|seller_raw:Drugsking,market_item.xlsx|darkfox market|seller_raw:rinyus
market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,train,en_content_train_pool_cc_f9371bc9b3ce6d7d,market_item.xlsx|Cartel|seller_raw:Godaddy1,market_item.xlsx|darkfox market|seller_raw:thecolonel
market_item.xlsx|Cartel|seller_raw:Hilfiger||market_item.xlsx|vice city|seller_raw:PILLSDr,train,en_content_train_pool_cc_10c6c1093b6829a3,market_item.xlsx|Cartel|seller_raw:Hilfiger,market_item.xlsx|vice city|seller_raw:PILLSDr
market_item.xlsx|Cartel|seller_raw:fullplez||market_item.xlsx|apollon market|seller_raw:g3cko (96%),train,en_content_train_pool_cc_69a17117c0da140c,market_item.xlsx|Cartel|seller_raw:fullplez,market_item.xlsx|apollon market|seller_raw:g3cko (96%)
market_item.xlsx|Cartel|seller_raw:irishoncoke||market_item.xlsx|apollon market|seller_raw:backagain1 (100%),train,en_content_train_pool_cc_4632283115d6aed9,market_item.xlsx|Cartel|seller_raw:irishoncoke,market_item.xlsx|apollon market|seller_raw:backagain1 (100%)
