pair_uid,split_name,review_label,review_stratum,source_seller_raw_left,source_seller_raw_right
market_item.xlsx|茶马古道|seller_raw:/shop/454497||market_item.xlsx|茶马古道|seller_raw:/shop/454507,train,positive,identifier_plus_text,/shop/454497,/shop/454507
market_item.xlsx|茶马古道|seller_raw:/shop/410559||market_item.xlsx|茶马古道|seller_raw:/shop/413373,train,positive,identifier_plus_text,/shop/410559,/shop/413373
market_item.xlsx|茶马古道|seller_raw:/shop/440109||market_item.xlsx|茶马古道|seller_raw:/shop/458500,train,positive,identifier_primary,/shop/440109,/shop/458500
market_item.xlsx|中文暗网交易市场|seller_raw:533307||market_item.xlsx|茶马古道|seller_raw:/shop/10063,train,positive,text_clone_primary,533307,/shop/10063
market_item.xlsx|中文暗网交易市场|seller_raw:604051||market_item.xlsx|中文暗网交易市场|seller_raw:99981,train,positive,text_clone_primary,604051,99981
market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,train,positive,semantic_structural,/shop/440200,/shop/450020
market_item.xlsx|中文暗网交易市场|seller_raw:613722||market_item.xlsx|茶马古道|seller_raw:/shop/643,train,negative,semantic_only,613722,/shop/643
market_item.xlsx|中文暗网交易市场|seller_raw:352600||market_item.xlsx|中文暗网交易市场|seller_raw:605666,train,positive,semantic_structural,352600,605666
market_item.xlsx|茶马古道|seller_raw:/shop/395912||market_item.xlsx|茶马古道|seller_raw:/shop/446131,train,negative,semantic_structural,/shop/395912,/shop/446131
market_item.xlsx|茶马古道|seller_raw:/shop/437900||market_item.xlsx|茶马古道|seller_raw:/shop/447235,train,negative,semantic_only,/shop/437900,/shop/447235
market_item.xlsx|中文暗网交易市场|seller_raw:512254||market_item.xlsx|茶马古道|seller_raw:/shop/398615,train,negative,semantic_only,512254,/shop/398615
market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:68679,train,positive,semantic_structural,43871,68679
market_item.xlsx|中文暗网交易市场|seller_raw:45139||market_item.xlsx|中文暗网交易市场|seller_raw:99610,train,negative,semantic_structural,45139,99610
market_item.xlsx|中文暗网交易市场|seller_raw:565148||market_item.xlsx|中文暗网交易市场|seller_raw:596616,train,negative,semantic_structural,565148,596616
market_item.xlsx|中文暗网交易市场|seller_raw:548133||market_item.xlsx|中文暗网交易市场|seller_raw:565148,train,negative,semantic_only,548133,565148
market_item.xlsx|中文暗网交易市场|seller_raw:480285||market_item.xlsx|茶马古道|seller_raw:/shop/397872,train,negative,text_clone_primary,480285,/shop/397872
market_item.xlsx|茶马古道|seller_raw:/shop/425667||market_item.xlsx|茶马古道|seller_raw:/shop/440200,train,negative,semantic_only,/shop/425667,/shop/440200
market_item.xlsx|茶马古道|seller_raw:/shop/463435||market_item.xlsx|茶马古道|seller_raw:/shop/468839,train,negative,text_clone_primary,/shop/463435,/shop/468839
market_item.xlsx|中文暗网交易市场|seller_raw:566597||market_item.xlsx|中文暗网交易市场|seller_raw:581981,train,negative,semantic_only,566597,581981
market_item.xlsx|中文暗网交易市场|seller_raw:346677||market_item.xlsx|中文暗网交易市场|seller_raw:459538,train,negative,semantic_structural,346677,459538
market_item.xlsx|中文暗网交易市场|seller_raw:346677||market_item.xlsx|中文暗网交易市场|seller_raw:58949,train,negative,semantic_structural,346677,58949
market_item.xlsx|茶马古道|seller_raw:/shop/417184||market_item.xlsx|茶马古道|seller_raw:/shop/643,train,negative,semantic_only,/shop/417184,/shop/643
market_item.xlsx|中文暗网交易市场|seller_raw:565149||market_item.xlsx|中文暗网交易市场|seller_raw:567845,train,negative,semantic_structural,565149,567845
market_item.xlsx|中文暗网交易市场|seller_raw:590580||market_item.xlsx|茶马古道|seller_raw:/shop/432473,train,negative,text_clone_primary,590580,/shop/432473
market_item.xlsx|中文暗网交易市场|seller_raw:60395||market_item.xlsx|茶马古道|seller_raw:/shop/438114,train,negative,semantic_only,60395,/shop/438114
market_item.xlsx|中文暗网交易市场|seller_raw:560748||market_item.xlsx|茶马古道|seller_raw:/shop/406520,train,negative,text_clone_primary,560748,/shop/406520
market_item.xlsx|中文暗网交易市场|seller_raw:38978||market_item.xlsx|中文暗网交易市场|seller_raw:504138,train,negative,semantic_only,38978,504138
market_item.xlsx|茶马古道|seller_raw:/shop/406486||market_item.xlsx|茶马古道|seller_raw:/shop/407157,train,positive,semantic_only,/shop/406486,/shop/407157
market_item.xlsx|中文暗网交易市场|seller_raw:591680||market_item.xlsx|茶马古道|seller_raw:/shop/427282,train,negative,semantic_only,591680,/shop/427282
market_item.xlsx|中文暗网交易市场|seller_raw:491210||market_item.xlsx|中文暗网交易市场|seller_raw:519199,train,negative,text_clone_primary,491210,519199
market_item.xlsx|中文暗网交易市场|seller_raw:548133||market_item.xlsx|中文暗网交易市场|seller_raw:596705,train,negative,semantic_only,548133,596705
market_item.xlsx|中文暗网交易市场|seller_raw:238529||market_item.xlsx|中文暗网交易市场|seller_raw:596705,train,negative,semantic_structural,238529,596705
market_item.xlsx|中文暗网交易市场|seller_raw:459538||market_item.xlsx|中文暗网交易市场|seller_raw:470183,train,negative,semantic_structural,459538,470183
market_item.xlsx|中文暗网交易市场|seller_raw:581623||market_item.xlsx|茶马古道|seller_raw:/shop/425704,train,negative,text_clone_primary,581623,/shop/425704
market_item.xlsx|中文暗网交易市场|seller_raw:536419||market_item.xlsx|茶马古道|seller_raw:/shop/397527,train,negative,text_clone_primary,536419,/shop/397527
market_item.xlsx|茶马古道|seller_raw:/shop/444945||market_item.xlsx|茶马古道|seller_raw:/shop/8633,train,negative,semantic_only,/shop/444945,/shop/8633
market_item.xlsx|中文暗网交易市场|seller_raw:505805||market_item.xlsx|中文暗网交易市场|seller_raw:533980,train,negative,semantic_only,505805,533980
market_item.xlsx|茶马古道|seller_raw:/shop/394618||market_item.xlsx|茶马古道|seller_raw:/shop/429331,train,negative,semantic_only,/shop/394618,/shop/429331
market_item.xlsx|茶马古道|seller_raw:/shop/441020||market_item.xlsx|茶马古道|seller_raw:/shop/451007,train,negative,semantic_only,/shop/441020,/shop/451007
market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,train,negative,semantic_structural,/shop/427282,/shop/436862
market_item.xlsx|中文暗网交易市场|seller_raw:238529||market_item.xlsx|中文暗网交易市场|seller_raw:596616,train,negative,semantic_structural,238529,596616
market_item.xlsx|中文暗网交易市场|seller_raw:238529||market_item.xlsx|中文暗网交易市场|seller_raw:550208,train,negative,semantic_only,238529,550208
market_item.xlsx|中文暗网交易市场|seller_raw:39215||market_item.xlsx|中文暗网交易市场|seller_raw:51690,train,negative,semantic_only,39215,51690
market_item.xlsx|中文暗网交易市场|seller_raw:489129||market_item.xlsx|中文暗网交易市场|seller_raw:55721,train,negative,semantic_only,489129,55721
market_item.xlsx|中文暗网交易市场|seller_raw:516687||market_item.xlsx|茶马古道|seller_raw:/shop/393476,train,positive,semantic_only,516687,/shop/393476
market_item.xlsx|茶马古道|seller_raw:/shop/442464||market_item.xlsx|茶马古道|seller_raw:/shop/445,train,negative,semantic_only,/shop/442464,/shop/445
market_item.xlsx|中文暗网交易市场|seller_raw:512254||market_item.xlsx|茶马古道|seller_raw:/shop/423073,train,negative,semantic_only,512254,/shop/423073
market_item.xlsx|中文暗网交易市场|seller_raw:17231||market_item.xlsx|中文暗网交易市场|seller_raw:56808,train,negative,semantic_structural,17231,56808
market_item.xlsx|茶马古道|seller_raw:/shop/427847||market_item.xlsx|茶马古道|seller_raw:/shop/466436,train,negative,semantic_structural,/shop/427847,/shop/466436
market_item.xlsx|中文暗网交易市场|seller_raw:548133||market_item.xlsx|茶马古道|seller_raw:/shop/454152,train,positive,semantic_only,548133,/shop/454152
market_item.xlsx|中文暗网交易市场|seller_raw:74774||market_item.xlsx|茶马古道|seller_raw:/shop/406711,train,negative,semantic_only,74774,/shop/406711
market_item.xlsx|中文暗网交易市场|seller_raw:37633||market_item.xlsx|茶马古道|seller_raw:/shop/453513,train,negative,semantic_only,37633,/shop/453513
market_item.xlsx|中文暗网交易市场|seller_raw:346677||market_item.xlsx|中文暗网交易市场|seller_raw:560066,train,negative,semantic_only,346677,560066
market_item.xlsx|中文暗网交易市场|seller_raw:206750||market_item.xlsx|中文暗网交易市场|seller_raw:604165,train,negative,semantic_only,206750,604165
market_item.xlsx|中文暗网交易市场|seller_raw:517171||market_item.xlsx|茶马古道|seller_raw:/shop/423578,train,positive,semantic_only,517171,/shop/423578
market_item.xlsx|中文暗网交易市场|seller_raw:54503||market_item.xlsx|茶马古道|seller_raw:/shop/397874,train,negative,semantic_only,54503,/shop/397874
market_item.xlsx|中文暗网交易市场|seller_raw:40037||market_item.xlsx|中文暗网交易市场|seller_raw:5995,train,negative,semantic_only,40037,5995
market_item.xlsx|中文暗网交易市场|seller_raw:18826||market_item.xlsx|中文暗网交易市场|seller_raw:591780,train,negative,semantic_structural,18826,591780
market_item.xlsx|茶马古道|seller_raw:/shop/435883||market_item.xlsx|茶马古道|seller_raw:/shop/462656,train,negative,semantic_structural,/shop/435883,/shop/462656
market_item.xlsx|中文暗网交易市场|seller_raw:511033||market_item.xlsx|中文暗网交易市场|seller_raw:543832,train,negative,semantic_structural,511033,543832
market_item.xlsx|茶马古道|seller_raw:/shop/441640||market_item.xlsx|茶马古道|seller_raw:/shop/443464,train,negative,semantic_structural,/shop/441640,/shop/443464
market_item.xlsx|茶马古道|seller_raw:/shop/424813||market_item.xlsx|茶马古道|seller_raw:/shop/463820,train,negative,semantic_structural,/shop/424813,/shop/463820
market_item.xlsx|中文暗网交易市场|seller_raw:581981||market_item.xlsx|中文暗网交易市场|seller_raw:99610,train,negative,semantic_structural,581981,99610
market_item.xlsx|茶马古道|seller_raw:/shop/331||market_item.xlsx|茶马古道|seller_raw:/shop/446583,train,negative,semantic_structural,/shop/331,/shop/446583
market_item.xlsx|茶马古道|seller_raw:/shop/404383||market_item.xlsx|茶马古道|seller_raw:/shop/408919,train,negative,semantic_structural,/shop/404383,/shop/408919
market_item.xlsx|中文暗网交易市场|seller_raw:11457||market_item.xlsx|中文暗网交易市场|seller_raw:517245,train,negative,semantic_structural,11457,517245
market_item.xlsx|茶马古道|seller_raw:/shop/419606||market_item.xlsx|茶马古道|seller_raw:/shop/456412,train,negative,semantic_structural,/shop/419606,/shop/456412
