pair_uid,split_name,review_label,review_stratum,source_seller_raw_left,source_seller_raw_right
market_item.xlsx|茶马古道|seller_raw:/shop/421||market_item.xlsx|茶马古道|seller_raw:/shop/827,train,positive,semantic_structural,/shop/421,/shop/827
market_item.xlsx|茶马古道|seller_raw:/shop/467049||market_item.xlsx|茶马古道|seller_raw:/shop/469683,train,positive,semantic_structural,/shop/467049,/shop/469683
market_item.xlsx|中文暗网交易市场|seller_raw:25604||market_item.xlsx|中文暗网交易市场|seller_raw:42350,train,positive,text_clone_primary,25604,42350
market_item.xlsx|茶马古道|seller_raw:/shop/464741||market_item.xlsx|茶马古道|seller_raw:/shop/464776,train,positive,semantic_structural,/shop/464741,/shop/464776
market_item.xlsx|中文暗网交易市场|seller_raw:567845||market_item.xlsx|中文暗网交易市场|seller_raw:569266,train,negative,semantic_only,567845,569266
market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:46626,train,positive,semantic_structural,43871,46626
market_item.xlsx|中文暗网交易市场|seller_raw:352600||market_item.xlsx|中文暗网交易市场|seller_raw:605666,train,positive,semantic_structural,352600,605666
market_item.xlsx|中文暗网交易市场|seller_raw:65684||market_item.xlsx|中文暗网交易市场|seller_raw:81020,train,positive,text_clone_primary,65684,81020
market_item.xlsx|中文暗网交易市场|seller_raw:29159||market_item.xlsx|中文暗网交易市场|seller_raw:38978,train,negative,semantic_only,29159,38978
market_item.xlsx|茶马古道|seller_raw:/shop/399461||market_item.xlsx|茶马古道|seller_raw:/shop/407100,train,positive,text_clone_primary,/shop/399461,/shop/407100
market_item.xlsx|中文暗网交易市场|seller_raw:26383||market_item.xlsx|茶马古道|seller_raw:/shop/404544,train,positive,semantic_only,26383,/shop/404544
market_item.xlsx|中文暗网交易市场|seller_raw:605607||market_item.xlsx|中文暗网交易市场|seller_raw:605912,train,positive,semantic_structural,605607,605912
market_item.xlsx|中文暗网交易市场|seller_raw:566597||market_item.xlsx|中文暗网交易市场|seller_raw:581981,train,negative,semantic_only,566597,581981
market_item.xlsx|中文暗网交易市场|seller_raw:38978||market_item.xlsx|中文暗网交易市场|seller_raw:68788,train,negative,semantic_only,38978,68788
market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/464140,train,negative,text_clone_primary,/shop/427282,/shop/464140
market_item.xlsx|中文暗网交易市场|seller_raw:462296||market_item.xlsx|中文暗网交易市场|seller_raw:605663,train,positive,semantic_structural,462296,605663
market_item.xlsx|茶马古道|seller_raw:/shop/393365||market_item.xlsx|茶马古道|seller_raw:/shop/441359,train,negative,semantic_only,/shop/393365,/shop/441359
market_item.xlsx|中文暗网交易市场|seller_raw:29159||market_item.xlsx|中文暗网交易市场|seller_raw:31252,train,negative,semantic_only,29159,31252
market_item.xlsx|中文暗网交易市场|seller_raw:19453||market_item.xlsx|中文暗网交易市场|seller_raw:55721,train,negative,semantic_only,19453,55721
market_item.xlsx|中文暗网交易市场|seller_raw:482639||market_item.xlsx|茶马古道|seller_raw:/shop/425743,train,negative,text_clone_primary,482639,/shop/425743
market_item.xlsx|中文暗网交易市场|seller_raw:596096||market_item.xlsx|中文暗网交易市场|seller_raw:605607,train,positive,semantic_structural,596096,605607
market_item.xlsx|中文暗网交易市场|seller_raw:365633||market_item.xlsx|中文暗网交易市场|seller_raw:68788,train,negative,semantic_only,365633,68788
market_item.xlsx|中文暗网交易市场|seller_raw:29159||market_item.xlsx|中文暗网交易市场|seller_raw:365633,train,negative,semantic_only,29159,365633
market_item.xlsx|中文暗网交易市场|seller_raw:342077||market_item.xlsx|茶马古道|seller_raw:/shop/449476,train,positive,semantic_only,342077,/shop/449476
market_item.xlsx|中文暗网交易市场|seller_raw:428374||market_item.xlsx|中文暗网交易市场|seller_raw:517245,train,negative,semantic_only,428374,517245
market_item.xlsx|中文暗网交易市场|seller_raw:238529||market_item.xlsx|中文暗网交易市场|seller_raw:518336,train,negative,semantic_only,238529,518336
market_item.xlsx|中文暗网交易市场|seller_raw:590580||market_item.xlsx|茶马古道|seller_raw:/shop/432473,train,negative,text_clone_primary,590580,/shop/432473
market_item.xlsx|茶马古道|seller_raw:/shop/405653||market_item.xlsx|茶马古道|seller_raw:/shop/442299,train,positive,text_clone_primary,/shop/405653,/shop/442299
market_item.xlsx|中文暗网交易市场|seller_raw:491210||market_item.xlsx|中文暗网交易市场|seller_raw:519199,train,negative,text_clone_primary,491210,519199
market_item.xlsx|中文暗网交易市场|seller_raw:514214||market_item.xlsx|茶马古道|seller_raw:/shop/397707,train,negative,text_clone_primary,514214,/shop/397707
market_item.xlsx|茶马古道|seller_raw:/shop/408157||market_item.xlsx|茶马古道|seller_raw:/shop/418373,train,positive,text_clone_primary,/shop/408157,/shop/418373
market_item.xlsx|中文暗网交易市场|seller_raw:581460||market_item.xlsx|茶马古道|seller_raw:/shop/425704,train,negative,text_clone_primary,581460,/shop/425704
market_item.xlsx|中文暗网交易市场|seller_raw:536419||market_item.xlsx|茶马古道|seller_raw:/shop/397527,train,negative,text_clone_primary,536419,/shop/397527
market_item.xlsx|中文暗网交易市场|seller_raw:541533||market_item.xlsx|茶马古道|seller_raw:/shop/399807,train,negative,text_clone_primary,541533,/shop/399807
market_item.xlsx|茶马古道|seller_raw:/shop/405657||market_item.xlsx|茶马古道|seller_raw:/shop/412039,train,positive,text_clone_primary,/shop/405657,/shop/412039
market_item.xlsx|中文暗网交易市场|seller_raw:375149||market_item.xlsx|中文暗网交易市场|seller_raw:506844,train,positive,text_clone_primary,375149,506844
market_item.xlsx|中文暗网交易市场|seller_raw:470183||market_item.xlsx|中文暗网交易市场|seller_raw:554409,train,negative,semantic_only,470183,554409
market_item.xlsx|中文暗网交易市场|seller_raw:39516||market_item.xlsx|中文暗网交易市场|seller_raw:64954,train,positive,semantic_only,39516,64954
market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,train,negative,semantic_structural,/shop/427282,/shop/436862
market_item.xlsx|中文暗网交易市场|seller_raw:161115||market_item.xlsx|茶马古道|seller_raw:/shop/405740,train,negative,text_clone_primary,161115,/shop/405740
market_item.xlsx|中文暗网交易市场|seller_raw:605879||market_item.xlsx|中文暗网交易市场|seller_raw:606388,train,positive,semantic_structural,605879,606388
market_item.xlsx|中文暗网交易市场|seller_raw:569984||market_item.xlsx|茶马古道|seller_raw:/shop/422565,train,negative,text_clone_primary,569984,/shop/422565
market_item.xlsx|中文暗网交易市场|seller_raw:492600||market_item.xlsx|中文暗网交易市场|seller_raw:496475,train,negative,text_clone_primary,492600,496475
market_item.xlsx|中文暗网交易市场|seller_raw:514819||market_item.xlsx|中文暗网交易市场|seller_raw:640120,train,negative,text_clone_primary,514819,640120
market_item.xlsx|中文暗网交易市场|seller_raw:34151||market_item.xlsx|中文暗网交易市场|seller_raw:42789,train,negative,semantic_only,34151,42789
market_item.xlsx|中文暗网交易市场|seller_raw:554409||market_item.xlsx|中文暗网交易市场|seller_raw:596705,train,negative,semantic_only,554409,596705
market_item.xlsx|中文暗网交易市场|seller_raw:566597||market_item.xlsx|中文暗网交易市场|seller_raw:68788,train,negative,semantic_only,566597,68788
market_item.xlsx|中文暗网交易市场|seller_raw:596097||market_item.xlsx|中文暗网交易市场|seller_raw:605002,train,positive,semantic_structural,596097,605002
market_item.xlsx|中文暗网交易市场|seller_raw:20382||market_item.xlsx|中文暗网交易市场|seller_raw:45235,train,negative,semantic_only,20382,45235
market_item.xlsx|中文暗网交易市场|seller_raw:80160||market_item.xlsx|茶马古道|seller_raw:/shop/6242,train,negative,text_clone_primary,80160,/shop/6242
market_item.xlsx|中文暗网交易市场|seller_raw:576252||market_item.xlsx|茶马古道|seller_raw:/shop/433651,train,negative,text_clone_primary,576252,/shop/433651
market_item.xlsx|中文暗网交易市场|seller_raw:605928||market_item.xlsx|中文暗网交易市场|seller_raw:606038,train,positive,semantic_structural,605928,606038
market_item.xlsx|中文暗网交易市场|seller_raw:462296||market_item.xlsx|中文暗网交易市场|seller_raw:534628,train,positive,semantic_structural,462296,534628
market_item.xlsx|中文暗网交易市场|seller_raw:596097||market_item.xlsx|中文暗网交易市场|seller_raw:606388,train,positive,semantic_structural,596097,606388
market_item.xlsx|中文暗网交易市场|seller_raw:581981||market_item.xlsx|中文暗网交易市场|seller_raw:99610,train,negative,semantic_structural,581981,99610
market_item.xlsx|中文暗网交易市场|seller_raw:41552||market_item.xlsx|中文暗网交易市场|seller_raw:581981,train,negative,semantic_structural,41552,581981
market_item.xlsx|中文暗网交易市场|seller_raw:636288||market_item.xlsx|中文暗网交易市场|seller_raw:636666,train,positive,identifier_primary,636288,636666
market_item.xlsx|中文暗网交易市场|seller_raw:446965||market_item.xlsx|中文暗网交易市场|seller_raw:70840,train,positive,identifier_primary,446965,70840
market_item.xlsx|中文暗网交易市场|seller_raw:534628||market_item.xlsx|中文暗网交易市场|seller_raw:605663,train,positive,identifier_primary,534628,605663
market_item.xlsx|中文暗网交易市场|seller_raw:435064||market_item.xlsx|中文暗网交易市场|seller_raw:95895,train,positive,identifier_primary,435064,95895
market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:70840,train,positive,identifier_primary,361068,70840
market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:501102,train,positive,identifier_primary,361068,501102
market_item.xlsx|中文暗网交易市场|seller_raw:430378||market_item.xlsx|中文暗网交易市场|seller_raw:435064,train,positive,identifier_primary,430378,435064
market_item.xlsx|中文暗网交易市场|seller_raw:501102||market_item.xlsx|中文暗网交易市场|seller_raw:537697,train,positive,identifier_primary,501102,537697
market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:312538,train,positive,identifier_primary,121394,312538
market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:45068,train,positive,identifier_primary,361068,45068
market_item.xlsx|中文暗网交易市场|seller_raw:433599||market_item.xlsx|中文暗网交易市场|seller_raw:435064,train,positive,identifier_primary,433599,435064
market_item.xlsx|中文暗网交易市场|seller_raw:534628||market_item.xlsx|中文暗网交易市场|seller_raw:562478,train,positive,identifier_primary,534628,562478
market_item.xlsx|中文暗网交易市场|seller_raw:149940||market_item.xlsx|中文暗网交易市场|seller_raw:157835,train,positive,identifier_primary,149940,157835
market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:596096,train,positive,identifier_primary,157835,596096
market_item.xlsx|中文暗网交易市场|seller_raw:501102||market_item.xlsx|中文暗网交易市场|seller_raw:596304,train,positive,identifier_primary,501102,596304
market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:95895,train,positive,identifier_primary,157835,95895
market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:537697,train,positive,identifier_primary,361068,537697
market_item.xlsx|中文暗网交易市场|seller_raw:443482||market_item.xlsx|中文暗网交易市场|seller_raw:455638,train,positive,identifier_primary,443482,455638
market_item.xlsx|中文暗网交易市场|seller_raw:639133||market_item.xlsx|茶马古道|seller_raw:/shop/430143,train,positive,text_clone_primary,639133,/shop/430143
market_item.xlsx|中文暗网交易市场|seller_raw:596097||market_item.xlsx|中文暗网交易市场|seller_raw:605666,train,positive,semantic_structural,596097,605666
market_item.xlsx|中文暗网交易市场|seller_raw:605002||market_item.xlsx|中文暗网交易市场|seller_raw:605879,train,positive,semantic_structural,605002,605879
market_item.xlsx|中文暗网交易市场|seller_raw:555666||market_item.xlsx|中文暗网交易市场|seller_raw:566697,train,positive,semantic_structural,555666,566697
market_item.xlsx|中文暗网交易市场|seller_raw:605890||market_item.xlsx|中文暗网交易市场|seller_raw:605928,train,positive,semantic_structural,605890,605928
market_item.xlsx|中文暗网交易市场|seller_raw:510154||market_item.xlsx|茶马古道|seller_raw:/shop/436749,train,positive,text_clone_primary,510154,/shop/436749
market_item.xlsx|中文暗网交易市场|seller_raw:331162||market_item.xlsx|中文暗网交易市场|seller_raw:488193,train,positive,text_clone_primary,331162,488193
market_item.xlsx|茶马古道|seller_raw:/shop/410971||market_item.xlsx|茶马古道|seller_raw:/shop/415228,train,positive,text_clone_primary,/shop/410971,/shop/415228
market_item.xlsx|中文暗网交易市场|seller_raw:531087||market_item.xlsx|中文暗网交易市场|seller_raw:548133,train,positive,text_clone_primary,531087,548133
market_item.xlsx|茶马古道|seller_raw:/shop/438230||market_item.xlsx|茶马古道|seller_raw:/shop/462496,train,positive,text_clone_primary,/shop/438230,/shop/462496
market_item.xlsx|中文暗网交易市场|seller_raw:541874||market_item.xlsx|中文暗网交易市场|seller_raw:566277,train,positive,text_clone_primary,541874,566277
market_item.xlsx|中文暗网交易市场|seller_raw:459702||market_item.xlsx|茶马古道|seller_raw:/shop/2937,train,negative,text_clone_primary,459702,/shop/2937
market_item.xlsx|中文暗网交易市场|seller_raw:541551||market_item.xlsx|茶马古道|seller_raw:/shop/399807,train,negative,text_clone_primary,541551,/shop/399807
market_item.xlsx|中文暗网交易市场|seller_raw:526589||market_item.xlsx|茶马古道|seller_raw:/shop/397707,train,negative,text_clone_primary,526589,/shop/397707
market_item.xlsx|中文暗网交易市场|seller_raw:512768||market_item.xlsx|茶马古道|seller_raw:/shop/397527,train,negative,text_clone_primary,512768,/shop/397527
market_item.xlsx|中文暗网交易市场|seller_raw:543006||market_item.xlsx|茶马古道|seller_raw:/shop/399807,train,negative,text_clone_primary,543006,/shop/399807
market_item.xlsx|中文暗网交易市场|seller_raw:475252||market_item.xlsx|茶马古道|seller_raw:/shop/405740,train,negative,text_clone_primary,475252,/shop/405740
market_item.xlsx|中文暗网交易市场|seller_raw:518336||market_item.xlsx|茶马古道|seller_raw:/shop/397707,train,negative,text_clone_primary,518336,/shop/397707
market_item.xlsx|中文暗网交易市场|seller_raw:544004||market_item.xlsx|茶马古道|seller_raw:/shop/399807,train,negative,text_clone_primary,544004,/shop/399807
market_item.xlsx|中文暗网交易市场|seller_raw:527285||market_item.xlsx|茶马古道|seller_raw:/shop/397675,train,negative,text_clone_primary,527285,/shop/397675
market_item.xlsx|中文暗网交易市场|seller_raw:581978||market_item.xlsx|茶马古道|seller_raw:/shop/425704,train,negative,text_clone_primary,581978,/shop/425704
market_item.xlsx|中文暗网交易市场|seller_raw:71807||market_item.xlsx|茶马古道|seller_raw:/shop/736,train,negative,text_clone_primary,71807,/shop/736
market_item.xlsx|中文暗网交易市场|seller_raw:565482||market_item.xlsx|茶马古道|seller_raw:/shop/414257,train,negative,text_clone_primary,565482,/shop/414257
market_item.xlsx|中文暗网交易市场|seller_raw:529453||market_item.xlsx|茶马古道|seller_raw:/shop/397675,train,negative,text_clone_primary,529453,/shop/397675
market_item.xlsx|中文暗网交易市场|seller_raw:525739||market_item.xlsx|茶马古道|seller_raw:/shop/397707,train,negative,text_clone_primary,525739,/shop/397707
market_item.xlsx|中文暗网交易市场|seller_raw:399483||market_item.xlsx|茶马古道|seller_raw:/shop/394805,train,negative,text_clone_primary,399483,/shop/394805
market_item.xlsx|中文暗网交易市场|seller_raw:548133||market_item.xlsx|茶马古道|seller_raw:/shop/399807,train,negative,text_clone_primary,548133,/shop/399807
market_item.xlsx|茶马古道|seller_raw:/shop/429138||market_item.xlsx|茶马古道|seller_raw:/shop/435113,train,negative,text_clone_primary,/shop/429138,/shop/435113
market_item.xlsx|中文暗网交易市场|seller_raw:61706||market_item.xlsx|茶马古道|seller_raw:/shop/10155,train,negative,text_clone_primary,61706,/shop/10155
market_item.xlsx|中文暗网交易市场|seller_raw:69573||market_item.xlsx|茶马古道|seller_raw:/shop/402851,train,negative,text_clone_primary,69573,/shop/402851
market_item.xlsx|中文暗网交易市场|seller_raw:481496||market_item.xlsx|茶马古道|seller_raw:/shop/425743,train,negative,text_clone_primary,481496,/shop/425743
market_item.xlsx|中文暗网交易市场|seller_raw:36073||market_item.xlsx|茶马古道|seller_raw:/shop/6101,train,negative,text_clone_primary,36073,/shop/6101
market_item.xlsx|中文暗网交易市场|seller_raw:630712||market_item.xlsx|茶马古道|seller_raw:/shop/451995,train,negative,text_clone_primary,630712,/shop/451995
market_item.xlsx|中文暗网交易市场|seller_raw:484447||market_item.xlsx|茶马古道|seller_raw:/shop/425743,train,negative,text_clone_primary,484447,/shop/425743
market_item.xlsx|中文暗网交易市场|seller_raw:514820||market_item.xlsx|茶马古道|seller_raw:/shop/397707,train,negative,text_clone_primary,514820,/shop/397707
market_item.xlsx|中文暗网交易市场|seller_raw:314792||market_item.xlsx|茶马古道|seller_raw:/shop/234,train,negative,text_clone_primary,314792,/shop/234
market_item.xlsx|中文暗网交易市场|seller_raw:526457||market_item.xlsx|茶马古道|seller_raw:/shop/397527,train,negative,text_clone_primary,526457,/shop/397527
market_item.xlsx|中文暗网交易市场|seller_raw:593428||market_item.xlsx|茶马古道|seller_raw:/shop/402697,train,negative,text_clone_primary,593428,/shop/402697
market_item.xlsx|中文暗网交易市场|seller_raw:99721||market_item.xlsx|茶马古道|seller_raw:/shop/418566,train,negative,text_clone_primary,99721,/shop/418566
market_item.xlsx|中文暗网交易市场|seller_raw:81135||market_item.xlsx|茶马古道|seller_raw:/shop/5524,train,negative,text_clone_primary,81135,/shop/5524
market_item.xlsx|中文暗网交易市场|seller_raw:557403||market_item.xlsx|茶马古道|seller_raw:/shop/8506,train,negative,text_clone_primary,557403,/shop/8506
